,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2020년09월_계_80~89세,"13,963","6,866",283,608,473,336,479,607,253,336,603,584,927,407,517,453,"7,097",442,229,573,448,346,"1,047",507,507,343,440,307,126,423,414,384,254,307
2020년09월_계_90~99세,"2,129",971,48,81,59,47,52,77,61,49,76,110,128,42,65,76,"1,158",80,45,105,63,52,159,73,60,37,72,50,28,65,77,90,44,58
2020년09월_계_100세 이상,178,82,1,10,7,0,5,14,7,5,11,6,7,1,7,1,96,19,10,8,2,1,12,6,3,5,3,2,5,6,8,2,0,4
2020년09월_남_총인구수,"273,677","120,500","6,366","10,913","8,420","3,650","5,588","10,785","7,874","5,731","8,724","9,788","16,381","6,940","7,794","11,546","153,177","10,600","5,414","9,349","8,548","5,126","18,316","9,854","13,343","7,435","11,795","8,331","4,180","10,252","11,122","7,444","6,568","5,500"
2020년09월_남_연령구간인구수,"273,677","120,500","6,366","10,913","8,420","3,650","5,588","10,785","7,874","5,731","8,724","9,788","16,381","6,940","7,794","11,546","153,177","10,600","5,414","9,349","8,548","5,126","18,316","9,854","13,343","7,435","11,795","8,331","4,180","10,252","11,122","7,444","6,568","5,500"
2020년09월_남_0~9세,"20,453","8,049",481,581,468,144,266,593,907,254,535,776,"1,135",474,340,"1,095","12,404",978,426,510,799,392,"1,169",638,"1,211",713,"1,260",788,503,742,837,594,482,362
2020년09월_남_10~19세,"27,449","9,945",569,804,700,243,424,665,686,377,655,835,"1,431",726,614,"1,216","17,504","1,172",546,787,"1,208",380,"1,581",715,"1,266",878,"1,965","1,794",389,918,"1,045","1,230",842,788
2020년09월_남_20~29세,"40,781","18,243",980,"1,727","1,337",536,786,"1,696","1,021",923,"1,347","1,371","2,460","1,100","1,139","1,820","22,538","1,467",814,"1,580","1,112",722,"3,205","1,645","1,777","1,144","1,393",935,472,"1,721","1,746",987,"1,016",802
2020년09월_남_30~39세,"39,664","17,511",991,"1,631","1,185",531,770,"1,975","1,338",900,"1,151","1,333","2,169",831,948,"1,758","22,153","1,374",717,"1,297","1,053","1,199","2,600","1,685","3,038",879,"1,508",549,805,"1,631","1,556",873,815,574
2020년09월_남_40~49세,"43,383","18,121","1,004","1,580","1,239",544,803,"1,642","1,334",814,"1,165","1,476","2,517","1,066","1,182","1,755","25,262","1,686",797,"1,197","1,573",845,"2,511","1,513","2,479","1,213","2,532","1,847",781,"1,395","1,620","1,378",981,914
2020년09월_남_50~59세,"47,760","21,580","1,130","1,963","1,474",704,"1,054","1,818","1,315","1,021","1,611","1,649","3,085","1,294","1,644","1,818","26,180","1,884",994,"1,794","1,353",745,"3,355","1,774","1,853","1,454","1,726","1,383",619,"1,820","2,036","1,236","1,214",940
2020년09월_남_60~69세,"34,418","16,728",746,"1,614","1,265",525,866,"1,450",841,898,"1,378","1,437","2,195",940,"1,155","1,418","17,690","1,358",739,"1,436",926,529,"2,462","1,153","1,145",743,941,638,413,"1,387","1,600",701,834,685
2020년09월_남_70~79세,"14,438","7,632",337,767,573,279,443,684,325,411,642,681,"1,027",379,589,495,"6,806",495,299,547,385,218,"1,060",522,394,272,323,260,156,477,521,288,290,299
2020년09월_남_80~89세,"4,774","2,448",116,226,165,124,163,227,92,128,222,201,335,126,168,155,"2,326",159,71,171,126,88,328,189,165,128,124,120,39,148,139,129,84,118
2020년09월_남_90~99세,505,216,12,16,12,20,11,30,12,5,14,26,26,4,12,16,289,26,7,27,12,8,43,20,14,10,20,17,2,11,18,28,10,16
2020년09월_남_100세 이상,52,27,0,4,2,0,2,5,3,0,4,3,1,0,3,0,25,1,4,3,1,0,2,0,1,1,3,0,1,2,4,0,0,2
2020년09월_여_총인구수,"279,609","120,104","6,410","10,847","8,439","3,648","5,629","10,159","8,118","5,343","8,941","10,208","16,326","6,885","7,636","11,515","159,505","11,135","5,768","9,553","9,203","6,114","19,032","9,604","14,193","7,717","12,388","8,576","4,056","10,528","10,994","8,072","6,797","5,775"
2020년09월_여_연령구간인구수,"279,609","120,104","6,410","10,847","8,439","3,648","5,629","10,159","8,118","5,343","8,941","10,208","16,326","6,885","7,636","11,515","159,505","11,135","5,768","9,553","9,203","6,114","19,032","9,604","14,193","7,717","12,388","8,576","4,056","10,528","10,994","8,072","6,797","5,775"
2020년09월_여_0~9세,"19,728","7,830",505,612,418,138,241,559,906,241,486,693,"1,119",501,375,"1,036","11,898",865,418,497,703,378,"1,058",626,"1,221",684,"1,239",665,497,754,816,603,492,382
2020년09월_여_10~19세,"25,574","9,111",540,732,638,250,373,655,644,350,639,735,"1,233",626,573,"1,123","16,463","1,083",555,695,"1,082",364,"1,455",760,"1,199",843,"1,817","1,635",359,845,"1,070","1,109",810,782
2020년09월_여_20~29세,"37,531","16,565",974,"1,714","1,165",549,710,"1,500","1,032",732,"1,198","1,271","2,263",884,"1,019","1,554","20,966","1,469",787,"1,322","1,041",783,"2,815","1,386","1,852","1,060","1,244",946,497,"1,595","1,532","1,002",924,711
2020년09월_여_30~39세,"37,595","15,714",910,"1,372","1,030",421,647,"1,559","1,447",625,989,"1,394","2,114",789,739,"1,678","21,881","1,457",722,"1,168","1,199","1,166","2,312","1,399","2,888","1,001","1,766",725,791,"1,485","1,447","1,002",802,551
2020년09월_여_40~49세,"45,382","17,364","1,020","1,478","1,147",469,779,"1,450","1,287",689,"1,157","1,566","2,370","1,061","1,103","1,788","28,018","1,860",910,"1,269","1,809","1,041","2,702","1,490","2,674","1,376","2,855","2,204",684,"1,502","1,675","1,669","1,224","1,074"
2020년09월_여_50~59세,"50,487","22,339","1,103","2,063","1,621",644,"1,020","1,771","1,339","1,051","1,784","1,901","3,134","1,306","1,498","2,104","28,148","2,088","1,121","2,036","1,414",971,"3,789","1,789","2,116","1,494","1,715","1,239",579,"2,038","2,215","1,277","1,260","1,007"
2020년09월_여_60~69세,"35,240","17,175",764,"1,576","1,380",550,968,"1,517",862,946,"1,462","1,475","2,197",933,"1,209","1,336","18,065","1,388",714,"1,442","1,065",716,"2,689","1,167","1,225",717,924,603,392,"1,442","1,418",693,770,700
2020년09월_여_70~79세,"17,133","8,778",390,847,680,388,531,712,387,452,776,703,"1,196",465,714,537,"8,355",570,339,639,516,392,"1,367",610,628,296,460,337,140,534,483,398,311,335
2020년09월_여_80~89세,"9,189","4,418",167,382,308,212,316,380,161,208,381,383,592,281,349,298,"4,771",283,158,402,322,258,719,318,342,215,316,187,87,275,275,255,170,189
2020년09월_여_90~99세,"1,624",755,36,65,47,27,41,47,49,44,62,84,102,38,53,60,869,54,38,78,51,44,116,53,46,27,52,33,26,54,59,62,34,42
2020년09월_여_100세 이상,126,55,1,6,5,0,3,9,4,5,7,3,6,1,4,1,71,18,6,5,1,1,10,6,2,4,0,2,4,4,4,2,0,2
