카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 불당1동,충청남도 천안시 서북구 불당2동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년11월_남_20~29세,"50,195","18,343","1,591",249,202,243,137,108,498,81,273,308,610,642,"1,429","1,440","3,334","3,579","3,619","31,852","1,598","1,438","1,500",539,"1,400","3,330","1,201","3,110","1,374","2,678",0,"2,414","1,925","5,143","4,202"
2021년11월_남_30~39세,"54,598","16,773","1,253",196,154,189,106,108,353,56,302,334,460,488,"1,397","1,116","3,461","3,915","2,885","37,825","1,120","1,417","1,597",458,"1,511","3,420",999,"2,483","1,112","3,162",0,"3,083","3,787","5,360","8,316"
2021년11월_남_40~49세,"57,922","21,587","2,235",264,233,277,190,153,429,116,357,336,631,692,"1,506","2,120","4,480","5,004","2,564","36,335","1,968","2,164","2,111",598,"1,456","2,206",920,"3,024","1,434","3,998",0,"3,002","4,055","3,844","5,555"
2021년11월_남_50~59세,"53,368","22,068","2,482",432,436,464,329,246,605,245,576,406,856,918,"1,649","2,034","3,504","4,213","2,673","31,300","2,342","2,063","1,967",992,"1,766","1,987","1,147","3,171","1,664","2,913",0,"2,616","2,121","3,448","3,103"
2021년11월_남_60~69세,"35,224","17,054","1,649",518,589,529,422,293,640,284,607,422,763,828,"1,301","1,366","1,828","2,802","2,213","18,170","2,051","1,383","1,297",898,"1,331","1,362",972,"1,776","1,081","1,423",0,926,643,"1,632","1,395"
2021년11월_남_70~79세,"13,994","7,283",722,269,269,255,218,156,300,183,315,165,398,451,507,543,602,"1,027",903,"6,711","1,125",554,535,435,579,449,350,531,360,434,0,231,175,570,383
2021년11월_남_80~89세,"5,484","2,970",322,124,123,128,102,93,148,92,130,65,145,211,147,208,204,382,346,"2,514",490,228,222,198,189,137,124,198,148,126,0,94,41,217,102
2021년11월_남_90~99세,522,286,27,13,14,13,8,5,19,7,11,11,16,15,17,20,22,44,24,236,38,15,17,34,18,9,15,23,13,12,0,5,6,20,11
2021년11월_남_100세 이상,16,9,1,0,1,1,1,0,0,0,0,0,0,0,1,2,1,1,0,7,0,2,0,0,1,1,0,1,0,0,0,1,1,0,0
2021년11월_여_총인구수,"321,920","125,998","11,894","1,822","2,128","2,077","1,478","1,028","2,869",957,"2,568","2,054","4,160","4,480","8,779","11,624","21,729","27,503","18,848","195,922","11,381","10,242","9,129","3,866","8,366","11,892","7,021","18,971","9,686","20,176",0,"16,527","18,635","22,819","27,211"
2021년11월_여_연령구간인구수,"321,920","125,998","11,894","1,822","2,128","2,077","1,478","1,028","2,869",957,"2,568","2,054","4,160","4,480","8,779","11,624","21,729","27,503","18,848","195,922","11,381","10,242","9,129","3,866","8,366","11,892","7,021","18,971","9,686","20,176",0,"16,527","18,635","22,819","27,211"
2021년11월_여_0~9세,"28,778","9,156",749,38,56,56,37,24,122,9,86,76,169,136,498,997,"2,021","2,716","1,366","19,622",505,849,649,132,419,430,373,"1,533",659,"2,634",0,"1,847","3,156","1,940","4,496"
2021년11월_여_10~19세,"32,614","12,295","1,230",105,83,102,79,36,164,25,125,102,282,292,649,"1,545","2,744","3,409","1,323","20,319","1,029","1,133",872,238,569,586,606,"2,276","1,066","2,744",0,"2,204","2,503","1,963","2,530"
2021년11월_여_20~29세,"45,158","16,288","1,270",138,132,146,93,61,264,51,272,324,440,499,"1,334","1,229","2,746","3,254","4,035","28,870","1,177","1,093",994,330,"1,242","3,241","1,169","2,854","1,218","2,406",0,"2,294","2,040","5,043","3,769"
2021년11월_여_30~39세,"47,821","14,988","1,178",110,133,127,63,62,211,35,195,244,377,323,"1,090","1,269","3,024","3,895","2,652","32,833",867,"1,209","1,080",238,"1,087","2,198",839,"2,420","1,141","3,351",0,"3,009","4,224","4,131","7,039"
2021년11월_여_40~49세,"53,618","20,252","2,063",151,193,230,115,69,311,44,280,247,541,606,"1,379","2,160","4,352","5,070","2,441","33,366","1,578","1,866","1,536",411,"1,134","1,593",941,"3,452","1,602","3,934",0,"3,400","3,889","3,643","4,387"
2021년11월_여_50~59세,"50,583","21,299","2,132",319,403,373,250,159,529,165,440,324,815,866,"1,576","2,036","3,497","4,264","3,151","29,284","1,912","1,699","1,606",769,"1,572","1,653","1,290","3,552","1,868","2,864",0,"2,435","1,849","3,361","2,854"
2021년11월_여_60~69세,"34,431","16,848","1,634",448,520,512,371,250,588,249,583,394,798,866,"1,291","1,271","1,895","2,846","2,332","17,583","2,043","1,279","1,244",825,"1,279","1,271","1,081","1,716","1,109","1,392",0,837,632,"1,542","1,333"
2021년11월_여_70~79세,"16,699","8,485",899,258,293,255,236,185,348,177,361,220,429,525,593,691,820,"1,228",967,"8,214","1,308",640,643,505,685,557,433,714,571,501,0,271,199,729,458
2021년11월_여_80~89세,"10,342","5,385",629,210,252,220,185,158,279,162,203,104,257,324,315,362,548,686,491,"4,957",836,416,436,351,319,302,242,389,380,294,0,184,121,399,288
2021년11월_여_90~99세,"1,813",968,108,44,61,56,46,23,52,38,22,18,50,43,53,62,80,128,84,845,123,57,66,66,56,58,47,65,70,51,0,43,21,66,56
2021년11월_여_100세 이상,63,34,2,1,2,0,3,1,1,2,1,1,2,0,1,2,2,7,6,29,3,1,3,1,4,3,0,0,2,5,0,3,1,2,1
