,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년11월_남_70~79세,"85,106","7,939","11,609","8,759","5,045","3,828","2,802","1,789","1,619","4,947","2,781","3,098","2,316","2,207","4,329","2,653","3,604","2,103","3,014","2,546","3,276","1,957","2,885"
2021년11월_남_80~89세,"36,693","2,599","3,841","3,520","2,150","1,522","1,323","1,030",865,"2,461","1,553","1,509","1,248","1,127","1,954","1,308","1,352","1,099","1,319","1,270","1,462",917,"1,264"
2021년11월_남_90~99세,"3,377",200,303,336,217,138,143,105,79,273,161,160,129,108,160,116,100,119,115,114,125,73,103
2021년11월_남_100세 이상,54,4,3,2,6,1,2,3,3,4,4,3,3,5,0,1,1,0,0,2,2,0,5
2021년11월_여_총인구수,"911,187","109,869","135,696","141,037","57,812","71,869","22,752","14,024","12,922","32,267","20,214","31,710","18,801","17,423","33,982","25,476","45,291","15,567","26,045","21,246","24,233","15,179","17,772"
2021년11월_여_연령구간인구수,"911,187","109,869","135,696","141,037","57,812","71,869","22,752","14,024","12,922","32,267","20,214","31,710","18,801","17,423","33,982","25,476","45,291","15,567","26,045","21,246","24,233","15,179","17,772"
2021년11월_여_0~9세,"61,010","7,988","9,698","11,046","4,789","6,225","1,122",467,538,"1,221",728,"1,615",929,778,"1,785","1,560","3,976",585,"1,816","1,244","1,410",800,690
2021년11월_여_10~19세,"78,842","11,627","12,388","14,157","4,694","7,561","1,441",864,842,"1,698","1,227","2,648","1,230","1,176","2,432","2,031","4,767",924,"1,917","1,510","1,680","1,069",959
2021년11월_여_20~29세,"85,440","12,031","14,119","16,776","5,750","8,072","1,842",979,814,"1,605","1,169","3,056","1,249","1,177","2,322","2,018","4,403",963,"2,021","1,602","1,486","1,001",985
2021년11월_여_30~39세,"84,843","11,510","13,764","15,926","6,908","8,333","1,732",766,738,"1,574","1,085","2,270","1,187","1,090","2,154","2,027","5,511",860,"2,238","1,589","1,676",975,930
2021년11월_여_40~49세,"117,868","17,482","19,213","21,551","7,492","11,120","2,196","1,286","1,242","2,531","1,691","3,881","1,722","1,598","3,392","2,896","6,889","1,335","2,764","2,306","2,473","1,425","1,383"
2021년11월_여_50~59세,"144,002","17,732","22,760","24,368","7,822","13,408","3,639","2,108","2,011","4,303","2,857","5,218","2,750","2,504","5,028","4,028","6,094","2,217","3,730","3,178","3,449","2,150","2,648"
2021년11월_여_60~69세,"140,596","15,732","21,451","18,220","8,321","8,628","4,179","2,491","2,436","6,518","3,797","4,809","3,385","3,193","6,308","4,068","5,725","2,921","4,225","3,571","4,366","2,699","3,553"
2021년11월_여_70~79세,"106,071","9,975","13,457","10,478","6,361","4,542","3,390","2,333","2,179","6,358","3,653","4,185","3,031","2,878","5,531","3,490","4,297","2,842","3,941","3,185","4,051","2,574","3,340"
2021년11월_여_80~89세,"78,346","4,993","7,416","7,131","4,804","3,259","2,721","2,252","1,797","5,397","3,367","3,465","2,758","2,537","4,262","2,880","3,101","2,497","2,942","2,628","3,118","2,156","2,865"
2021년11월_여_90~99세,"13,705",773,"1,396","1,330",843,701,465,466,314,"1,023",619,543,546,486,737,467,506,407,424,418,508,320,413
2021년11월_여_100세 이상,464,26,34,54,28,20,25,12,11,39,21,20,14,6,31,11,22,16,27,15,16,10,6
