,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년06월_남_60~69세,"10,475",721,321,378,298,414,450,366,393,212,268,340,197,173,240,142,684,683,381,"1,286","1,375",663,490
2020년06월_남_70~79세,"5,814",369,191,196,178,257,300,232,209,136,164,236,121,87,173,61,455,426,279,560,724,307,153
2020년06월_남_80~89세,"2,640",178,121,108,70,148,132,91,102,80,78,106,73,56,96,50,151,214,130,241,282,91,42
2020년06월_남_90~99세,232,17,11,5,6,12,15,12,6,6,10,17,14,5,5,5,12,16,11,20,15,6,6
2020년06월_남_100세 이상,10,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0
2020년06월_여_총인구수,"70,055","3,560","1,446","1,533","1,243","1,676","2,026","1,567","1,716",948,"1,138","1,445",798,642,"1,111",549,"3,373","3,980","2,073","12,536","10,291","5,418","10,986"
2020년06월_여_연령구간인구수,"70,055","3,560","1,446","1,533","1,243","1,676","2,026","1,567","1,716",948,"1,138","1,445",798,642,"1,111",549,"3,373","3,980","2,073","12,536","10,291","5,418","10,986"
2020년06월_여_0~9세,"5,158",182,52,33,28,32,71,43,41,19,35,25,15,11,20,6,106,120,69,"1,056",718,464,"2,012"
2020년06월_여_10~19세,"5,605",205,68,66,50,49,77,61,90,34,46,36,25,19,85,17,207,199,112,"1,483",955,504,"1,217"
2020년06월_여_20~29세,"6,469",255,105,99,72,76,119,121,122,72,58,92,32,27,52,16,256,351,158,"1,610",992,607,"1,177"
2020년06월_여_30~39세,"7,323",289,86,88,62,71,100,87,96,37,56,52,28,19,45,16,229,295,125,"1,401","1,045",604,"2,492"
2020년06월_여_40~49세,"9,188",366,113,119,79,94,191,114,142,68,81,74,45,42,69,39,329,395,187,"2,103","1,549",916,"2,073"
2020년06월_여_50~59세,"11,478",693,229,259,223,262,347,298,335,177,198,233,119,93,185,108,555,699,342,"2,089","1,976",924,"1,134"
2020년06월_여_60~69세,"10,909",675,322,308,294,368,425,360,380,199,253,322,162,133,225,130,812,917,445,"1,367","1,546",753,513
2020년06월_여_70~79세,"7,646",466,254,278,231,337,374,272,261,157,186,286,191,156,206,93,556,625,404,814,881,398,220
2020년06월_여_80~89세,"5,339",359,188,222,173,329,264,188,198,159,193,276,159,120,195,108,280,319,206,532,539,206,126
2020년06월_여_90~99세,898,70,29,56,31,57,55,22,48,25,31,49,20,20,27,14,43,55,24,74,88,40,20
2020년06월_여_100세 이상,42,0,0,5,0,1,3,1,3,1,1,0,2,2,2,2,0,5,1,7,2,2,2
