,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년08월_남_50~59세,"27,500",658,734,730,"1,158",567,"1,019","1,052",633,"1,239","1,082",370,"1,599","1,373","1,381","1,683","1,422","3,361","1,044","1,489","2,277",795,"1,834"
2021년08월_남_60~69세,"24,686",690,612,665,989,563,942,802,578,"1,265","1,077",384,"1,336","1,365","1,380","1,594","1,343","2,985",962,905,"1,761",716,"1,772"
2021년08월_남_70~79세,"13,250",416,384,395,526,324,584,388,329,730,594,209,647,683,702,867,780,"1,422",493,576,863,317,"1,021"
2021년08월_남_80~89세,"4,919",203,161,159,180,140,265,180,121,319,231,83,211,211,257,339,248,467,203,212,269,75,385
2021년08월_남_90~99세,331,10,15,7,18,6,22,12,6,20,24,5,13,14,16,22,14,31,13,13,20,4,26
2021년08월_남_100세 이상,13,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,2,0,1,0,2
2021년08월_여_총인구수,"172,789","3,750","5,521","4,969","5,769","3,370","6,828","6,045","3,704","6,973","7,010","1,905","10,976","7,311","7,786","9,735","7,570","21,828","5,535","10,909","14,808","9,435","11,052"
2021년08월_여_연령구간인구수,"172,789","3,750","5,521","4,969","5,769","3,370","6,828","6,045","3,704","6,973","7,010","1,905","10,976","7,311","7,786","9,735","7,570","21,828","5,535","10,909","14,808","9,435","11,052"
2021년08월_여_0~9세,"11,809",124,442,443,170,108,342,404,80,207,347,99,"1,096",310,376,444,354,"1,699",315,"1,152","1,185","1,443",669
2021년08월_여_10~19세,"12,475",164,399,287,279,169,405,432,144,362,465,94,"1,130",420,420,599,421,"1,737",285,"1,365","1,421",769,708
2021년08월_여_20~29세,"19,143",382,482,518,830,331,700,701,690,819,803,196,"1,024",842,953,"1,108",832,"2,403",595,"1,073","1,791",982,"1,088"
2021년08월_여_30~39세,"20,153",257,680,739,596,254,704,724,461,566,655,186,"1,361",623,808,831,677,"2,640",600,"1,512","1,902","2,174","1,203"
2021년08월_여_40~49세,"24,736",421,893,673,667,392,892,959,385,778,949,189,"2,009",791,924,"1,139",890,"3,277",646,"2,169","2,469","1,686","1,538"
2021년08월_여_50~59세,"28,818",612,810,765,"1,075",640,"1,170","1,057",617,"1,265","1,181",348,"1,679","1,458","1,468","1,929","1,338","3,524","1,096","1,402","2,418",963,"2,003"
2021년08월_여_60~69세,"28,527",772,833,802,"1,119",734,"1,236",882,670,"1,472","1,346",370,"1,459","1,555","1,455","1,915","1,518","3,520","1,083","1,113","1,986",827,"1,860"
2021년08월_여_70~79세,"17,099",606,614,474,688,470,870,535,407,984,806,256,774,839,884,"1,098",975,"1,848",616,731,"1,069",397,"1,158"
2021년08월_여_80~89세,"8,772",347,328,235,304,246,445,312,225,466,397,145,371,424,434,599,494,"1,022",260,349,506,161,702
2021년08월_여_90~99세,"1,217",59,39,31,41,26,60,37,24,53,58,22,69,48,64,69,69,154,39,42,61,30,122
2021년08월_여_100세 이상,40,6,1,2,0,0,4,2,1,1,3,0,4,1,0,4,2,4,0,1,0,3,1
