카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년02월_남_연령구간인구수,"809,805","423,236","89,785","100,113","133,439","99,899","106,535","67,244","16,521","25,665","23,990","19,373","42,535","19,500","50,219","14,987"
2020년02월_남_0~9세,"65,526","39,048","7,692","7,858","12,578","10,920","7,691","4,699",810,"1,454","1,308","1,811","3,972",691,"3,377",665
2020년02월_남_10~19세,"79,845","45,856","10,148","11,356","14,137","10,215","10,171","6,315","1,170","2,130","1,862","1,799","4,134","1,120","4,192","1,096"
2020년02월_남_20~29세,"110,377","64,675","12,544","15,814","21,972","14,345","13,933","8,369","1,437","2,583","2,607","2,634","5,152","1,869","5,714","1,404"
2020년02월_남_30~39세,"104,946","62,401","10,742","12,493","21,476","17,690","12,899","7,048","1,310","2,126","1,875","2,720","6,174","1,474","5,765","1,154"
2020년02월_남_40~49세,"126,554","69,374","14,536","16,038","21,967","16,833","16,273","9,748","1,944","3,507","3,100","3,121","7,188","2,309","8,050","1,940"
2020년02월_남_50~59세,"140,698","68,508","15,826","17,342","21,286","14,054","19,456","12,434","3,320","4,851","4,530","3,198","7,334","4,063","9,939","3,065"
2020년02월_남_60~69세,"104,938","44,512","10,804","11,592","12,667","9,449","14,889","10,703","3,329","4,819","4,434","2,384","4,893","4,261","7,590","3,124"
2020년02월_남_70~79세,"53,233","20,561","5,248","5,412","5,353","4,548","7,677","5,569","2,037","2,803","2,815","1,188","2,481","2,497","3,865","1,740"
2020년02월_남_80~89세,"21,590","7,612","2,024","2,033","1,859","1,696","3,218","2,163","1,046","1,257","1,324",471,"1,118","1,115","1,538",728
2020년02월_남_90~99세,"1,945",640,211,159,137,133,312,173,117,128,126,44,84,94,164,63
2020년02월_남_100세 이상,153,49,10,16,7,16,16,23,1,7,9,3,5,7,25,8
2020년02월_여_총인구수,"788,794","417,036","90,492","101,591","129,693","95,260","104,108","66,927","16,319","25,238","24,374","18,046","38,766","18,685","44,690","14,605"
2020년02월_여_연령구간인구수,"788,794","417,036","90,492","101,591","129,693","95,260","104,108","66,927","16,319","25,238","24,374","18,046","38,766","18,685","44,690","14,605"
2020년02월_여_0~9세,"62,764","37,542","7,403","7,609","12,100","10,430","7,503","4,562",751,"1,294","1,222","1,737","3,740",673,"3,125",615
2020년02월_여_10~19세,"73,274","42,104","9,317","10,344","12,968","9,475","9,295","5,882","1,028","1,915","1,757","1,666","3,743","1,076","3,818",990
2020년02월_여_20~29세,"88,533","53,975","10,555","13,383","18,509","11,528","10,472","6,728","1,055","1,964","2,090","1,940","3,785","1,341","4,181","1,002"
2020년02월_여_30~39세,"93,822","57,411","10,403","11,999","19,591","15,418","11,096","6,508","1,052","1,969","1,685","2,223","5,153","1,144","4,579","1,002"
2020년02월_여_40~49세,"117,428","67,890","14,671","16,577","21,382","15,260","15,341","9,178","1,537","2,927","2,535","2,647","5,934","1,669","6,214","1,556"
2020년02월_여_50~59세,"133,159","68,226","15,682","17,888","21,185","13,471","18,513","11,961","2,720","4,302","4,124","2,915","6,130","3,479","8,033","2,756"
2020년02월_여_60~69세,"104,988","46,352","11,035","12,402","13,050","9,865","14,937","10,868","3,198","4,575","4,356","2,340","4,697","3,909","6,819","2,937"
2020년02월_여_70~79세,"65,804","25,713","6,694","6,837","6,458","5,724","9,755","6,751","2,570","3,388","3,630","1,492","2,974","2,963","4,380","2,188"
2020년02월_여_80~89세,"41,923","15,158","4,000","3,856","3,813","3,489","6,270","3,828","2,029","2,468","2,527",963,"2,245","2,080","3,002","1,353"
2020년02월_여_90~99세,"6,711","2,526",687,660,606,573,875,614,356,416,425,115,352,331,510,191
2020년02월_여_100세 이상,388,139,45,36,31,27,51,47,23,20,23,8,13,20,29,15
