,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년06월_계_80~89세,"9,964",373,520,264,148,657,464,232,470,234,135,408,741,266,269,281,651,263,795,367,413,178,144,172,579,734,206
2020년06월_계_90~99세,"1,550",59,69,26,31,100,71,43,63,35,32,54,106,53,39,31,103,45,128,61,58,36,29,25,102,118,33
2020년06월_계_100세 이상,62,0,1,3,0,1,1,1,0,7,1,3,4,4,4,1,7,4,7,1,0,0,2,5,3,2,0
2020년06월_남_총인구수,"140,303","1,352","2,416","9,200","16,057","6,116","1,496",874,"1,635",783,440,"1,601","2,809","1,444","1,883","2,357","12,083","3,249","22,443","3,921","4,592","1,414","1,299","1,638","9,302","20,103","9,796"
2020년06월_남_연령구간인구수,"140,303","1,352","2,416","9,200","16,057","6,116","1,496",874,"1,635",783,440,"1,601","2,809","1,444","1,883","2,357","12,083","3,249","22,443","3,921","4,592","1,414","1,299","1,638","9,302","20,103","9,796"
2020년06월_남_0~9세,"12,257",36,62,830,"2,996",445,30,18,35,12,17,40,74,35,79,76,919,198,"1,781",215,206,61,38,57,"1,154","1,880",963
2020년06월_남_10~19세,"16,099",69,122,"1,430","2,530",546,54,26,86,20,21,81,146,105,150,203,"1,374",298,"2,946",337,383,97,60,107,899,"2,611","1,398"
2020년06월_남_20~29세,"20,182",109,247,"1,706","1,580",706,98,60,114,48,34,136,261,157,212,462,"2,103",437,"3,696",515,650,193,159,238,"1,178","3,332","1,751"
2020년06월_남_30~39세,"16,972",63,182,"1,107","3,232",620,88,62,113,49,22,85,163,90,186,218,"1,379",352,"2,656",427,428,135,124,161,"1,368","2,483","1,179"
2020년06월_남_40~49세,"21,607",151,321,"1,557","3,236",928,153,92,167,85,34,153,354,168,231,284,"1,744",470,"3,405",541,635,168,189,233,"1,478","3,263","1,567"
2020년06월_남_50~59세,"24,820",330,545,"1,728","1,704","1,182",298,181,330,184,94,306,557,305,306,390,"2,077",603,"4,186",642,892,232,265,304,"1,516","3,771","1,892"
2020년06월_남_60~69세,"16,478",281,438,577,598,947,327,227,335,174,104,379,588,296,369,341,"1,558",496,"2,568",646,734,248,252,272,"1,016","1,913",794
2020년06월_남_70~79세,"8,361",189,321,188,143,535,283,134,293,134,80,282,417,191,259,275,696,283,914,428,493,187,142,194,495,618,187
2020년06월_남_80~89세,"3,210",109,169,73,37,185,144,64,150,69,30,129,225,89,81,102,214,102,261,159,165,84,63,60,181,206,59
2020년06월_남_90~99세,309,15,9,4,1,22,21,10,12,5,3,9,23,8,10,6,18,10,29,11,6,9,7,12,17,26,6
2020년06월_남_100세 이상,8,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020년06월_여_총인구수,"140,751","1,390","2,260","9,299","15,561","6,100","1,490",964,"1,614",741,479,"1,684","2,777","1,388","1,949","2,371","12,457","3,207","22,596","3,898","4,493","1,492","1,207","1,543","9,149","20,579","10,063"
2020년06월_여_연령구간인구수,"140,751","1,390","2,260","9,299","15,561","6,100","1,490",964,"1,614",741,479,"1,684","2,777","1,388","1,949","2,371","12,457","3,207","22,596","3,898","4,493","1,492","1,207","1,543","9,149","20,579","10,063"
2020년06월_여_0~9세,"11,573",21,73,786,"2,827",414,28,18,31,5,10,38,72,24,79,72,872,171,"1,800",183,180,54,28,51,"1,012","1,787",937
2020년06월_여_10~19세,"14,673",65,105,"1,235","2,249",489,48,45,61,18,21,73,139,66,122,164,"1,349",291,"2,658",279,335,103,53,94,825,"2,432","1,354"
2020년06월_여_20~29세,"17,019",75,178,"1,453","1,485",613,70,71,87,34,24,105,164,104,163,382,"1,741",341,"3,041",405,516,155,138,154,998,"3,005","1,517"
2020년06월_여_30~39세,"16,248",59,94,"1,136","3,353",565,53,41,49,18,15,67,124,67,145,195,"1,295",294,"2,511",370,367,125,88,126,"1,332","2,504","1,255"
2020년06월_여_40~49세,"22,164",88,180,"1,963","3,284",826,69,48,67,36,25,93,206,128,208,238,"1,883",472,"3,864",434,500,154,113,203,"1,386","3,745","1,951"
2020년06월_여_50~59세,"24,290",236,384,"1,655","1,457","1,068",196,152,244,119,63,270,436,248,289,385,"2,384",568,"4,530",713,883,254,230,259,"1,499","3,845","1,923"
2020년06월_여_60~69세,"16,343",241,442,565,542,925,305,185,341,114,88,359,507,272,422,394,"1,634",563,"2,510",725,849,272,282,290,"1,016","1,813",687
2020년06월_여_70~79세,"10,392",297,392,290,223,649,350,202,363,198,99,353,527,253,300,336,771,307,"1,043",530,563,254,170,236,595,826,265
2020년06월_여_80~89세,"6,754",264,351,191,111,472,320,168,320,165,105,279,516,177,188,179,437,161,534,208,248,94,81,112,398,528,147
2020년06월_여_90~99세,"1,241",44,60,22,30,78,50,33,51,30,29,45,83,45,29,25,85,35,99,50,52,27,22,13,85,92,27
2020년06월_여_100세 이상,54,0,1,3,0,1,1,1,0,4,0,2,3,4,4,1,6,4,6,1,0,0,2,5,3,2,0
