,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년01월_남_80~89세,"2,644",214,53,154,129,53,115,171,73,82,83,64,25,72,108,56,13,100,54,29,89,102,30,164,130,135,145,85,116
2021년01월_남_90~99세,247,18,4,11,16,4,12,19,8,5,8,9,0,7,14,4,0,10,3,4,9,19,4,13,6,11,13,3,13
2021년01월_남_100세 이상,13,3,0,0,2,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2021년01월_여_총인구수,"49,570","3,419",722,"1,975","1,580",507,"1,367","2,009",830,963,"1,286",865,395,993,"1,421",613,160,"1,437",614,181,"1,128","1,075",430,"6,213","4,571","4,190","4,279","1,862","4,485"
2021년01월_여_연령구간인구수,"49,570","3,419",722,"1,975","1,580",507,"1,367","2,009",830,963,"1,286",865,395,993,"1,421",613,160,"1,437",614,181,"1,128","1,075",430,"6,213","4,571","4,190","4,279","1,862","4,485"
2021년01월_여_0~9세,"2,513",124,14,50,46,14,38,48,33,34,49,31,12,31,63,12,3,48,12,6,22,23,13,449,355,287,265,73,358
2021년01월_여_10~19세,"3,578",267,33,66,80,21,37,77,23,35,71,32,19,51,78,35,5,77,19,6,50,53,18,572,403,416,397,156,481
2021년01월_여_20~29세,"3,383",181,27,65,70,17,51,73,32,43,55,35,15,45,65,36,4,47,19,3,31,42,30,558,424,340,385,124,566
2021년01월_여_30~39세,"3,433",205,31,92,47,16,69,84,44,34,62,32,27,43,78,23,4,62,15,3,33,27,20,573,523,352,371,134,429
2021년01월_여_40~49세,"5,392",356,30,113,105,28,75,102,37,64,99,67,18,65,114,55,10,128,31,10,65,81,23,926,673,586,629,217,685
2021년01월_여_50~59세,"7,857",496,92,275,237,83,200,298,110,172,239,143,78,160,256,110,26,223,76,24,144,131,73,"1,059",756,703,682,304,707
2021년01월_여_60~69세,"9,390",679,164,421,308,112,308,502,191,222,313,202,86,226,299,137,45,313,148,33,264,209,86,999,731,666,718,376,632
2021년01월_여_70~79세,"7,163",562,171,404,319,83,288,419,167,177,220,162,64,191,239,103,32,262,156,39,244,243,74,636,400,447,469,266,326
2021년01월_여_80~89세,"5,772",464,140,412,299,119,251,343,160,157,152,144,63,138,201,83,26,233,113,50,226,218,70,366,255,347,307,178,257
2021년01월_여_90~99세,"1,038",79,20,73,65,12,47,62,33,25,23,17,13,43,27,17,5,41,23,7,48,46,22,68,51,44,53,30,44
2021년01월_여_100세 이상,51,6,0,4,4,2,3,1,0,0,3,0,0,0,1,2,0,3,2,0,1,2,1,7,0,2,3,4,0
