,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2021년03월_남_70~79세,"109,456","29,493","6,433","3,372","7,510","6,820","5,358","11,190","5,058","4,593","11,561","5,551","5,204","9,585","1,644","2,964","3,521","3,002","2,912","2,757","2,314","2,275","2,891","2,941"
2021년03월_남_80~89세,"39,941","9,000","1,819",874,"2,426","1,982","1,899","3,906","1,521","1,822","3,640","2,148","1,543","3,119",903,"1,257","1,528","1,319","1,486","1,345","1,095","1,163","1,540","1,606"
2021년03월_남_90~99세,"3,305",675,144,78,207,111,135,310,123,128,260,170,122,239,96,112,108,119,147,157,110,121,169,139
2021년03월_남_100세 이상,115,30,7,2,10,7,4,16,4,7,13,6,9,3,1,5,0,1,1,5,2,3,6,3
2021년03월_여_총인구수,"1,653,442","510,558","128,122","104,139","89,794","94,563","93,940","175,461","63,145","54,716","267,282","53,148","116,024","175,843","13,558","31,369","30,673","25,414","22,110","22,222","17,628","20,194","31,534","22,563"
2021년03월_여_연령구간인구수,"1,653,442","510,558","128,122","104,139","89,794","94,563","93,940","175,461","63,145","54,716","267,282","53,148","116,024","175,843","13,558","31,369","30,673","25,414","22,110","22,222","17,628","20,194","31,534","22,563"
2021년03월_여_0~9세,"128,255","39,808","10,259","7,857","6,310","6,299","9,083","13,400","4,671","3,839","23,715","2,674","12,535","16,726",517,"1,956","1,506","1,235",757,862,611,881,"1,817",745
2021년03월_여_10~19세,"153,485","47,007","10,979","10,685","6,723","8,540","10,080","16,503","6,107","4,920","29,187","3,679","13,220","16,741",694,"2,766","1,906","1,883","1,347","1,281",963,"1,423","2,720","1,138"
2021년03월_여_20~29세,"165,502","56,845","15,677","14,029","8,561","9,765","8,813","20,170","4,839","4,251","31,202","3,766","10,370","18,780",859,"2,230","2,020","1,583","1,229","1,332","1,021","1,323","2,424","1,258"
2021년03월_여_30~39세,"187,692","62,542","16,444","13,521","9,891","10,084","12,602","20,113","6,452","5,341","33,217","4,114","16,886","23,584",812,"2,634","2,243","1,669","1,157","1,208",969,"1,257","2,400","1,094"
2021년03월_여_40~49세,"258,687","82,110","20,117","18,265","12,418","14,631","16,679","26,998","9,737","8,234","49,168","6,030","21,672","30,074","1,190","4,250","3,128","2,767","2,111","2,155","1,539","1,958","3,771","1,795"
2021년03월_여_50~59세,"283,286","93,433","25,488","22,180","14,823","17,187","13,755","29,082","10,754","8,624","47,338","9,197","18,193","29,021","2,002","5,042","5,025","4,092","3,333","3,716","2,922","3,161","5,010","3,341"
2021년03월_여_60~69세,"237,962","73,155","17,439","11,455","16,102","15,836","12,323","24,482","10,648","8,683","29,307","10,906","13,230","22,423","2,627","5,423","6,181","4,932","4,305","4,388","3,611","3,756","5,334","4,571"
2021년03월_여_70~79세,"136,929","34,718","7,071","3,646","9,270","8,186","6,545","14,465","6,081","6,091","14,933","7,205","5,720","11,686","2,317","3,687","4,532","3,767","3,720","3,589","2,918","3,236","4,076","4,188"
2021년03월_여_80~89세,"86,798","17,894","3,950","2,124","4,794","3,517","3,509","8,705","3,327","4,021","8,022","4,831","3,501","5,898","2,176","2,921","3,552","2,939","3,422","3,063","2,603","2,705","3,380","3,838"
2021년03월_여_90~99세,"14,375","2,921",668,369,856,490,538,"1,479",517,694,"1,155",726,678,880,358,451,566,534,714,613,459,477,585,568
2021년03월_여_100세 이상,471,125,30,8,46,28,13,64,12,18,38,20,19,30,6,9,14,13,15,15,12,17,17,27
