,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2021년03월_여_총인구수,"248,553","19,235","7,782","6,492","18,374","16,621","7,608","6,569","16,078","11,450","9,396","3,264","17,465","8,112","9,818","17,371","15,018","8,179","9,668","16,373","6,151","6,231","11,298"
2021년03월_여_연령구간인구수,"248,553","19,235","7,782","6,492","18,374","16,621","7,608","6,569","16,078","11,450","9,396","3,264","17,465","8,112","9,818","17,371","15,018","8,179","9,668","16,373","6,151","6,231","11,298"
2021년03월_여_0~9세,"15,681","1,153",420,296,"1,207","1,208",472,295,"1,324",560,591,175,"1,301",436,582,"1,123","1,188",418,659,914,481,298,580
2021년03월_여_10~19세,"20,533","1,467",589,400,"1,124","1,155",430,486,"1,776",943,855,253,"1,401",542,680,"1,740","2,036",513,859,"1,622",475,473,714
2021년03월_여_20~29세,"33,682","3,130","1,001",789,"2,954","2,622","1,111",764,"1,939","1,357","1,284",395,"2,345","1,193","1,218","2,222","1,813",999,"1,252","2,361",692,781,"1,460"
2021년03월_여_30~39세,"32,223","2,846",985,769,"3,097","2,754","1,171",726,"1,929","1,134","1,105",363,"2,517","1,000","1,326","1,906","1,552",947,"1,276","2,065",820,635,"1,300"
2021년03월_여_40~49세,"37,854","2,882","1,137",882,"2,711","2,475","1,031",875,"2,842","1,581","1,464",462,"2,569","1,116","1,224","2,922","3,119","1,063","1,501","2,706",845,923,"1,524"
2021년03월_여_50~59세,"45,630","3,246","1,391","1,177","3,093","2,794","1,332","1,239","2,934","2,117","1,822",658,"3,239","1,679","1,931","3,281","2,631","1,472","1,789","3,253","1,137","1,167","2,248"
2021년03월_여_60~69세,"34,661","2,518","1,219","1,103","2,330","2,007","1,121","1,178","1,944","1,914","1,233",525,"2,398","1,225","1,580","2,195","1,482","1,508","1,319","1,911","1,003","1,039","1,909"
2021년03월_여_70~79세,"17,173","1,192",679,665,"1,183",998,555,596,849,"1,033",596,260,"1,046",581,720,"1,092",714,830,641,909,444,589,"1,001"
2021년03월_여_80~89세,"9,353",671,308,343,577,506,324,338,455,663,380,133,563,282,461,749,389,375,330,533,217,279,477
2021년03월_여_90~99세,"1,674",124,52,66,97,94,52,69,85,136,66,32,84,56,95,137,91,51,39,96,36,43,73
2021년03월_여_100세 이상,89,6,1,2,1,8,9,3,1,12,0,8,2,2,1,4,3,3,3,3,1,4,12
