카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년06월_남_90~99세,315,20,46,4,15,6,12,4,5,20,14,7,12,12,20,19,17,13,14,9,18,14,14
2020년06월_남_100세 이상,33,4,4,0,1,1,2,3,0,4,0,0,1,2,0,1,2,3,2,1,1,1,0
2020년06월_여_총인구수,"269,375","22,763","20,543","15,869","24,661","14,137","14,163","3,167","4,974","11,131","6,545","7,399","16,230","5,676","10,661","8,164","5,347","16,004","11,385","12,147","14,306","12,183","11,920"
2020년06월_여_연령구간인구수,"269,375","22,763","20,543","15,869","24,661","14,137","14,163","3,167","4,974","11,131","6,545","7,399","16,230","5,676","10,661","8,164","5,347","16,004","11,385","12,147","14,306","12,183","11,920"
2020년06월_여_0~9세,"25,083","2,379","1,276","1,945","3,418","2,129","1,609",180,253,632,386,290,"1,411",279,720,352,402,"1,345","1,017","1,251","1,531","1,181","1,097"
2020년06월_여_10~19세,"27,840","2,119","1,761","2,175","3,024","1,768","1,037",220,388,781,448,673,"1,555",439,"1,011",638,362,"1,683","1,425","1,706","1,625","1,320","1,682"
2020년06월_여_20~29세,"35,161","3,198","3,100","1,986","2,885","1,483","1,753",463,771,"1,540",785,"1,090","2,145",777,"1,475","1,110",722,"2,227","1,336","1,319","1,921","1,481","1,594"
2020년06월_여_30~39세,"39,833","4,201","2,383","3,087","4,510","2,784","2,516",394,534,"1,272",736,704,"2,250",642,"1,320",811,804,"2,186","1,298","1,806","2,391","1,689","1,515"
2020년06월_여_40~49세,"47,142","4,105","3,199","3,287","4,958","2,798","2,128",392,696,"1,534",887,"1,086","2,506",839,"1,595","1,145",778,"2,911","2,270","2,795","2,764","2,119","2,350"
2020년06월_여_50~59세,"45,887","3,401","4,332","1,911","3,290","1,856","2,370",790,"1,197","2,415","1,363","1,608","3,075","1,171","2,174","1,706",995,"2,701","1,818","1,529","2,197","2,129","1,859"
2020년06월_여_60~69세,"27,379","1,967","2,374",870,"1,625",830,"1,604",450,644,"1,673","1,073","1,076","2,036",812,"1,383","1,342",741,"1,609","1,095",932,"1,037","1,229",977
2020년06월_여_70~79세,"12,925",914,"1,261",378,605,285,686,146,299,784,539,534,786,469,585,643,315,830,719,519,527,592,509
2020년06월_여_80~89세,"6,767",400,706,191,288,167,375,99,168,421,278,290,375,216,329,352,181,421,369,236,268,359,278
2020년06월_여_90~99세,"1,289",76,145,37,56,37,80,29,22,73,46,47,85,31,67,59,43,84,34,51,44,84,59
2020년06월_여_100세 이상,69,3,6,2,2,0,5,4,2,6,4,1,6,1,2,6,4,7,4,3,1,0,0
