,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2021년05월_남_20~29세,"14,540",587,305,228,587,633,960,268,397,292,353,111,310,186,606,969,636,"1,333","1,116","1,398",292,758,625,"1,590"
2021년05월_남_30~39세,"12,754",557,237,225,531,842,693,331,334,252,320,126,176,147,510,968,554,"1,317",830,971,271,648,527,"1,387"
2021년05월_남_40~49세,"18,920",776,403,401,739,902,"1,058",436,568,433,512,251,323,247,796,"1,626",942,"1,722","1,069","1,301",410,969,698,"2,338"
2021년05월_남_50~59세,"18,146",911,432,462,754,608,"1,138",394,732,486,435,308,418,302,782,"1,228",770,"1,648","1,050","1,452",396,901,744,"1,795"
2021년05월_남_60~69세,"13,997",952,477,419,600,375,738,333,746,491,445,328,428,298,632,829,646,"1,372",656,"1,019",331,522,466,894
2021년05월_남_70~79세,"7,804",663,362,311,372,196,361,189,581,436,307,214,293,210,335,452,362,669,265,353,175,229,180,289
2021년05월_남_80~89세,"2,473",217,75,106,107,52,104,66,191,153,94,81,101,66,115,166,141,171,68,128,57,94,72,48
2021년05월_남_90~99세,212,18,5,15,10,2,8,3,19,13,4,5,8,2,5,20,5,22,10,11,3,8,8,8
2021년05월_남_100세 이상,5,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"110,900","5,213","2,533","2,310","4,822","5,073","6,484","2,507","3,734","2,551","3,091","1,317","1,918","1,503","4,582","8,633","5,490","10,866","5,739","8,269","2,381","5,920","4,343","11,621"
2021년05월_여_연령구간인구수,"110,900","5,213","2,533","2,310","4,822","5,073","6,484","2,507","3,734","2,551","3,091","1,317","1,918","1,503","4,582","8,633","5,490","10,866","5,739","8,269","2,381","5,920","4,343","11,621"
2021년05월_여_0~9세,"8,392",206,97,82,342,690,425,199,102,91,195,27,59,69,298,837,435,867,374,607,195,552,336,"1,307"
2021년05월_여_10~19세,"11,736",347,151,158,493,587,711,225,198,152,308,56,97,113,487,"1,178",720,"1,154",507,874,228,798,398,"1,796"
2021년05월_여_20~29세,"12,328",469,208,176,559,595,748,254,310,214,331,85,143,125,474,781,533,"1,186","1,095","1,178",261,714,585,"1,304"
2021년05월_여_30~39세,"11,921",401,200,139,458,873,619,325,246,162,281,69,95,96,430,"1,012",590,"1,172",722,940,255,761,509,"1,566"
2021년05월_여_40~49세,"17,755",589,274,228,741,903,"1,075",372,399,261,419,122,155,164,686,"1,597",948,"1,804",946,"1,373",381,"1,144",688,"2,486"
2021년05월_여_50~59세,"17,859",824,394,351,826,619,"1,161",389,588,382,496,195,258,209,813,"1,259",830,"1,803",924,"1,608",371,960,855,"1,744"
2021년05월_여_60~69세,"15,429","1,140",587,455,720,452,895,352,776,566,545,328,406,276,738,"1,002",780,"1,493",646,976,343,564,532,857
2021년05월_여_70~79세,"9,842",816,429,455,412,221,543,238,710,502,350,285,425,281,425,607,406,853,312,442,205,278,282,365
2021년05월_여_80~89세,"4,845",361,156,235,234,110,277,138,330,195,147,127,250,149,207,319,204,456,182,230,118,124,138,158
2021년05월_여_90~99세,760,58,36,29,36,23,30,13,70,25,19,22,28,21,24,39,39,75,28,39,24,25,20,37
2021년05월_여_100세 이상,33,2,1,2,1,0,0,2,5,1,0,1,2,0,0,2,5,3,3,2,0,0,0,1
