,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년04월_계_80~89세,"16,152","1,296","1,596","1,139",736,928,"1,149","1,022",897,715,"1,169","1,498",872,691,520,397,"1,527"
2021년04월_계_90~99세,"2,028",174,191,126,100,112,147,115,115,88,143,165,93,86,72,53,248
2021년04월_계_100세 이상,281,6,12,12,6,12,3,23,2,22,2,9,1,4,3,0,164
2021년04월_남_총인구수,"227,446","17,643","18,515","13,644","11,080","13,524","15,940","12,641","14,618","13,351","12,097","21,714","13,140","10,260","7,351","5,525","26,403"
2021년04월_남_연령구간인구수,"227,446","17,643","18,515","13,644","11,080","13,524","15,940","12,641","14,618","13,351","12,097","21,714","13,140","10,260","7,351","5,525","26,403"
2021년04월_남_0~9세,"14,700","1,201","1,198",538,521,777,859,589,"1,143","1,650",528,"1,299",753,554,371,376,"2,343"
2021년04월_남_10~19세,"19,381","1,134","1,384",901,789,"1,188","1,386",748,"1,344","1,199",821,"1,726","1,086",904,585,399,"3,787"
2021년04월_남_20~29세,"31,875","2,392","2,583","2,142","1,854","2,115","2,161","2,180","1,914","1,372","1,797","3,121","1,959","1,511","1,018",746,"3,010"
2021년04월_남_30~39세,"33,216","2,955","2,642","1,996","1,589","1,874","2,073","2,064","2,494","2,309","1,775","3,120","2,047","1,444","1,010",895,"2,929"
2021년04월_남_40~49세,"37,277","2,888","2,840","1,998","1,643","2,259","2,525","1,955","2,567","2,672","1,787","3,759","2,042","1,592","1,105",760,"4,885"
2021년04월_남_50~59세,"36,865","2,824","3,130","2,257","1,793","2,202","2,799","2,019","2,223","1,787","2,068","3,564","2,071","1,675","1,240",995,"4,218"
2021년04월_남_60~69세,"30,012","2,298","2,559","2,081","1,629","1,698","2,283","1,607","1,590","1,340","1,756","2,814","1,829","1,549","1,157",829,"2,993"
2021년04월_남_70~79세,"17,073","1,381","1,486","1,229",923,978,"1,326","1,007",977,724,"1,074","1,687",979,740,626,377,"1,559"
2021년04월_남_80~89세,"6,451",531,625,463,312,397,490,431,331,266,452,584,350,264,222,136,597
2021년04월_남_90~99세,555,37,66,35,25,32,38,34,34,25,39,40,24,26,16,12,72
2021년04월_남_100세 이상,41,2,2,4,2,4,0,7,1,7,0,0,0,1,1,0,10
2021년04월_여_총인구수,"247,397","19,471","20,608","14,493","11,656","15,052","16,351","14,505","16,230","14,148","12,730","24,368","14,089","10,316","7,759","5,696","29,925"
2021년04월_여_연령구간인구수,"247,397","19,471","20,608","14,493","11,656","15,052","16,351","14,505","16,230","14,148","12,730","24,368","14,089","10,316","7,759","5,696","29,925"
2021년04월_여_0~9세,"13,972","1,211","1,100",550,454,723,863,547,"1,101","1,529",450,"1,280",806,511,358,333,"2,156"
2021년04월_여_10~19세,"18,551","1,140","1,266",864,740,"1,202","1,442",877,"1,225","1,098",753,"1,749",965,715,568,356,"3,591"
2021년04월_여_20~29세,"34,587","2,652","2,767","2,134","1,816","2,259","2,248","2,757","2,304","1,368","1,793","3,445","1,910","1,427","1,030",731,"3,946"
2021년04월_여_30~39세,"34,187","3,039","2,728","1,815","1,389","1,968","1,986","2,119","2,628","2,602","1,588","3,373","1,999","1,313",993,865,"3,782"
2021년04월_여_40~49세,"38,037","2,829","3,041","1,846","1,574","2,389","2,507","2,055","2,662","2,546","1,699","3,749","2,075","1,544","1,124",748,"5,649"
2021년04월_여_50~59세,"39,776","3,063","3,543","2,601","2,134","2,539","2,782","2,119","2,342","1,868","2,092","4,065","2,360","1,787","1,284",974,"4,223"
2021년04월_여_60~69세,"35,153","2,870","3,074","2,390","1,899","2,040","2,351","1,988","2,030","1,621","2,027","3,517","2,115","1,637","1,293",892,"3,409"
2021년04월_여_70~79세,"21,720","1,761","1,983","1,518","1,147","1,313","1,401","1,355","1,290",989,"1,505","2,142","1,267",892,753,495,"1,909"
2021년04월_여_80~89세,"9,701",765,971,676,424,531,659,591,566,449,717,914,522,427,298,261,930
2021년04월_여_90~99세,"1,473",137,125,91,75,80,109,81,81,63,104,125,69,60,56,41,176
2021년04월_여_100세 이상,240,4,10,8,4,8,3,16,1,15,2,9,1,3,2,0,154
