카테고리,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2020년12월_남_70~79세,"1,664,340","320,416","132,206","76,599","80,868","41,434","41,509","28,575","6,602","347,382","60,730","54,272","77,607","75,155","84,379","107,476","108,436","20,694"
2020년12월_남_80~89세,"608,461","108,339","41,604","27,260","26,682","13,995","14,485","7,503","2,415","126,549","25,547","22,539","35,055","30,700","34,535","44,291","38,987","7,975"
2020년12월_남_90~99세,"57,058","11,221","3,285","2,073","2,665","1,259","1,367",533,263,"12,505","2,558","2,051","3,384","3,033","3,179","3,831","3,253",598
2020년12월_남_100세 이상,"5,351","1,791",420,176,259,55,89,35,10,"1,157",266,161,204,177,122,212,177,40
2020년12월_여_총인구수,"25,987,994","4,966,742","1,730,946","1,225,237","1,468,885","732,714","733,183","552,309","178,263","6,672,545","766,335","789,246","1,038,395","907,230","920,934","1,310,211","1,658,793","336,026"
2020년12월_여_연령구간인구수,"25,987,994","4,966,742","1,730,946","1,225,237","1,468,885","732,714","733,183","552,309","178,263","6,672,545","766,335","789,246","1,038,395","907,230","920,934","1,310,211","1,658,793","336,026"
2020년12월_여_0~9세,"1,934,358","303,470","113,183","86,941","111,278","58,205","55,707","47,887","23,095","559,197","51,568","60,303","84,200","62,690","64,846","91,832","130,627","29,329"
2020년12월_여_10~19세,"2,314,563","380,581","131,456","107,795","133,137","75,686","70,659","53,246","21,258","645,368","65,953","71,676","97,358","84,360","80,500","107,254","154,583","33,693"
2020년12월_여_20~29세,"3,232,486","752,742","206,470","149,859","192,183","100,040","101,067","63,369","18,403","856,111","78,710","88,360","108,992","97,255","88,629","123,333","167,925","39,038"
2020년12월_여_30~39세,"3,331,569","737,205","204,717","141,240","196,121","90,998","92,795","71,140","31,488","924,616","78,926","91,394","124,000","91,547","88,135","135,834","190,646","40,767"
2020년12월_여_40~49세,"4,079,816","771,232","253,860","194,481","236,575","121,322","118,978","92,164","33,643","1,130,587","109,102","116,220","153,082","129,947","120,803","183,302","260,111","54,407"
2020년12월_여_50~59세,"4,282,470","774,974","292,845","217,139","256,130","117,962","121,283","102,911","21,711","1,102,615","130,154","132,842","160,507","144,634","145,589","221,920","285,199","54,055"
2020년12월_여_60~69세,"3,445,902","656,660","280,036","170,787","185,618","85,733","92,093","72,097","15,204","770,912","121,424","111,608","139,797","129,517","135,186","206,309","232,715","40,206"
2020년12월_여_70~79세,"2,033,906","383,660","161,093","98,677","96,635","52,107","49,811","31,593","7,790","418,433","74,729","66,247","93,832","95,185","108,527","133,935","136,755","24,897"
2020년12월_여_80~89세,"1,120,961","169,755","74,076","50,405","50,822","25,676","26,034","15,209","4,694","221,664","46,465","43,030","64,910","60,804","75,083","90,756","85,661","15,917"
2020년12월_여_90~99세,"195,402","31,462","11,743","7,356","9,676","4,616","4,474","2,553",937,"39,884","8,706","7,158","11,000","10,612","12,888","14,955","13,921","3,461"
2020년12월_여_100세 이상,"16,561","5,001","1,467",557,710,369,282,140,40,"3,158",598,408,717,679,748,781,650,256
