카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년01월_남_30~39세,"14,009",217,"1,046",434,"1,187",325,308,181,83,97,"1,519",266,302,301,347,812,205,790,290,"1,514","1,696","1,339",666,84
2020년01월_남_40~49세,"19,792",421,"1,873",637,"1,593",269,452,255,122,210,"1,888",459,408,391,458,"1,034",319,"1,288",428,"1,927","2,571","1,947",713,129
2020년01월_남_50~59세,"24,283",564,"2,727",934,"2,087",402,750,538,323,328,"1,715",727,581,498,638,"1,198",521,"1,412",572,"1,734","2,684","2,235",930,185
2020년01월_남_60~69세,"19,088",595,"2,094","1,000","1,672",405,628,564,478,361,"1,088",654,522,458,633,"1,157",551,808,531,982,"1,393","1,532",795,187
2020년01월_남_70~79세,"10,534",384,"1,262",613,845,254,335,364,308,289,505,407,332,325,402,754,362,395,346,346,485,643,452,126
2020년01월_남_80~89세,"3,938",160,494,290,292,117,123,166,119,116,177,164,127,118,144,225,154,163,129,112,150,194,169,35
2020년01월_남_90~99세,324,13,34,22,24,7,13,16,11,4,10,22,11,4,12,16,14,13,16,12,12,15,17,6
2020년01월_남_100세 이상,20,0,2,1,3,0,0,1,1,1,1,0,0,3,2,1,2,0,0,0,0,1,0,1
2020년01월_여_총인구수,"127,424","2,794","12,953","4,749","8,835","2,111","2,993","2,432","1,654","1,651","10,976","3,191","2,659","2,792","3,501","7,285","2,616","7,558","3,042","11,046","14,983","11,695","4,986",922
2020년01월_여_연령구간인구수,"127,424","2,794","12,953","4,749","8,835","2,111","2,993","2,432","1,654","1,651","10,976","3,191","2,659","2,792","3,501","7,285","2,616","7,558","3,042","11,046","14,983","11,695","4,986",922
2020년01월_여_0~9세,"8,257",77,629,189,513,123,147,56,25,32,"1,156",112,106,119,108,230,53,630,183,"1,335","1,360",705,332,37
2020년01월_여_10~19세,"10,444",107,"1,119",224,513,80,163,110,41,47,"1,251",176,171,150,176,454,121,833,164,"1,228","1,823","1,153",283,57
2020년01월_여_20~29세,"12,117",162,"1,100",303,766,179,218,135,63,86,"1,116",237,235,269,315,917,171,851,203,"1,130","1,744","1,397",440,80
2020년01월_여_30~39세,"12,425",142,931,296,851,202,211,99,67,80,"1,578",172,222,250,235,588,152,818,291,"1,603","1,802","1,189",581,65
2020년01월_여_40~49세,"18,029",228,"1,719",456,"1,005",144,327,197,90,135,"1,923",328,282,302,354,900,235,"1,375",362,"1,965","3,005","2,004",587,106
2020년01월_여_50~59세,"22,800",487,"2,455",844,"1,753",279,607,409,313,261,"1,723",590,486,480,611,"1,310",409,"1,326",496,"1,914","2,704","2,316",871,156
2020년01월_여_60~69세,"19,905",629,"2,163","1,004","1,575",391,604,537,429,385,"1,121",632,485,585,799,"1,480",569,862,587,988,"1,385","1,640",861,194
2020년01월_여_70~79세,"13,470",566,"1,632",820,984,360,405,447,336,363,614,493,388,405,580,959,504,509,426,520,643,811,570,135
2020년01월_여_80~89세,"8,635",335,"1,068",523,761,298,256,391,245,234,424,395,248,200,275,390,351,307,293,306,441,431,386,77
2020년01월_여_90~99세,"1,272",60,128,83,111,53,54,49,43,27,68,54,34,27,40,56,46,45,36,52,73,49,70,14
2020년01월_여_100세 이상,70,1,9,7,3,2,1,2,2,1,2,2,2,5,8,1,5,2,1,5,3,0,5,1
