카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2020년02월_계_80~89세,"9,872",588,"1,105",288,435,222,494,134,238,571,409,398,561,307,454,504,268,612,580,385,406,517,396
2020년02월_계_90~99세,"1,552",102,182,42,71,42,93,32,28,83,57,51,84,44,86,70,59,99,45,58,59,90,75
2020년02월_계_100세 이상,102,7,11,1,3,1,7,7,2,10,3,1,7,3,1,7,6,10,5,5,2,3,0
2020년02월_남_총인구수,"274,946","23,532","21,603","15,615","24,418","13,337","14,356","3,533","5,103","11,840","7,156","7,684","16,392","6,387","10,161","8,495","5,680","17,175","11,602","12,440","14,159","12,723","11,555"
2020년02월_남_연령구간인구수,"274,946","23,532","21,603","15,615","24,418","13,337","14,356","3,533","5,103","11,840","7,156","7,684","16,392","6,387","10,161","8,495","5,680","17,175","11,602","12,440","14,159","12,723","11,555"
2020년02월_남_0~9세,"27,178","2,584","1,355","2,116","3,738","2,206","1,813",186,261,690,416,380,"1,477",326,753,378,402,"1,519","1,057","1,438","1,604","1,267","1,212"
2020년02월_남_10~19세,"29,439","2,376","1,961","2,208","3,185","1,755","1,120",246,435,861,506,675,"1,536",462,"1,030",721,432,"1,792","1,526","1,816","1,733","1,418","1,645"
2020년02월_남_20~29세,"38,188","3,374","3,628","1,836","2,970","1,443","1,828",602,885,"1,823","1,028","1,272","2,339",916,"1,649","1,245",763,"2,514","1,515","1,346","1,940","1,705","1,567"
2020년02월_남_30~39세,"41,957","4,473","2,789","3,003","4,061","2,328","2,658",525,670,"1,718",907,942,"2,364",862,"1,351","1,090",919,"2,673","1,343","1,752","2,364","1,698","1,467"
2020년02월_남_40~49세,"49,124","4,477","3,409","3,192","4,935","2,658","2,386",468,718,"1,858","1,085","1,190","2,611","1,085","1,469","1,201",847,"3,059","2,325","2,880","2,747","2,285","2,239"
2020년02월_남_50~59세,"47,310","3,435","4,535","2,011","3,209","1,768","2,304",854,"1,133","2,422","1,469","1,643","3,074","1,363","1,930","1,735","1,071","3,074","2,048","1,833","2,223","2,273","1,903"
2020년02월_남_60~69세,"27,543","1,832","2,553",886,"1,648",891,"1,513",485,713,"1,644","1,122","1,017","2,078",887,"1,356","1,359",859,"1,641",983,797,995,"1,351",933
2020년02월_남_70~79세,"10,681",756,937,259,520,223,587,130,207,647,478,440,725,368,467,588,287,679,572,419,390,551,451
2020년02월_남_80~89세,"3,187",197,393,100,137,59,132,29,76,154,131,117,175,104,137,161,81,205,218,150,146,160,125
2020년02월_남_90~99세,310,25,39,4,15,5,13,5,5,19,14,8,12,12,19,16,17,16,14,8,16,15,13
2020년02월_남_100세 이상,29,3,4,0,0,1,2,3,0,4,0,0,1,2,0,1,2,3,1,1,1,0,0
2020년02월_여_총인구수,"269,519","22,753","20,764","15,767","24,651","13,672","14,136","3,193","5,011","11,137","6,629","7,499","16,361","5,569","10,751","8,167","5,366","16,054","11,422","12,141","14,359","12,173","11,944"
2020년02월_여_연령구간인구수,"269,519","22,753","20,764","15,767","24,651","13,672","14,136","3,193","5,011","11,137","6,629","7,499","16,361","5,569","10,751","8,167","5,366","16,054","11,422","12,141","14,359","12,173","11,944"
2020년02월_여_0~9세,"25,503","2,412","1,293","1,962","3,465","2,049","1,633",179,260,646,402,305,"1,431",274,756,377,403,"1,413","1,038","1,262","1,584","1,203","1,156"
2020년02월_여_10~19세,"28,059","2,150","1,820","2,167","2,992","1,755","1,036",229,408,796,441,717,"1,595",433,"1,029",652,370,"1,710","1,427","1,728","1,609","1,325","1,670"
2020년02월_여_20~29세,"35,180","3,186","3,183","1,925","2,873","1,416","1,725",476,786,"1,574",826,"1,089","2,167",760,"1,518","1,085",740,"2,253","1,347","1,276","1,933","1,484","1,558"
2020년02월_여_30~39세,"40,306","4,281","2,399","3,124","4,563","2,678","2,582",399,525,"1,284",752,720,"2,313",620,"1,328",809,816,"2,207","1,330","1,838","2,463","1,711","1,564"
2020년02월_여_40~49세,"47,390","4,084","3,314","3,249","4,961","2,702","2,100",407,710,"1,559",907,"1,127","2,538",812,"1,626","1,160",783,"2,908","2,312","2,836","2,782","2,138","2,375"
2020년02월_여_50~59세,"45,812","3,369","4,356","1,882","3,256","1,803","2,372",783,"1,216","2,428","1,392","1,653","3,128","1,188","2,185","1,728","1,010","2,717","1,785","1,482","2,161","2,107","1,811"
2020년02월_여_60~69세,"26,561","1,897","2,291",848,"1,599",789,"1,569",438,620,"1,601","1,069","1,032","1,950",784,"1,348","1,325",703,"1,541","1,082",911,"1,004","1,179",981
2020년02월_여_70~79세,"12,708",902,"1,246",383,585,280,672,146,299,762,516,531,775,462,576,628,308,808,704,519,519,591,496
2020년02월_여_80~89세,"6,685",391,712,188,298,163,362,105,162,417,278,281,386,203,317,343,187,407,362,235,260,357,271
2020년02월_여_90~99세,"1,242",77,143,38,56,37,80,27,23,64,43,43,72,32,67,54,42,83,31,50,43,75,62
2020년02월_여_100세 이상,73,4,7,1,3,0,5,4,2,6,3,1,6,1,1,6,4,7,4,4,1,3,0
