,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년02월_남_50~59세,"84,613","22,421","3,132","2,544","1,942","1,541",0,847,881,"1,774","2,093","3,154","3,205","1,308","33,944","3,154","2,448","1,327","3,300","1,232","2,654","1,731","1,559","2,879","2,483","2,473","2,327","1,387","2,217","2,773","28,248","2,748","3,095","3,007","4,347","1,408","3,579","3,569","2,557","3,938"
2021년02월_남_60~69세,"51,585","16,135","1,891","1,889","1,470","1,432",0,875,999,"1,418","1,495","1,915","1,707","1,044","19,513","1,978","1,235",822,"1,745",630,"1,600","1,260",913,"1,929","1,739",925,938,863,"1,303","1,633","15,937","1,732","1,196","1,600","2,469",860,"2,277","1,911","1,388","2,504"
2021년02월_남_70~79세,"29,982","7,463",837,899,678,768,0,482,451,579,646,867,800,456,"11,863","1,038",547,372,879,397,"1,013",690,366,"1,390","1,268",592,544,770,682,"1,315","10,656","1,042",689,"1,256","1,463",478,"1,234","1,269","1,134","2,091"
2021년02월_남_80~89세,"11,821","2,744",324,327,254,228,0,173,231,206,254,304,301,142,"4,806",457,147,223,267,184,376,252,124,614,550,240,232,369,242,529,"4,271",418,377,516,669,199,394,508,445,745
2021년02월_남_90~99세,"1,140",266,26,22,22,27,0,17,22,29,24,29,28,20,483,45,14,59,24,12,45,13,8,43,60,30,21,35,21,53,391,38,34,41,64,28,42,40,43,61
2021년02월_남_100세 이상,42,15,0,2,1,1,0,0,1,1,5,3,0,1,18,3,1,1,1,1,2,1,1,1,2,0,2,2,0,0,9,2,2,0,0,0,1,1,0,3
2021년02월_여_총인구수,"542,314","125,872","16,100","12,650","9,951","11,750",0,"3,956","3,870","8,887","12,207","22,296","17,867","6,338","223,138","19,456","15,431","8,859","21,053","6,448","17,000","10,850","12,762","20,330","16,507","17,132","13,893","12,066","12,732","18,619","193,304","18,451","21,179","19,620","29,339","9,336","25,175","25,098","17,450","27,656"
2021년02월_여_연령구간인구수,"542,314","125,872","16,100","12,650","9,951","11,750",0,"3,956","3,870","8,887","12,207","22,296","17,867","6,338","223,138","19,456","15,431","8,859","21,053","6,448","17,000","10,850","12,762","20,330","16,507","17,132","13,893","12,066","12,732","18,619","193,304","18,451","21,179","19,620","29,339","9,336","25,175","25,098","17,450","27,656"
2021년02월_여_0~9세,"48,763","10,275","1,127",930,783,"1,584",0,169,104,611,763,"2,332","1,548",324,"20,499","1,671","1,700",905,"2,090",427,"1,450",900,"1,582","1,596","1,262","1,725","1,271","1,414",919,"1,587","17,989","1,322","2,291","1,739","2,450",709,"2,748","2,437","1,618","2,675"
2021년02월_여_10~19세,"58,909","11,863","1,725","1,165",855,968,0,242,212,822,"1,081","2,174","2,110",509,"24,687","1,739","1,706",623,"1,654",635,"2,106","1,053","1,247","2,332","1,491","2,830","2,271","1,447","1,344","2,209","22,359","1,783","2,776","2,577","3,486",778,"2,594","3,032","2,054","3,279"
2021년02월_여_20~29세,"66,433","15,780","2,105","1,511",929,895,0,320,331,"1,026","2,098","3,505","2,237",823,"27,446","2,565","1,847","1,156","3,411",930,"1,986","1,182","2,155","2,089","1,989","1,775","1,549","1,123","1,650","2,039","23,207","2,612","2,520","1,984","3,966","1,355","2,769","3,238","1,943","2,820"
2021년02월_여_30~39세,"73,057","15,909","1,786","1,458","1,067","2,113",0,312,290,"1,028","1,413","3,592","2,222",628,"30,014","2,959","2,358","1,584","3,870",832,"1,989","1,376","2,279","2,150","2,063","1,867","1,349","1,676","1,464","2,198","27,134","2,956","3,307","2,205","3,678","1,596","4,198","3,537","2,237","3,420"
2021년02월_여_40~49세,"101,227","20,677","2,849","2,080","1,525","1,906",0,495,395,"1,407","1,853","3,825","3,388",954,"42,675","3,306","3,027","1,375","3,456","1,157","3,269","1,896","2,177","4,007","2,790","4,148","3,393","2,482","2,305","3,887","37,875","3,098","4,609","4,275","5,628","1,544","4,897","4,900","3,427","5,497"
2021년02월_여_50~59세,"81,781","21,028","2,824","2,162","1,779","1,539",0,750,703,"1,611","2,106","3,281","2,980","1,293","33,289","3,051","2,391","1,451","3,242","1,040","2,591","1,809","1,645","3,022","2,620","2,238","1,979","1,341","2,258","2,611","27,464","2,711","2,722","2,786","4,432","1,485","3,484","3,492","2,544","3,808"
2021년02월_여_60~69세,"56,369","15,898","1,876","1,768","1,541","1,520",0,821,842,"1,269","1,550","1,976","1,740",995,"22,183","2,074","1,391",886,"1,842",653,"1,808","1,448",953,"2,410","1,997","1,201","1,046","1,176","1,431","1,867","18,288","1,985","1,279","1,860","2,780",957,"2,461","2,219","1,678","3,069"
2021년02월_여_70~79세,"35,953","8,677","1,104",976,845,748,0,469,495,619,817,"1,036","1,045",523,"14,523","1,364",628,390,992,504,"1,184",770,466,"1,814","1,531",905,652,944,875,"1,504","12,753","1,301","1,049","1,537","1,877",568,"1,375","1,522","1,332","2,192"
2021년02월_여_80~89세,"16,534","4,771",601,488,508,385,0,310,421,400,441,474,511,232,"6,546",626,310,381,404,235,524,337,222,743,648,382,318,408,407,601,"5,217",582,549,555,896,278,519,590,516,732
2021년02월_여_90~99세,"3,115",926,103,106,110,86,0,63,71,84,77,94,82,50,"1,221",93,70,106,86,34,88,76,34,161,112,59,63,55,73,111,968,92,74,101,138,64,122,122,98,157
2021년02월_여_100세 이상,173,68,0,6,9,6,0,5,6,10,8,7,4,7,55,8,3,2,6,1,5,3,2,6,4,2,2,0,6,5,50,9,3,1,8,2,8,9,3,7
