,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년01월_계_80~89세,"13,119",532,457,385,505,365,687,493,334,754,640,222,551,604,664,877,720,"1,437",422,511,740,231,988
2021년01월_계_90~99세,"1,505",60,56,45,64,29,72,58,34,74,83,23,80,60,70,85,81,186,55,58,71,35,126
2021년01월_계_100세 이상,127,5,11,2,9,4,7,9,5,11,12,0,4,4,2,5,3,7,5,2,9,2,9
2021년01월_남_총인구수,"168,218","3,808","5,045","4,882","6,531","3,122","6,316","6,131","3,766","7,050","6,716","2,219","10,679","7,399","7,998","8,795","7,636","21,269","5,733","10,355","14,586","9,345","8,837"
2021년01월_남_연령구간인구수,"168,218","3,808","5,045","4,882","6,531","3,122","6,316","6,131","3,766","7,050","6,716","2,219","10,679","7,399","7,998","8,795","7,636","21,269","5,733","10,355","14,586","9,345","8,837"
2021년01월_남_0~9세,"12,752",147,530,481,209,107,397,470,82,310,332,84,"1,131",334,434,434,377,"1,968",315,"1,231","1,311","1,558",510
2021년01월_남_10~19세,"13,867",241,441,341,379,220,499,582,201,445,494,148,"1,176",480,496,665,500,"1,948",361,"1,326","1,516",748,660
2021년01월_남_20~29세,"22,249",490,531,552,973,453,823,884,606,"1,019",947,398,"1,237","1,083","1,176","1,302","1,020","2,813",808,"1,102","2,064",931,"1,037"
2021년01월_남_30~39세,"23,051",399,694,846,836,311,800,758,620,816,844,273,"1,351",885,"1,085",951,911,"2,894",777,"1,516","2,151","2,370",963
2021년01월_남_40~49세,"26,383",528,961,689,957,432,982,939,560,895,997,282,"2,010",982,"1,103","1,137","1,068","3,478",772,"2,052","2,463","1,880","1,216"
2021년01월_남_50~59세,"27,636",701,707,747,"1,296",562,"1,033","1,086",667,"1,283","1,129",372,"1,619","1,408","1,409","1,633","1,422","3,383","1,072","1,447","2,260",784,"1,616"
2021년01월_남_60~69세,"24,041",665,615,669,"1,094",565,929,808,558,"1,210","1,093",370,"1,307","1,330","1,347","1,513","1,333","2,935",925,889,"1,701",696,"1,489"
2021년01월_남_70~79세,"13,166",433,394,398,574,338,579,402,338,759,623,202,633,675,687,828,745,"1,378",499,579,842,301,959
2021년01월_남_80~89세,"4,699",193,154,153,190,126,255,185,126,293,228,87,198,208,248,310,244,434,187,198,253,71,358
2021년01월_남_90~99세,335,11,14,6,19,6,17,13,6,18,26,3,17,13,13,22,14,36,15,15,20,6,25
2021년01월_남_100세 이상,39,0,4,0,4,2,2,4,2,2,3,0,0,1,0,0,2,2,2,0,5,0,4
2021년01월_여_총인구수,"173,280","3,861","5,617","5,008","6,359","3,411","6,898","6,294","3,739","7,140","7,251","1,964","11,060","7,500","7,898","9,455","7,550","22,126","5,613","10,950","14,873","9,563","9,150"
2021년01월_여_연령구간인구수,"173,280","3,861","5,617","5,008","6,359","3,411","6,898","6,294","3,739","7,140","7,251","1,964","11,060","7,500","7,898","9,455","7,550","22,126","5,613","10,950","14,873","9,563","9,150"
2021년01월_여_0~9세,"12,192",133,486,428,196,108,367,435,77,230,356,99,"1,135",336,406,439,366,"1,785",321,"1,222","1,227","1,512",528
2021년01월_여_10~19세,"12,608",193,393,305,315,179,402,447,153,387,477,107,"1,124",445,441,600,421,"1,778",306,"1,355","1,441",735,604
2021년01월_여_20~29세,"19,327",392,483,557,892,338,718,741,691,829,825,214,"1,030",896,981,"1,078",841,"2,458",616,"1,060","1,808","1,065",814
2021년01월_여_30~39세,"20,596",282,729,722,646,254,732,759,437,589,713,184,"1,488",664,833,807,688,"2,773",624,"1,584","1,975","2,260",853
2021년01월_여_40~49세,"24,871",429,890,673,742,421,932,"1,007",424,827,980,214,"1,981",837,935,"1,137",872,"3,346",681,"2,183","2,477","1,646","1,237"
2021년01월_여_50~59세,"29,237",646,835,793,"1,250",663,"1,169","1,097",624,"1,316","1,221",363,"1,683","1,536","1,552","1,893","1,370","3,638","1,140","1,397","2,412",954,"1,685"
2021년01월_여_60~69세,"27,689",769,814,777,"1,208",709,"1,208",884,689,"1,450","1,371",362,"1,432","1,512","1,402","1,802","1,476","3,354","1,030","1,089","1,929",817,"1,605"
2021년01월_여_70~79세,"17,082",624,635,480,745,475,878,566,405,986,830,266,767,828,873,"1,064",972,"1,836",617,702,"1,062",383,"1,088"
2021년01월_여_80~89세,"8,420",339,303,232,315,239,432,308,208,461,412,135,353,396,416,567,476,"1,003",235,313,487,160,630
2021년01월_여_90~99세,"1,170",49,42,39,45,23,55,45,28,56,57,20,63,47,57,63,67,150,40,43,51,29,101
2021년01월_여_100세 이상,88,5,7,2,5,2,5,5,3,9,9,0,4,3,2,5,1,5,3,2,4,2,5
