카테고리,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년02월_남_30~39세,"35,492","4,524","2,069",303,382,158,146,247,692,624,683,"4,385","4,732",566,"2,376","1,636",421,"3,466","2,294","5,788"
2021년02월_남_40~49세,"48,837","5,845","1,540",507,462,215,211,326,704,652,748,"5,481","7,289",734,"3,215","2,471",606,"5,794","3,773","8,264"
2021년02월_남_50~59세,"49,980","4,311","1,385",837,931,467,407,580,"1,009",852,"1,046","7,983","7,599","1,083","4,387","3,773",789,"4,953","3,177","4,411"
2021년02월_남_60~69세,"30,371","3,027",863,759,993,521,447,902,832,790,804,"4,169","3,868",883,"2,736","2,476",604,"2,261","1,421","2,015"
2021년02월_남_70~79세,"11,550","1,214",233,343,498,271,200,463,321,378,327,"1,245","1,305",339,969,819,222,985,576,842
2021년02월_남_80~89세,"3,649",387,76,142,176,105,53,149,94,130,96,423,400,111,265,275,68,335,167,197
2021년02월_남_90~99세,274,30,8,9,8,7,10,14,6,11,1,35,35,2,25,17,5,23,12,16
2021년02월_남_100세 이상,26,2,0,1,0,0,1,1,3,1,1,3,0,0,5,1,2,4,1,0
2021년02월_여_총인구수,"268,056","27,119","8,936","2,980","3,459","1,789","1,432","2,945","4,829","4,638","4,878","37,045","40,223","4,549","19,919","16,305","3,809","28,555","18,141","36,505"
2021년02월_여_연령구간인구수,"268,056","27,119","8,936","2,980","3,459","1,789","1,432","2,945","4,829","4,638","4,878","37,045","40,223","4,549","19,919","16,305","3,809","28,555","18,141","36,505"
2021년02월_여_0~9세,"23,895","3,124","1,390",99,86,28,33,84,268,288,275,"2,256","3,545",261,"1,230",770,249,"2,686","1,807","5,416"
2021년02월_여_10~19세,"29,279","2,904",616,143,131,58,64,99,351,268,304,"3,691","4,944",349,"1,823","1,452",376,"3,918","2,484","5,304"
2021년02월_여_20~29세,"31,341","2,400","1,058",215,215,116,109,163,596,478,641,"5,639","5,000",573,"2,801","2,515",464,"3,233","1,970","3,155"
2021년02월_여_30~39세,"33,329","4,211","1,952",244,211,102,82,168,543,585,547,"3,958","4,670",413,"2,000","1,286",359,"3,438","2,221","6,339"
2021년02월_여_40~49세,"49,411","5,029","1,403",298,252,137,123,246,669,593,667,"6,288","8,146",620,"3,139","2,511",615,"6,189","4,021","8,465"
2021년02월_여_50~59세,"47,452","4,022","1,364",630,679,365,319,508,965,865,"1,058","8,299","7,283",905,"4,356","3,750",781,"4,511","2,864","3,928"
2021년02월_여_60~69세,"29,110","3,042",677,631,841,435,373,804,786,807,794,"3,749","3,733",762,"2,580","2,215",546,"2,461","1,529","2,345"
2021년02월_여_70~79세,"14,980","1,441",248,407,538,316,188,506,406,491,383,"1,907","1,834",426,"1,280","1,115",274,"1,350",829,"1,041"
2021년02월_여_80~89세,"8,020",806,202,251,438,205,113,306,204,219,178,"1,122",921,209,631,615,126,680,354,440
2021년02월_여_90~99세,"1,174",130,26,61,67,26,24,59,37,39,25,129,141,30,74,72,16,86,62,70
2021년02월_여_100세 이상,65,10,0,1,1,1,4,2,4,5,6,7,6,1,5,4,3,3,0,2
