카테고리,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년01월_남_연령구간인구수,"106,633","2,533","1,062","1,560","4,749","1,556","1,181","2,091","6,315","2,004","1,886","1,198","1,699","1,002","1,394","11,962","3,662","7,743","2,750","4,912","8,490","2,049","4,913","7,425","18,995","3,502"
2020년01월_남_0~9세,"7,739",62,22,40,293,16,33,54,940,150,50,36,42,27,59,933,148,666,151,213,"1,025",44,275,590,"1,542",328
2020년01월_남_10~19세,"10,221",116,35,76,222,64,62,92,432,144,84,38,109,45,91,"1,376",300,"1,105",261,382,"1,187",97,408,988,"2,138",369
2020년01월_남_20~29세,"14,010",242,81,125,845,114,79,171,799,339,164,97,120,61,165,"1,655",505,"1,052",353,588,"1,037",319,675,"1,063","2,903",458
2020년01월_남_30~39세,"12,921",196,68,94,851,115,78,118,"1,514",263,105,77,103,69,133,"1,334",362,889,265,481,"1,248",201,592,795,"2,512",458
2020년01월_남_40~49세,"16,267",316,100,170,667,163,134,213,"1,001",306,224,130,170,93,205,"1,865",551,"1,403",409,672,"1,576",260,799,"1,276","2,954",610
2020년01월_남_50~59세,"19,474",565,240,362,810,333,207,454,752,295,415,234,334,194,269,"2,221",711,"1,348",524,952,"1,291",435,930,"1,445","3,498",655
2020년01월_남_60~69세,"14,781",575,285,376,628,391,292,508,529,278,440,287,437,260,242,"1,519",577,747,405,896,731,383,695,747,"2,185",368
2020년01월_남_70~79세,"7,694",307,162,230,287,228,198,311,236,140,258,188,237,157,159,750,356,362,260,514,300,208,411,370,886,179
2020년01월_남_80~89세,"3,202",138,64,73,126,120,85,155,98,83,130,100,128,92,64,274,135,158,114,198,91,97,122,137,349,71
2020년01월_남_90~99세,308,14,5,14,17,11,12,15,14,5,15,10,17,4,6,34,17,13,7,15,4,5,6,14,28,6
2020년01월_남_100세 이상,16,2,0,0,3,1,1,0,0,1,1,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0
2020년01월_여_총인구수,"104,173","2,410","1,022","1,534","3,713","1,490","1,162","1,975","5,973","1,749","1,879","1,146","1,607",943,"1,438","11,949","3,609","8,062","2,707","4,869","8,562","1,779","4,600","7,593","19,177","3,225"
2020년01월_여_연령구간인구수,"104,173","2,410","1,022","1,534","3,713","1,490","1,162","1,975","5,973","1,749","1,879","1,146","1,607",943,"1,438","11,949","3,609","8,062","2,707","4,869","8,562","1,779","4,600","7,593","19,177","3,225"
2020년01월_여_0~9세,"7,521",52,26,41,278,20,32,33,929,171,59,24,38,29,61,838,155,696,133,212,994,57,300,568,"1,482",293
2020년01월_여_10~19세,"9,361",130,35,48,158,61,40,71,440,130,94,40,74,34,80,"1,243",295,992,256,354,"1,092",80,399,905,"1,968",342
2020년01월_여_20~29세,"10,504",147,61,85,472,79,55,120,628,182,129,77,91,46,119,"1,207",373,843,263,501,907,214,488,903,"2,193",321
2020년01월_여_30~39세,"11,149",129,51,75,523,70,47,70,"1,289",200,79,52,80,48,105,"1,255",287,875,216,385,"1,245",106,495,783,"2,275",409
2020년01월_여_40~49세,"15,348",211,70,120,471,80,53,162,888,211,145,90,109,60,155,"1,922",464,"1,583",388,572,"1,603",165,649,"1,422","3,204",551
2020년01월_여_50~59세,"18,521",501,211,306,656,283,219,391,743,230,361,227,295,164,239,"2,204",670,"1,344",464,906,"1,323",338,832,"1,378","3,681",555
2020년01월_여_60~69세,"14,830",519,269,376,541,356,300,501,519,256,395,251,374,232,287,"1,618",620,851,441,958,726,337,727,807,"2,220",349
2020년01월_여_70~79세,"9,778",395,163,287,321,281,214,338,293,209,319,206,286,184,222,997,447,536,331,577,391,279,482,494,"1,299",227
2020년01월_여_80~89세,"6,248",300,113,161,261,234,179,246,219,141,256,162,228,131,128,593,265,301,187,339,238,180,199,293,738,156
2020년01월_여_90~99세,862,25,22,34,28,24,20,39,24,17,41,16,28,14,41,68,30,38,24,62,43,22,27,39,116,20
2020년01월_여_100세 이상,51,1,1,1,4,2,3,4,1,2,1,1,4,1,1,4,3,3,4,3,0,1,2,1,1,2
