,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동,인천광역시 서구 아라동
2021년06월_남_30~39세,"39,840","4,136","2,667","2,800","3,748","2,628","2,361",488,669,"1,658",851,880,"2,200",898,"1,309","1,006",860,"2,499","1,266","1,557","2,194","1,716","1,362",87
2021년06월_남_40~49세,"48,584","4,450","3,145","3,192","5,004","3,232","2,453",464,669,"1,744","1,014","1,054","2,546","1,029","1,395","1,184",834,"3,015","2,209","2,743","2,703","2,319","2,127",59
2021년06월_남_50~59세,"47,332","3,511","4,313","2,178","3,390","2,001","2,259",784,"1,035","2,297","1,375","1,435","2,898","1,349","1,835","1,664",986,"3,077","2,171","2,107","2,352","2,307","1,968",40
2021년06월_남_60~69세,"31,395","2,104","2,924","1,017","1,869","1,130","1,732",578,828,"1,865","1,215","1,111","2,282","1,011","1,494","1,501",955,"1,918","1,130",871,"1,165","1,622","1,049",24
2021년06월_남_70~79세,"11,428",825,980,286,554,280,621,137,217,723,511,423,790,379,505,628,330,734,587,437,405,613,458,5
2021년06월_남_80~89세,"3,510",227,412,105,158,56,157,33,68,160,134,117,187,121,154,209,92,215,250,157,169,183,143,3
2021년06월_남_90~99세,335,19,44,3,14,7,15,5,5,21,17,7,13,10,19,21,14,15,21,11,21,18,15,0
2021년06월_남_100세 이상,24,2,4,0,0,1,1,3,3,2,0,0,1,2,1,0,0,1,1,0,1,1,0,0
2021년06월_여_총인구수,"267,893","22,385","20,114","15,814","24,618","15,724","14,023","3,110","4,881","10,911","6,320","6,903","15,949","5,706","10,350","8,123","5,148","15,942","11,154","12,102","14,145","12,471","11,707",293
2021년06월_여_연령구간인구수,"267,893","22,385","20,114","15,814","24,618","15,724","14,023","3,110","4,881","10,911","6,320","6,903","15,949","5,706","10,350","8,123","5,148","15,942","11,154","12,102","14,145","12,471","11,707",293
2021년06월_여_0~9세,"23,282","2,119","1,132","1,780","3,117","2,310","1,515",169,226,559,316,245,"1,325",290,642,319,381,"1,240",875,"1,160","1,391","1,138",991,42
2021년06월_여_10~19세,"27,447","2,107","1,667","2,206","3,146","1,957","1,018",188,358,744,416,616,"1,504",419,926,580,346,"1,681","1,347","1,715","1,592","1,283","1,602",29
2021년06월_여_20~29세,"34,493","3,094","2,953","2,039","2,816","1,696","1,696",450,740,"1,434",737,969,"2,009",798,"1,354","1,110",630,"2,214","1,298","1,329","1,926","1,581","1,601",19
2021년06월_여_30~39세,"38,075","3,936","2,247","2,813","4,268","2,969","2,400",415,536,"1,276",653,665,"2,157",647,"1,242",804,759,"2,065","1,211","1,631","2,211","1,655","1,423",92
2021년06월_여_40~49세,"46,450","4,048","2,986","3,326","5,122","3,200","2,158",343,630,"1,428",852,960,"2,421",785,"1,562","1,072",719,"2,789","2,172","2,771","2,715","2,135","2,203",53
2021년06월_여_50~59세,"46,114","3,483","4,233","2,034","3,357","2,025","2,324",769,"1,173","2,313","1,318","1,460","2,990","1,133","2,081","1,667",935,"2,796","1,889","1,660","2,276","2,204","1,959",35
2021년06월_여_60~69세,"30,275","2,147","2,681",987,"1,822","1,041","1,748",495,724,"1,850","1,160","1,126","2,237",896,"1,534","1,459",804,"1,783","1,187",974,"1,180","1,365","1,057",18
2021년06월_여_70~79세,"13,209",929,"1,285",386,596,321,708,146,283,802,546,519,833,471,576,652,324,839,741,546,531,646,528,1
2021년06월_여_80~89세,"7,109",429,768,205,303,164,368,100,184,428,268,292,382,240,356,385,208,455,388,255,276,368,286,1
2021년06월_여_90~99세,"1,386",91,153,37,66,41,85,32,27,75,52,49,88,26,75,72,40,75,44,58,47,93,57,3
2021년06월_여_100세 이상,53,2,9,1,5,0,3,3,0,2,2,2,3,1,2,3,2,5,2,3,0,3,0,0
