,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2021년08월_계_80~89세,"13,471",570,504,633,743,575,442,"1,187",886,718,776,848,411,714,359,685,696,641,573,697,480,333
2021년08월_계_90~99세,"1,989",88,77,102,121,91,57,167,120,109,108,117,63,106,53,97,99,101,82,92,87,52
2021년08월_계_100세 이상,96,6,5,3,2,14,7,0,7,5,2,12,4,1,5,1,7,3,3,2,3,4
2021년08월_남_총인구수,"204,357","7,408","6,978","8,268","9,394","8,981","3,933","23,694","15,985","9,047","11,552","16,611","10,769","8,488","4,452","6,790","9,592","10,987","6,111","10,329","7,453","7,535"
2021년08월_남_연령구간인구수,"204,357","7,408","6,978","8,268","9,394","8,981","3,933","23,694","15,985","9,047","11,552","16,611","10,769","8,488","4,452","6,790","9,592","10,987","6,111","10,329","7,453","7,535"
2021년08월_남_0~9세,"13,567",555,566,523,321,681,132,"1,995","1,112",506,833,"1,607",645,463,209,262,462,972,262,581,501,379
2021년08월_남_10~19세,"16,255",471,418,687,505,696,173,"2,539","1,867",852,748,"1,316",442,576,346,409,607,922,480,926,669,606
2021년08월_남_20~29세,"29,916","1,017","1,004","1,106","2,533","1,282",553,"3,446","2,231","1,257","1,615","1,987","2,106","1,153",642,894,"1,376","1,419",799,"1,485","1,010","1,001"
2021년08월_남_30~39세,"29,895","1,173","1,278","1,173","1,088","1,479",517,"3,200","1,705","1,094","1,874","3,066","2,373","1,116",529,833,"1,629","1,753",698,"1,315",947,"1,055"
2021년08월_남_40~49세,"33,531","1,190","1,131","1,273","1,179","1,367",561,"4,205","2,744","1,411","1,889","2,905","1,830","1,288",717,"1,005","1,554","2,024",942,"1,629","1,109","1,578"
2021년08월_남_50~59세,"33,788","1,231","1,083","1,369","1,358","1,379",715,"3,865","2,890","1,624","1,924","2,346","1,610","1,484",754,"1,188","1,656","1,630","1,081","1,844","1,249","1,508"
2021년08월_남_60~69세,"27,823","1,017",887,"1,209","1,277","1,165",675,"2,758","2,107","1,305","1,525","2,133","1,149","1,351",717,"1,156","1,377","1,328","1,063","1,521","1,197",906
2021년08월_남_70~79세,"14,178",537,422,681,799,699,417,"1,217",975,724,826,925,437,776,391,761,670,670,549,747,585,370
2021년08월_남_80~89세,"4,919",193,178,214,300,209,171,435,328,246,285,304,163,257,126,264,241,252,213,255,162,123
2021년08월_남_90~99세,455,23,10,32,34,19,18,34,23,27,33,17,11,24,19,17,17,17,23,26,23,8
2021년08월_남_100세 이상,30,1,1,1,0,5,1,0,3,1,0,5,3,0,2,1,3,0,1,0,1,1
2021년08월_여_총인구수,"201,454","7,257","7,010","8,216","7,907","8,906","3,506","24,042","16,120","9,356","11,592","16,153","9,769","8,284","4,348","6,802","9,587","11,043","6,470","10,788","7,779","6,519"
2021년08월_여_연령구간인구수,"201,454","7,257","7,010","8,216","7,907","8,906","3,506","24,042","16,120","9,356","11,592","16,153","9,769","8,284","4,348","6,802","9,587","11,043","6,470","10,788","7,779","6,519"
2021년08월_여_0~9세,"12,929",517,519,513,292,598,130,"1,916","1,118",536,726,"1,564",558,445,209,269,473,899,264,578,439,366
2021년08월_여_10~19세,"15,338",450,406,590,445,615,162,"2,355","1,676",803,775,"1,248",437,518,303,431,655,890,424,932,654,569
2021년08월_여_20~29세,"26,919",904,"1,078","1,003","1,443","1,285",367,"3,370","1,970","1,044","1,605","1,916","2,114",951,542,755,"1,313","1,378",680,"1,322",979,900
2021년08월_여_30~39세,"25,656",981,"1,125",997,717,"1,310",335,"3,077","1,661",977,"1,644","2,641","1,855",976,427,650,"1,241","1,613",589,"1,144",892,804
2021년08월_여_40~49세,"29,851",985,920,"1,208",865,"1,254",380,"4,112","2,797","1,412","1,664","2,468","1,344","1,086",607,800,"1,301","1,779",901,"1,590","1,134","1,244"
2021년08월_여_50~59세,"33,200","1,156","1,106","1,313","1,253","1,356",566,"3,948","2,862","1,666","1,906","2,412","1,503","1,359",727,"1,100","1,652","1,613","1,180","2,029","1,394","1,099"
2021년08월_여_60~69세,"30,382","1,113",927,"1,313","1,383","1,253",763,"2,879","2,221","1,493","1,707","2,162","1,165","1,538",756,"1,412","1,549","1,615","1,250","1,753","1,302",828
2021년08월_여_70~79세,"17,027",704,532,788,977,788,487,"1,500","1,156",867,997,"1,091",492,871,507,884,862,780,761,930,601,452
2021년08월_여_80~89세,"8,552",377,326,419,443,366,271,752,558,472,491,544,248,457,233,421,455,389,360,442,318,210
2021년08월_여_90~99세,"1,534",65,67,70,87,72,39,133,97,82,75,100,52,82,34,80,82,84,59,66,64,44
2021년08월_여_100세 이상,66,5,4,2,2,9,6,0,4,4,2,7,1,1,3,0,4,3,2,2,2,3
