카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년09월_남_30~39세,"35,794","1,713","2,522","2,131",916,"1,730","1,879","2,789","1,438","1,207","2,168","3,249","2,420","1,624","2,254","1,803","3,931",13,"2,007"
2020년09월_남_40~49세,"37,001","2,665","2,905","2,053","1,404","2,760","1,905","2,895","1,214","1,611","2,156","2,660","1,985","1,654","1,824","1,772","3,523",25,"1,990"
2020년09월_남_50~59세,"35,292","2,479","2,290","1,958","1,358","1,797","1,629","2,999","1,078","1,307","2,215","2,928","2,247","1,439","1,911","1,887","3,627",16,"2,127"
2020년09월_남_60~69세,"29,483","1,782","1,933","1,656","1,177","1,335","1,366","2,355",894,"1,138","2,057","2,414","1,884","1,172","1,713","1,436","3,259",27,"1,885"
2020년09월_남_70~79세,"14,657",958,758,775,511,524,577,"1,247",516,518,"1,081","1,286","1,003",648,914,804,"1,633",13,891
2020년09월_남_80~89세,"3,806",334,150,208,112,160,130,310,134,136,261,355,258,175,269,179,409,9,217
2020년09월_남_90~99세,396,45,12,21,18,26,21,36,14,12,20,29,16,26,17,18,37,1,27
2020년09월_남_100세 이상,64,4,3,2,0,10,3,5,2,4,4,8,5,0,4,3,5,1,1
2020년09월_여_총인구수,"232,662","16,675","16,750","13,557","8,834","12,953","10,764","18,040","7,982","9,369","14,008","17,680","13,663","10,449","12,338","11,909","23,867",136,"13,688"
2020년09월_여_연령구간인구수,"232,662","16,675","16,750","13,557","8,834","12,953","10,764","18,040","7,982","9,369","14,008","17,680","13,663","10,449","12,338","11,909","23,867",136,"13,688"
2020년09월_여_0~9세,"16,799","1,283","2,028","1,037",586,"1,525","1,193","1,133",696,"1,004",760,878,645,746,520,635,"1,249",2,879
2020년09월_여_10~19세,"18,571","2,156","1,614","1,217","1,153","1,491",915,"1,303",542,932,869,924,668,856,624,733,"1,477",4,"1,093"
2020년09월_여_20~29세,"31,028","1,996","1,740","1,655","1,057","1,146","1,105","2,349","1,038",996,"1,920","2,650","2,347","1,389","2,194","1,764","3,736",8,"1,938"
2020년09월_여_30~39세,"36,017","1,927","2,914","2,089",945,"2,004","1,944","2,619","1,484","1,430","1,969","3,074","2,415","1,724","2,040","1,761","3,723",12,"1,943"
2020년09월_여_40~49세,"36,723","2,878","2,890","2,243","1,712","2,723","1,746","2,746","1,211","1,634","1,943","2,467","1,824","1,746","1,676","1,866","3,381",26,"2,011"
2020년09월_여_50~59세,"37,194","2,543","2,519","2,157","1,404","1,744","1,617","3,088","1,176","1,398","2,455","2,921","2,111","1,613","1,949","2,088","4,029",12,"2,370"
2020년09월_여_60~69세,"32,627","2,045","2,015","1,885","1,233","1,362","1,407","2,641","1,017","1,192","2,301","2,608","2,047","1,387","1,913","1,775","3,708",27,"2,064"
2020년09월_여_70~79세,"15,597","1,121",679,824,449,565,535,"1,453",576,531,"1,204","1,474","1,068",664,969,884,"1,694",27,880
2020년09월_여_80~89세,"6,461",597,272,352,219,273,233,585,198,195,469,547,451,267,371,326,696,4,406
2020년09월_여_90~99세,"1,458",118,75,90,69,102,68,103,34,52,107,121,77,52,68,68,155,7,92
2020년09월_여_100세 이상,187,11,4,8,7,18,1,20,10,5,11,16,10,5,14,9,19,7,12
