,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년04월_계_80~89세,"10,281",336,221,313,278,298,512,254,247,254,164,268,159,356,407,445,223,463,517,358,230,178,892,420,867,761,386,474
2021년04월_계_90~99세,"1,601",61,44,53,61,68,96,34,47,41,23,42,23,44,43,59,37,56,86,52,44,25,132,70,125,97,81,57
2021년04월_계_100세 이상,60,1,1,0,5,6,7,4,2,3,2,2,1,1,0,1,2,0,3,0,0,2,4,1,3,2,4,3
2021년04월_남_총인구수,"134,918","1,631","2,428","1,743","1,356","1,277","2,469","1,520","1,444","1,150","1,894","1,528","1,161","2,702","3,540","2,736","2,251","6,431","11,323","3,734","4,028","1,460","27,690","6,268","11,440","16,027","9,216","6,471"
2021년04월_남_연령구간인구수,"134,918","1,631","2,428","1,743","1,356","1,277","2,469","1,520","1,444","1,150","1,894","1,528","1,161","2,702","3,540","2,736","2,251","6,431","11,323","3,734","4,028","1,460","27,690","6,268","11,440","16,027","9,216","6,471"
2021년04월_남_0~9세,"10,398",43,292,88,36,44,67,36,38,29,47,62,57,93,184,80,141,569,"1,281",196,241,82,"3,370",320,824,"1,274",569,335
2021년04월_남_10~19세,"13,686",63,190,177,59,47,132,80,60,55,92,76,68,194,297,160,108,575,"1,119",253,352,132,"4,007",604,"1,396","2,111",832,447
2021년04월_남_20~29세,"16,211",155,215,142,138,92,196,155,155,83,191,154,73,258,456,339,211,709,"1,331",380,581,183,"3,481",876,"1,615","2,277","1,083",682
2021년04월_남_30~39세,"15,679",119,365,107,89,99,186,108,88,69,175,114,95,228,290,215,359,879,"1,943",416,517,135,"3,562",670,"1,029","1,779","1,198",845
2021년04월_남_40~49세,"22,650",196,396,273,151,159,306,159,152,132,306,212,161,372,491,332,330,"1,028","1,925",608,557,179,"5,415",871,"1,809","2,994","1,835","1,301"
2021년04월_남_50~59세,"23,131",334,373,326,252,235,452,306,297,221,417,268,196,474,566,463,351,"1,053","1,583",639,691,238,"4,222","1,164","2,079","2,811","1,800","1,320"
2021년04월_남_60~69세,"18,815",339,335,315,346,316,555,363,326,270,404,296,234,557,601,547,368,872,"1,257",652,681,249,"2,303","1,084","1,630","1,712","1,252",951
2021년04월_남_70~79세,"10,483",253,183,191,197,180,386,228,229,200,200,251,211,373,492,415,294,546,694,443,317,175,"1,009",519,764,784,502,447
2021년04월_남_80~89세,"3,519",114,76,115,76,90,167,80,87,79,58,81,62,143,156,169,78,186,175,134,87,78,292,145,261,263,133,134
2021년04월_남_90~99세,336,14,3,9,12,14,21,5,12,11,4,14,3,10,7,15,11,14,15,13,4,8,28,15,33,21,11,9
2021년04월_남_100세 이상,10,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
2021년04월_여_총인구수,"131,960","1,529","2,336","1,662","1,298","1,264","2,514","1,454","1,440","1,051","1,499","1,470","1,219","2,713","3,560","2,877","2,185","6,356","10,951","3,715","4,025","1,395","27,817","6,312","12,201","16,130","7,618","5,369"
2021년04월_여_연령구간인구수,"131,960","1,529","2,336","1,662","1,298","1,264","2,514","1,454","1,440","1,051","1,499","1,470","1,219","2,713","3,560","2,877","2,185","6,356","10,951","3,715","4,025","1,395","27,817","6,312","12,201","16,130","7,618","5,369"
2021년04월_여_0~9세,"10,008",44,290,89,23,30,68,39,54,20,48,53,57,84,168,71,106,507,"1,254",186,257,90,"3,215",316,832,"1,244",529,334
2021년04월_여_10~19세,"12,815",55,190,156,46,59,97,69,70,39,77,73,70,188,287,168,92,534,968,232,338,111,"3,746",508,"1,459","2,022",776,385
2021년04월_여_20~29세,"13,268",92,153,96,90,59,150,96,91,50,123,112,95,179,326,241,218,637,"1,199",330,519,114,"3,116",685,"1,289","1,914",798,496
2021년04월_여_30~39세,"14,283",69,366,103,60,55,149,75,89,57,95,82,91,207,261,174,262,804,"1,761",310,441,117,"3,892",562,"1,088","1,717",832,564
2021년04월_여_40~49세,"20,560",107,327,188,86,92,197,126,109,84,165,143,114,318,441,259,262,913,"1,738",459,537,168,"5,610",927,"2,028","3,035","1,332",795
2021년04월_여_50~59세,"20,929",249,315,236,206,179,346,260,268,148,316,192,169,432,515,462,322,972,"1,494",593,765,237,"3,888","1,221","2,105","2,763","1,331",945
2021년04월_여_60~69세,"19,397",355,296,279,306,291,600,325,323,236,329,307,265,601,740,613,424,980,"1,379",764,653,266,"2,381","1,120","1,745","1,840","1,087",892
2021년04월_여_70~79세,"12,623",289,212,273,225,232,481,257,239,210,219,291,241,456,535,569,326,690,742,578,332,174,"1,262",642,954,"1,020",607,567
2021년04월_여_80~89세,"6,762",222,145,198,202,208,345,174,160,175,106,187,97,213,251,276,145,277,342,224,143,100,600,275,606,498,253,340
2021년04월_여_90~99세,"1,265",47,41,44,49,54,75,29,35,30,19,28,20,34,36,44,26,42,71,39,40,17,104,55,92,76,70,48
2021년04월_여_100세 이상,50,0,1,0,5,5,6,4,2,2,2,2,0,1,0,0,2,0,3,0,0,1,3,1,3,1,3,3
