카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일제1동,서울특별시 강동구 상일제2동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년09월_계_100세 이상,123,5,4,4,4,3,28,2,9,2,4,4,2,8,2,9,7,11,1,14
2021년09월_남_총인구수,"228,002","15,619","19,215","4,737","12,599","8,609","12,602","11,310","17,169","7,370","8,768","13,234","16,416","12,894","9,711","11,716","11,457","22,326",76,"12,174"
2021년09월_남_연령구간인구수,"228,002","15,619","19,215","4,737","12,599","8,609","12,602","11,310","17,169","7,370","8,768","13,234","16,416","12,894","9,711","11,716","11,457","22,326",76,"12,174"
2021년09월_남_0~9세,"18,104","1,591","2,617",423,"1,091",566,"1,483","1,314","1,050",708,950,669,838,689,800,543,633,"1,251",2,886
2021년09월_남_10~19세,"20,585","1,855","2,061",675,"1,292","1,370","2,005","1,062","1,316",498,"1,003",908,915,623,849,568,"1,017","1,480",3,"1,085"
2021년09월_남_20~29세,"29,878","1,820","2,035",667,"1,580","1,107","1,195","1,207","2,487",903,965,"1,835","2,277","1,871","1,383","1,728","1,840","3,296",9,"1,673"
2021년09월_남_30~39세,"35,590","2,210","2,736",634,"1,962",934,"1,423","1,835","2,595","1,384","1,084","2,079","3,124","2,392","1,573","2,212","1,803","3,769",8,"1,833"
2021년09월_남_40~49세,"37,560","2,597","3,704",728,"1,994","1,365","2,638","2,054","2,790","1,203","1,616","2,084","2,493","1,938","1,573","1,732","1,728","3,466",11,"1,846"
2021년09월_남_50~59세,"35,275","2,205","2,611",759,"1,945","1,352","1,744","1,647","2,877","1,091","1,287","2,167","2,711","2,156","1,441","1,882","1,898","3,527",12,"1,963"
2021년09월_남_60~69세,"31,182","1,980","2,366",453,"1,698","1,231","1,375","1,414","2,429",900,"1,150","2,104","2,423","1,944","1,218","1,802","1,493","3,416",18,"1,768"
2021년09월_남_70~79세,"15,136","1,023",895,268,804,548,533,600,"1,229",521,544,"1,068","1,245",983,652,924,799,"1,634",7,859
2021년09월_남_80~89세,"4,280",294,176,113,213,121,173,160,367,152,154,304,366,279,199,303,224,447,4,231
2021년09월_남_90~99세,379,43,13,17,18,15,23,16,27,9,12,16,24,17,22,19,19,38,2,29
2021년09월_남_100세 이상,33,1,1,0,2,0,10,1,2,1,3,0,0,2,1,3,3,2,0,1
2021년09월_여_총인구수,"236,161","16,889","19,725","5,316","13,271","8,885","12,187","11,093","17,446","7,819","9,135","13,727","16,951","13,461","10,380","12,043","11,815","23,396",58,"12,564"
2021년09월_여_연령구간인구수,"236,161","16,889","19,725","5,316","13,271","8,885","12,187","11,093","17,446","7,819","9,135","13,727","16,951","13,461","10,380","12,043","11,815","23,396",58,"12,564"
2021년09월_여_0~9세,"16,735","1,426","2,459",446,"1,046",541,"1,289","1,227","1,014",650,913,678,778,589,711,485,565,"1,122",1,795
2021년09월_여_10~19세,"18,390","1,769","1,960",633,"1,149","1,102","1,509",932,"1,225",503,921,820,842,599,838,569,722,"1,350",3,944
2021년09월_여_20~29세,"31,266","1,780","1,933",821,"1,512","1,153","1,048","1,096","2,267","1,006",952,"1,887","2,664","2,441","1,390","2,116","1,753","3,739",7,"1,701"
2021년09월_여_30~39세,"36,153","2,466","3,238",743,"2,016",972,"1,637","1,977","2,406","1,424","1,287","1,862","2,976","2,397","1,666","2,001","1,686","3,612",6,"1,781"
2021년09월_여_40~49세,"37,393","2,702","3,631",820,"2,182","1,708","2,686","1,920","2,664","1,171","1,632","1,899","2,334","1,789","1,693","1,589","1,826","3,301",13,"1,833"
2021년09월_여_50~59세,"36,587","2,431","2,804",718,"2,068","1,360","1,653","1,587","2,980","1,159","1,366","2,348","2,675","1,991","1,598","1,874","2,068","3,761",8,"2,138"
2021년09월_여_60~69세,"35,062","2,493","2,502",560,"2,007","1,317","1,424","1,497","2,710","1,083","1,264","2,423","2,599","2,033","1,456","1,948","1,859","3,870",12,"2,005"
2021년09월_여_70~79세,"16,208","1,151",804,345,846,462,561,560,"1,479",576,530,"1,203","1,407","1,074",707,978,904,"1,756",5,860
2021년09월_여_80~89세,"6,802",540,306,186,349,199,270,238,582,211,215,488,572,468,266,413,363,729,0,407
2021년09월_여_90~99세,"1,475",127,85,40,94,68,92,58,112,35,54,115,102,74,54,64,65,147,2,87
2021년09월_여_100세 이상,90,4,3,4,2,3,18,1,7,1,1,4,2,6,1,6,4,9,1,13
