,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2021년03월_계_100세 이상,62,0,1,2,5,2,1,3,2,4,4,2,0,0,1,6,0,0,3,2,24
2021년03월_남_총인구수,"172,703","7,845","4,922","9,905","10,797","9,576","5,851","10,722","9,856","11,211","8,716","11,236","4,964","5,628","9,706","8,294","8,128","5,480","14,139","5,700","10,027"
2021년03월_남_연령구간인구수,"172,703","7,845","4,922","9,905","10,797","9,576","5,851","10,722","9,856","11,211","8,716","11,236","4,964","5,628","9,706","8,294","8,128","5,480","14,139","5,700","10,027"
2021년03월_남_0~9세,"10,676",322,336,717,676,582,282,724,494,"1,031",572,572,385,347,419,507,623,288,929,237,633
2021년03월_남_10~19세,"12,529",297,224,935,854,759,278,639,586,935,965,984,350,442,615,710,477,429,"1,245",246,559
2021년03월_남_20~29세,"25,735","1,573",925,"1,108","1,229","1,434","1,162","2,127","1,589","1,308","1,100","1,565",638,685,"1,708","1,137","1,423",837,"1,909","1,062","1,216"
2021년03월_남_30~39세,"24,374","1,306",920,"1,190","1,245","1,209","1,074","2,209","1,481","1,503",864,"1,215",824,673,"1,198",932,"1,384",628,"1,680","1,169","1,670"
2021년03월_남_40~49세,"25,983","1,009",789,"1,608","1,583","1,448",883,"1,580","1,433","1,915","1,381","1,646",759,878,"1,436","1,193","1,257",783,"2,101",801,"1,500"
2021년03월_남_50~59세,"28,005","1,350",745,"1,521","1,741","1,689",826,"1,362","1,472","1,819","1,645","2,067",704,"1,071","1,630","1,349","1,233",935,"2,453",850,"1,543"
2021년03월_남_60~69세,"26,458","1,211",650,"1,570","1,844","1,448",742,"1,178","1,504","1,582","1,310","1,940",734,926,"1,563","1,371",984,902,"2,465",793,"1,741"
2021년03월_남_70~79세,"13,934",578,248,910,"1,195",711,428,636,941,862,678,913,408,457,865,810,554,498,"1,002",378,862
2021년03월_남_80~89세,"4,705",190,74,317,407,272,167,248,346,237,191,312,156,143,264,262,184,173,335,151,276
2021년03월_남_90~99세,292,9,11,28,22,23,9,19,10,17,10,22,6,6,8,23,9,7,20,12,21
2021년03월_남_100세 이상,12,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,6
2021년03월_여_총인구수,"184,942","7,770","4,954","10,986","11,457","10,721","6,937","11,620","11,121","11,685","9,062","12,240","5,404","5,851","9,735","8,735","8,880","5,723","15,119","6,330","10,612"
2021년03월_여_연령구간인구수,"184,942","7,770","4,954","10,986","11,457","10,721","6,937","11,620","11,121","11,685","9,062","12,240","5,404","5,851","9,735","8,735","8,880","5,723","15,119","6,330","10,612"
2021년03월_여_0~9세,"10,356",322,281,730,623,581,270,707,457,928,548,587,369,321,451,506,613,320,871,264,607
2021년03월_여_10~19세,"12,207",260,241,916,712,769,309,657,571,934,934,937,347,463,596,665,532,407,"1,239",228,490
2021년03월_여_20~29세,"27,037","1,937","1,015","1,007","1,038","1,474","1,784","2,664","1,846","1,244",912,"1,326",687,583,"1,411",992,"1,818",724,"1,730","1,473","1,372"
2021년03월_여_30~39세,"23,426","1,145",828,"1,127","1,184","1,274","1,159","2,078","1,490","1,547",840,"1,133",817,616,"1,043",904,"1,354",533,"1,695","1,136","1,523"
2021년03월_여_40~49세,"25,329",789,687,"1,751","1,556","1,524",877,"1,511","1,513","1,864","1,490","1,726",740,854,"1,201","1,224","1,140",745,"2,119",739,"1,279"
2021년03월_여_50~59세,"29,755","1,119",781,"1,765","1,886","1,886",796,"1,418","1,601","1,918","1,694","2,309",771,"1,128","1,666","1,485","1,273",979,"2,802",821,"1,657"
2021년03월_여_60~69세,"29,817","1,155",651,"1,917","2,217","1,637",864,"1,280","1,824","1,687","1,441","2,207",916,987,"1,800","1,623","1,162","1,039","2,656",861,"1,893"
2021년03월_여_70~79세,"17,496",663,296,"1,184","1,476",990,573,820,"1,192","1,053",793,"1,241",511,587,"1,058",905,650,645,"1,222",500,"1,137"
2021년03월_여_80~89세,"8,315",332,142,509,665,522,266,423,555,448,351,658,222,277,450,367,298,298,695,271,566
2021년03월_여_90~99세,"1,154",48,31,79,96,63,38,59,70,60,55,114,24,35,58,58,40,33,87,36,70
2021년03월_여_100세 이상,50,0,1,1,4,1,1,3,2,2,4,2,0,0,1,6,0,0,3,1,18
