,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년02월_남_20~29세,"20,404",327,"5,077",172,"1,638","1,291","1,444",264,351,104,191,"1,385",572,977,"2,345","1,227","1,544","1,495"
2021년02월_남_30~39세,"25,758",382,"7,193",148,"2,112","1,994","2,798",238,398,114,188,"1,238",966,742,"2,525","1,120","1,527","2,075"
2021년02월_남_40~49세,"30,905",511,"7,795",308,"2,681","2,072","2,258",359,609,168,234,"1,871",875,802,"3,627","1,784","2,064","2,887"
2021년02월_남_50~59세,"25,150",622,"5,191",422,"1,476","1,544","1,732",554,753,302,479,"1,801",707,"1,036","2,754","1,708","1,736","2,333"
2021년02월_남_60~69세,"16,255",586,"2,695",417,533,"1,129","1,254",662,611,374,514,"1,282",568,800,"1,561",991,938,"1,340"
2021년02월_남_70~79세,"8,061",346,"1,153",281,252,472,529,383,325,286,335,662,298,448,749,498,431,613
2021년02월_남_80~89세,"3,478",187,408,126,110,182,207,212,177,156,187,296,114,171,304,194,184,263
2021년02월_남_90~99세,302,16,37,12,9,14,19,18,17,12,11,26,10,16,29,21,16,19
2021년02월_남_100세 이상,32,2,6,1,0,0,0,2,1,5,0,1,5,3,1,1,1,3
2021년02월_여_총인구수,"152,788","3,116","37,172","2,078","10,072","9,276","9,541","2,606","2,913","1,502","2,164","9,548","4,510","5,208","18,510","9,249","10,619","14,704"
2021년02월_여_연령구간인구수,"152,788","3,116","37,172","2,078","10,072","9,276","9,541","2,606","2,913","1,502","2,164","9,548","4,510","5,208","18,510","9,249","10,619","14,704"
2021년02월_여_0~9세,"15,848",180,"4,641",99,"1,437","1,295","1,184",75,145,23,60,777,437,223,"1,932",698,"1,044","1,598"
2021년02월_여_10~19세,"16,809",238,"4,564",166,"1,459",828,713,109,186,50,86,"1,014",340,377,"2,410","1,187","1,306","1,776"
2021년02월_여_20~29세,"16,351",225,"4,551",139,"1,174",806,963,152,199,85,149,997,515,719,"2,153",916,"1,206","1,402"
2021년02월_여_30~39세,"22,428",240,"6,764",124,"1,915","1,618","1,825",145,226,63,119,"1,064",772,490,"2,549","1,028","1,409","2,077"
2021년02월_여_40~49세,"26,022",365,"6,925",248,"2,017","1,439","1,327",227,350,98,158,"1,595",642,664,"3,443","1,723","2,036","2,765"
2021년02월_여_50~59세,"21,407",531,"4,638",330,962,"1,262","1,326",436,512,214,365,"1,435",618,981,"2,566","1,537","1,622","2,072"
2021년02월_여_60~69세,"16,361",589,"2,748",408,540,"1,059","1,085",575,534,390,470,"1,203",579,861,"1,783","1,075","1,000","1,462"
2021년02월_여_70~79세,"10,054",379,"1,408",295,321,512,615,456,374,284,399,869,363,551,"1,042",652,627,907
2021년02월_여_80~89세,"6,376",315,786,219,211,380,418,366,330,252,312,520,188,288,542,370,303,576
2021년02월_여_90~99세,"1,046",51,142,45,36,75,82,64,55,39,43,67,47,45,79,57,56,63
2021년02월_여_100세 이상,86,3,5,5,0,2,3,1,2,4,3,7,9,9,11,6,10,6
