,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020년12월_계_80~89세,"15,351","6,752",696,676,"1,125",239,495,613,222,570,625,565,189,73,281,383,"8,599","1,482",392,502,308,618,309,54,170,773,328,752,677,669,522,851,192
2020년12월_계_90~99세,"2,142",887,91,79,125,39,74,92,30,82,60,85,23,7,56,44,"1,255",232,57,70,48,100,45,13,29,108,60,106,93,86,58,128,22
2020년12월_계_100세 이상,112,57,7,5,14,1,2,4,1,3,8,5,2,0,2,3,55,8,3,3,1,2,0,0,3,9,4,5,7,2,2,4,2
2020년12월_남_총인구수,"254,222","118,767","3,819","15,613","29,093","1,809","5,004","2,031",917,"12,802","8,877","6,274","2,538","1,665","15,455","12,870","135,455","20,301","1,440","2,371","1,217","2,382","1,058",299,631,"7,709","8,514","9,702","10,901","15,888","11,524","36,822","4,696"
2020년12월_남_연령구간인구수,"254,222","118,767","3,819","15,613","29,093","1,809","5,004","2,031",917,"12,802","8,877","6,274","2,538","1,665","15,455","12,870","135,455","20,301","1,440","2,371","1,217","2,382","1,058",299,631,"7,709","8,514","9,702","10,901","15,888","11,524","36,822","4,696"
2020년12월_남_0~9세,"20,600","9,048",73,"1,244","2,931",28,297,43,16,625,323,237,103,96,"1,853","1,179","11,552","2,057",37,57,7,38,17,3,8,280,619,398,743,"1,622",873,"4,322",471
2020년12월_남_10~19세,"24,487","11,159",139,"1,923","3,127",71,384,53,43,792,419,373,134,97,"2,016","1,588","13,328","1,877",50,116,44,84,31,8,25,398,"1,000",476,"1,091","1,628","1,284","4,633",583
2020년12월_남_20~29세,"32,344","15,466",288,"2,119","3,741",169,570,122,60,"1,865","1,000",594,391,483,"2,056","2,008","16,878","2,306",112,192,92,181,50,16,27,890,"1,233","1,261","1,343","2,176","1,673","4,851",475
2020년12월_남_30~39세,"31,496","14,590",241,"1,560","4,472",157,522,112,49,"1,715",969,608,315,214,"1,861","1,795","16,906","2,620",78,141,69,152,44,15,36,996,971,"1,335","1,132","2,273","1,309","5,143",592
2020년12월_남_40~49세,"38,777","18,351",475,"2,506","5,489",194,672,196,118,"1,827","1,254",784,328,186,"2,357","1,965","20,426","3,182",138,282,120,222,83,23,57,"1,041","1,217","1,336","1,564","2,276","1,546","6,509",830
2020년12월_남_50~59세,"45,244","21,495",829,"3,085","4,571",374,942,395,188,"2,191","1,722","1,203",435,253,"2,762","2,545","23,749","3,575",242,499,268,476,223,57,116,"1,378","1,636","1,633","1,976","2,794","2,163","5,991",722
2020년12월_남_60~69세,"38,526","18,078",968,"2,117","3,224",490,944,493,233,"2,336","1,859","1,478",465,207,"1,971","1,293","20,448","2,881",417,547,300,618,297,97,188,"1,527","1,266","1,846","1,887","2,195","1,799","3,923",660
2020년12월_남_70~79세,"17,294","8,227",563,835,"1,158",255,496,393,147,"1,222","1,078",786,290,100,496,408,"9,067","1,313",231,364,215,397,188,59,108,886,456,"1,091",884,742,675,"1,178",280
2020년12월_남_80~89세,"5,032","2,193",223,213,357,66,163,203,61,213,242,193,73,28,76,82,"2,839",442,130,163,94,188,113,16,58,289,104,299,254,172,187,251,79
2020년12월_남_90~99세,392,143,16,10,20,5,13,21,2,16,9,16,2,1,6,6,249,45,5,10,7,25,12,5,8,20,12,25,26,10,14,21,4
2020년12월_남_100세 이상,30,17,4,1,3,0,1,0,0,0,2,2,2,0,1,1,13,3,0,0,1,1,0,0,0,4,0,2,1,0,1,0,0
2020년12월_여_총인구수,"248,694","111,655","3,749","15,020","25,746","1,691","4,904","2,086",970,"12,018","8,379","6,233","2,156","1,174","14,985","12,544","137,039","20,303","1,433","2,456","1,273","2,538","1,068",294,659,"8,034","8,685","10,005","11,394","16,451","11,665","35,936","4,845"
2020년12월_여_연령구간인구수,"248,694","111,655","3,749","15,020","25,746","1,691","4,904","2,086",970,"12,018","8,379","6,233","2,156","1,174","14,985","12,544","137,039","20,303","1,433","2,456","1,273","2,538","1,068",294,659,"8,034","8,685","10,005","11,394","16,451","11,665","35,936","4,845"
2020년12월_여_0~9세,"19,073","8,420",73,"1,130","2,778",37,270,28,15,558,289,190,96,64,"1,818","1,074","10,653","1,848",31,54,22,48,22,3,11,287,601,388,719,"1,424",783,"3,967",445
2020년12월_여_10~19세,"22,266","10,083",100,"1,789","2,746",73,389,73,31,722,367,340,132,99,"1,779","1,443","12,183","1,748",29,92,43,108,25,7,15,397,867,456,957,"1,465","1,173","4,243",558
2020년12월_여_20~29세,"24,106","10,727",181,"1,516","2,576",110,432,76,38,"1,346",678,452,204,142,"1,430","1,546","13,379","1,766",67,128,71,112,16,17,25,773,928,"1,059","1,055","1,753","1,266","3,935",408
2020년12월_여_30~39세,"28,081","12,389",202,"1,520","3,720",105,445,74,33,"1,239",644,431,201,128,"2,033","1,614","15,692","2,499",53,118,36,76,28,0,22,742,909,974,"1,088","2,178","1,193","5,166",610
2020년12월_여_40~49세,"38,353","17,274",284,"2,692","4,642",120,585,100,59,"1,531",944,656,205,164,"2,860","2,432","21,079","3,090",78,190,66,147,45,16,45,926,"1,474","1,167","1,717","2,610","1,783","6,878",847
2020년12월_여_50~59세,"44,905","19,886",605,"2,908","3,974",330,865,321,140,"2,308","1,659","1,145",375,226,"2,649","2,381","25,019","3,547",231,398,201,427,169,54,87,"1,382","1,816","1,850","2,168","3,247","2,545","6,140",757
2020년12월_여_60~69세,"40,054","18,523",975,"2,087","3,045",429,897,485,230,"2,740","2,272","1,668",500,199,"1,758","1,238","21,531","2,928",351,581,319,608,301,97,171,"1,781","1,298","2,339","2,214","2,254","1,830","3,703",756
2020년12월_여_70~79세,"19,705","9,010",778,842,"1,381",279,627,444,234,"1,148","1,086",907,306,101,402,475,"10,695","1,645",276,493,260,506,233,54,147,"1,169",516,"1,235",980,945,712,"1,193",331
2020년12월_여_80~89세,"10,319","4,559",473,463,768,173,332,410,161,357,383,372,116,45,205,301,"5,760","1,040",262,339,214,430,196,38,112,484,224,453,423,497,335,600,113
2020년12월_여_90~99세,"1,750",744,75,69,105,34,61,71,28,66,51,69,21,6,50,38,"1,006",187,52,60,41,75,33,8,21,88,48,81,67,76,44,107,18
2020년12월_여_100세 이상,82,40,3,4,11,1,1,4,1,3,6,3,0,0,1,2,42,5,3,3,0,1,0,0,3,5,4,3,6,2,1,4,2
