,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년06월_남_50~59세,"34,055","1,302","1,823",973,"1,285","1,963",979,"1,203","1,404","1,811","1,144","1,990","2,591","1,361","3,134","2,114","1,514","2,052","1,216","1,292","2,904"
2021년06월_남_60~69세,"26,347",974,"1,358",685,"1,027","1,304",697,910,"1,062","1,564","1,012","1,644","1,479",998,"2,338","1,735","1,305","1,596","1,065",923,"2,671"
2021년06월_남_70~79세,"14,310",543,750,446,563,638,390,462,575,877,615,954,862,476,"1,223",935,715,761,625,452,"1,448"
2021년06월_남_80~89세,"5,651",300,318,172,205,275,166,172,255,322,253,349,319,163,573,348,275,283,226,131,546
2021년06월_남_90~99세,485,38,28,22,19,34,11,5,18,24,25,33,22,13,70,25,23,18,20,5,32
2021년06월_남_100세 이상,27,7,3,1,0,0,2,1,0,2,0,1,0,2,4,0,0,1,0,1,2
2021년06월_여_총인구수,"224,448","8,904","12,038","8,976","7,910","12,749","7,429","8,021","9,534","11,951","7,636","12,974","18,682","8,615","19,713","13,772","10,137","12,436","6,964","8,205","17,802"
2021년06월_여_연령구간인구수,"224,448","8,904","12,038","8,976","7,910","12,749","7,429","8,021","9,534","11,951","7,636","12,974","18,682","8,615","19,713","13,772","10,137","12,436","6,964","8,205","17,802"
2021년06월_여_0~9세,"13,885",389,506,287,398,973,214,487,663,705,283,737,"1,854",675,"1,259",999,490,881,283,840,962
2021년06월_여_10~19세,"18,037",559,876,539,652,"1,389",402,478,873,882,463,"1,010","2,485",673,"1,652","1,336",724,916,435,679,"1,014"
2021년06월_여_20~29세,"34,424","1,498","2,315","2,998","1,074","1,518","2,479","1,352","1,154","1,624","1,357","1,585","1,767","1,097","2,660","1,619","1,962","1,663","1,006","1,077","2,619"
2021년06월_여_30~39세,"29,673","1,293","1,654","1,357",984,"1,561",883,"1,253","1,324","1,515",795,"1,606","2,442","1,239","2,524","1,792","1,306","1,624",836,"1,325","2,360"
2021년06월_여_40~49세,"34,852","1,320","1,790","1,037","1,117","2,321",777,"1,187","1,622","1,781",943,"2,104","4,053","1,495","3,195","2,264","1,383","1,862",871,"1,294","2,436"
2021년06월_여_50~59세,"34,978","1,448","1,834",979,"1,399","2,137","1,001","1,297","1,447","1,943","1,189","2,146","2,461","1,386","3,166","2,103","1,469","2,182","1,180","1,247","2,964"
2021년06월_여_60~69세,"29,680","1,114","1,420",834,"1,167","1,472",782,"1,021","1,218","1,819","1,254","1,981","1,815","1,120","2,549","1,891","1,423","1,795","1,172","1,019","2,814"
2021년06월_여_70~79세,"18,466",764,"1,037",593,696,833,558,606,789,"1,089",828,"1,170","1,190",613,"1,630","1,184",877,978,779,480,"1,772"
2021년06월_여_80~89세,"8,877",412,521,293,369,445,285,282,379,504,443,530,516,274,916,507,424,464,346,212,755
2021년06월_여_90~99세,"1,498",97,74,47,50,97,45,55,62,87,79,101,95,42,158,77,75,70,54,28,105
2021년06월_여_100세 이상,78,10,11,12,4,3,3,3,3,2,2,4,4,1,4,0,4,1,2,4,1
