,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년11월_남_10~19세,"22,682",987,"1,275","1,599","2,162","1,731",223,"1,924","1,393","1,551","1,117","1,314",702,814,941,"1,250","2,239",783,677
2021년11월_남_20~29세,"25,093","1,357","1,586","2,480","1,711","1,642",168,"1,947",640,"1,197","1,075","1,230","1,103","1,301","1,156","1,335","2,531","1,670",964
2021년11월_남_30~39세,"27,460","1,634","2,217","2,562","1,440","1,552",105,"2,625",502,"1,084","1,095","1,019","1,300","1,365","1,147","1,455","3,036","2,188","1,134"
2021년11월_남_40~49세,"35,262","1,761","2,315","2,363","2,857","2,327",234,"3,490","1,623","1,989","1,598","1,706","1,270","1,393","1,345","1,933","3,644","1,880","1,534"
2021년11월_남_50~59세,"31,025","1,466","1,750","2,442","2,564","2,340",268,"2,439","1,219","1,845","1,397","1,758","1,134","1,388","1,459","1,773","2,985","1,650","1,148"
2021년11월_남_60~69세,"22,198","1,134","1,229","1,775","1,481","1,357",137,"1,530",648,"1,053","1,061","1,065",964,"1,284","1,323","1,132","2,567","1,273","1,185"
2021년11월_남_70~79세,"12,514",624,696,"1,053",894,640,74,839,405,595,584,569,614,759,722,712,"1,395",619,720
2021년11월_남_80~89세,"4,483",210,240,367,388,231,37,253,168,230,198,274,233,258,271,333,406,162,224
2021년11월_남_90~99세,467,31,24,37,44,29,2,25,7,30,28,30,24,22,30,16,52,13,23
2021년11월_남_100세 이상,25,0,3,5,1,3,0,1,4,1,1,0,4,1,0,0,0,0,1
2021년11월_여_총인구수,"215,757","10,637","13,638","16,810","15,844","13,899","1,487","17,636","8,240","11,637","10,174","11,238","8,994","10,347","9,707","12,810","22,548","11,013","9,098"
2021년11월_여_연령구간인구수,"215,757","10,637","13,638","16,810","15,844","13,899","1,487","17,636","8,240","11,637","10,174","11,238","8,994","10,347","9,707","12,810","22,548","11,013","9,098"
2021년11월_여_0~9세,"15,518",642,"1,188",844,"1,323",940,59,"1,610",806,902,795,693,522,551,634,801,"1,691",609,908
2021년11월_여_10~19세,"21,887",903,"1,140","1,217","2,000","1,646",243,"1,902","1,441","1,474","1,090","1,505",628,797,904,"1,448","2,117",777,655
2021년11월_여_20~29세,"27,191","1,475","1,896","2,983","1,798","1,723",172,"2,251",693,"1,208","1,140","1,387","1,241","1,283","1,097","1,704","2,592","1,653",895
2021년11월_여_30~39세,"32,312","1,824","2,712","2,924","1,960","1,849",121,"2,990",818,"1,355","1,386","1,310","1,536","1,634","1,320","1,870","3,293","2,065","1,345"
2021년11월_여_40~49세,"40,048","1,952","2,514","2,703","3,326","2,814",317,"3,583","1,994","2,485","1,979","2,166","1,466","1,601","1,564","2,393","3,883","1,796","1,512"
2021년11월_여_50~59세,"31,581","1,552","1,741","2,499","2,322","2,242",265,"2,135","1,005","1,781","1,546","1,752","1,349","1,641","1,635","1,904","3,245","1,694","1,273"
2021년11월_여_60~69세,"25,919","1,252","1,400","1,978","1,655","1,514",157,"1,808",730,"1,266","1,272","1,251","1,201","1,597","1,447","1,325","3,259","1,430","1,377"
2021년11월_여_70~79세,"14,267",684,763,"1,100",976,740,113,948,523,757,650,733,726,875,740,900,"1,622",682,735
2021년11월_여_80~89세,"5,691",290,229,469,393,343,31,330,189,325,254,362,277,295,295,386,659,236,328
2021년11월_여_90~99세,"1,271",62,53,88,83,83,5,72,40,76,60,72,47,70,67,78,181,68,66
2021년11월_여_100세 이상,72,1,2,5,8,5,4,7,1,8,2,7,1,3,4,1,6,3,4
