,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년03월_남_40~49세,"37,583","3,221","3,518","2,014","1,383","2,697","1,998","2,835","1,205","1,622","2,117","2,534","1,953","1,616","1,766","1,727","3,504",11,"1,862"
2021년03월_남_50~59세,"35,322","2,837","2,532","1,940","1,349","1,750","1,660","2,898","1,066","1,297","2,178","2,818","2,181","1,444","1,885","1,914","3,559",11,"2,003"
2021년03월_남_60~69세,"30,571","2,248","2,276","1,688","1,204","1,365","1,379","2,388",900,"1,137","2,081","2,436","1,941","1,184","1,746","1,456","3,351",19,"1,772"
2021년03월_남_70~79세,"14,956","1,219",850,783,535,534,594,"1,239",516,527,"1,066","1,255",979,657,916,792,"1,629",6,859
2021년03월_남_80~89세,"4,046",389,168,215,116,159,150,337,146,146,275,363,274,182,286,202,414,5,219
2021년03월_남_90~99세,375,55,12,23,16,21,16,33,9,12,15,24,17,24,16,18,36,1,27
2021년03월_남_100세 이상,29,1,1,1,1,10,1,1,0,2,0,0,2,1,3,2,2,0,1
2021년03월_여_총인구수,"236,291","21,131","19,188","13,341","8,820","12,477","11,169","17,600","7,914","9,252","13,807","17,126","13,491","10,409","12,244","11,887","23,613",58,"12,764"
2021년03월_여_연령구간인구수,"236,291","21,131","19,188","13,341","8,820","12,477","11,169","17,600","7,914","9,252","13,807","17,126","13,491","10,409","12,244","11,887","23,613",58,"12,764"
2021년03월_여_0~9세,"17,085","1,828","2,417","1,028",560,"1,375","1,248","1,079",687,958,711,788,596,746,505,597,"1,161",1,800
2021년03월_여_10~19세,"18,592","2,374","1,912","1,183","1,114","1,501",937,"1,227",512,907,840,870,635,847,607,721,"1,416",4,985
2021년03월_여_20~29세,"31,425","2,440","1,912","1,592","1,108","1,099","1,133","2,296","1,046",995,"1,904","2,592","2,418","1,392","2,178","1,790","3,768",7,"1,755"
2021년03월_여_30~39세,"36,611","2,988","3,230","2,054",952,"1,790","2,065","2,511","1,445","1,360","1,921","2,977","2,351","1,702","2,028","1,707","3,701",6,"1,823"
2021년03월_여_40~49세,"37,366","3,450","3,454","2,194","1,691","2,689","1,865","2,678","1,189","1,645","1,902","2,376","1,803","1,719","1,637","1,849","3,348",13,"1,864"
2021년03월_여_50~59세,"36,995","3,017","2,778","2,097","1,390","1,682","1,615","3,006","1,174","1,368","2,397","2,789","2,039","1,585","1,909","2,087","3,857",7,"2,198"
2021년03월_여_60~69세,"34,114","2,794","2,344","1,931","1,276","1,408","1,452","2,642","1,055","1,222","2,356","2,640","2,035","1,425","1,961","1,829","3,755",13,"1,976"
2021년03월_여_70~79세,"15,956","1,400",763,827,444,555,557,"1,482",564,534,"1,199","1,431","1,066",679,952,895,"1,737",4,867
2021년03월_여_80~89세,"6,604",677,293,347,214,266,233,569,204,209,466,551,472,266,399,344,699,0,395
2021년03월_여_90~99세,"1,456",155,84,86,68,93,63,103,36,54,107,110,72,47,61,63,162,2,90
2021년03월_여_100세 이상,87,8,1,2,3,19,1,7,2,0,4,2,4,1,7,5,9,1,11
