카테고리,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년01월_계_80~89세,"7,964",348,660,457,538,619,515,495,349,541,565,462,465,347,615,253,735
2020년01월_계_90~99세,"1,075",49,88,67,69,78,71,69,36,56,63,71,75,49,84,31,119
2020년01월_계_100세 이상,86,9,6,13,3,2,6,11,4,5,0,2,9,2,6,1,7
2020년01월_남_총인구수,"114,174","2,893","13,134","6,228","6,246","4,366","8,549","7,807","5,551","7,301","9,519","10,696","6,299","5,759","7,610","1,348","10,868"
2020년01월_남_연령구간인구수,"114,174","2,893","13,134","6,228","6,246","4,366","8,549","7,807","5,551","7,301","9,519","10,696","6,299","5,759","7,610","1,348","10,868"
2020년01월_남_0~9세,"8,325",51,"1,421",499,495,158,533,829,197,447,562,672,511,355,427,42,"1,126"
2020년01월_남_10~19세,"10,731",85,"1,808",497,546,229,799,766,411,576,998,800,508,461,727,87,"1,433"
2020년01월_남_20~29세,"16,362",227,"1,441",772,823,532,"1,481",984,"1,439","1,139","1,592","2,007",761,996,899,116,"1,153"
2020년01월_남_30~39세,"14,534",263,"1,646",945,860,456,973,"1,160",661,819,"1,129","1,785",867,780,829,107,"1,254"
2020년01월_남_40~49세,"18,330",384,"2,566",993,882,597,"1,334","1,196",774,"1,184","1,447","1,710",979,905,"1,216",172,"1,991"
2020년01월_남_50~59세,"19,289",720,"1,873",965,"1,093",826,"1,529","1,252",802,"1,283","1,683","1,768","1,119","1,021","1,404",290,"1,661"
2020년01월_남_60~69세,"15,074",629,"1,397",801,866,866,"1,129",911,720,"1,041","1,259","1,201",869,741,"1,118",284,"1,242"
2020년01월_남_70~79세,"8,367",383,743,545,477,490,561,501,413,597,627,558,499,368,720,161,724
2020년01월_남_80~89세,"2,874",135,225,190,179,192,187,186,125,199,211,175,162,128,244,81,255
2020년01월_남_90~99세,263,11,13,17,24,20,20,19,9,16,11,20,21,3,24,8,27
2020년01월_남_100세 이상,25,5,1,4,1,0,3,3,0,0,0,0,3,1,2,0,2
2020년01월_여_총인구수,"112,042","2,270","13,656","6,334","6,555","4,530","8,318","7,793","4,988","6,805","9,539","10,045","6,374","5,485","7,315","1,222","10,813"
2020년01월_여_연령구간인구수,"112,042","2,270","13,656","6,334","6,555","4,530","8,318","7,793","4,988","6,805","9,539","10,045","6,374","5,485","7,315","1,222","10,813"
2020년01월_여_0~9세,"7,805",60,"1,440",485,430,159,501,721,185,415,547,590,452,293,474,44,"1,009"
2020년01월_여_10~19세,"10,006",75,"1,658",447,516,201,810,711,434,565,892,785,474,408,630,74,"1,326"
2020년01월_여_20~29세,"14,308",163,"1,324",717,756,369,"1,218",910,"1,182",897,"1,456","1,847",704,908,758,93,"1,006"
2020년01월_여_30~39세,"12,654",167,"1,790",836,767,327,814,"1,075",423,724,958,"1,352",749,614,728,57,"1,273"
2020년01월_여_40~49세,"16,442",190,"2,499",876,902,451,"1,257","1,156",537,897,"1,444","1,496",901,753,"1,047",137,"1,899"
2020년01월_여_50~59세,"18,505",396,"1,971","1,024","1,187",830,"1,469","1,245",779,"1,182","1,703","1,656","1,118",978,"1,262",200,"1,505"
2020년01월_여_60~69세,"16,104",523,"1,529","1,000",960,945,"1,211",968,729,"1,037","1,348","1,290",979,783,"1,196",239,"1,367"
2020년01월_여_70~79세,"10,255",441,930,623,631,761,656,640,464,701,785,689,634,482,785,182,851
2020년01월_여_80~89세,"5,090",213,435,267,359,427,328,309,224,342,354,287,303,219,371,172,480
2020년01월_여_90~99세,812,38,75,50,45,58,51,50,27,40,52,51,54,46,60,23,92
2020년01월_여_100세 이상,61,4,5,9,2,2,3,8,4,5,0,2,6,1,4,1,5
