,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2021년11월_남_총인구수,"170,491","7,960","4,948","9,738","10,681","9,444","5,480","10,454","9,812","11,235","8,606","11,037","4,901","5,539","9,634","8,201","8,036","5,366","13,950","5,632","9,837"
2021년11월_남_연령구간인구수,"170,491","7,960","4,948","9,738","10,681","9,444","5,480","10,454","9,812","11,235","8,606","11,037","4,901","5,539","9,634","8,201","8,036","5,366","13,950","5,632","9,837"
2021년11월_남_0~9세,"10,243",300,337,689,653,561,254,715,460,"1,005",548,528,358,333,395,478,592,277,910,235,615
2021년11월_남_10~19세,"12,230",306,231,912,876,728,244,636,570,951,927,960,353,420,598,689,465,404,"1,205",219,536
2021년11월_남_20~29세,"24,756","1,562",918,"1,055","1,130","1,358","1,154","1,988","1,588","1,301","1,052","1,490",611,668,"1,651","1,098","1,367",801,"1,828","1,011","1,125"
2021년11월_남_30~39세,"24,057","1,381",917,"1,142","1,206","1,194","1,011","2,227","1,466","1,484",817,"1,209",801,644,"1,177",935,"1,367",608,"1,642","1,207","1,622"
2021년11월_남_40~49세,"25,434","1,002",806,"1,564","1,570","1,404",836,"1,568","1,383","1,900","1,344","1,570",746,850,"1,431","1,157","1,249",734,"2,033",784,"1,503"
2021년11월_남_50~59세,"27,567","1,340",743,"1,507","1,761","1,652",761,"1,330","1,487","1,841","1,596","2,017",697,"1,039","1,596","1,335","1,231",928,"2,389",830,"1,487"
2021년11월_남_60~69세,"26,806","1,242",652,"1,583","1,812","1,504",658,"1,114","1,546","1,591","1,398","1,984",755,969,"1,617","1,374","1,005",911,"2,523",807,"1,761"
2021년11월_남_70~79세,"14,118",602,261,923,"1,220",733,385,611,935,891,698,929,416,450,883,836,547,511,"1,052",372,863
2021년11월_남_80~89세,"4,952",214,72,337,425,281,167,246,366,251,217,326,157,158,279,272,200,184,342,153,305
2021년11월_남_90~99세,325,11,11,26,27,29,9,19,11,19,9,24,7,8,7,27,13,8,26,14,20
2021년11월_남_100세 이상,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"183,278","7,963","4,949","10,900","11,473","10,629","6,527","11,380","11,113","11,756","8,892","12,051","5,391","5,790","9,639","8,673","8,712","5,627","14,962","6,349","10,502"
2021년11월_여_연령구간인구수,"183,278","7,963","4,949","10,900","11,473","10,629","6,527","11,380","11,113","11,756","8,892","12,051","5,391","5,790","9,639","8,673","8,712","5,627","14,962","6,349","10,502"
2021년11월_여_0~9세,"9,955",325,298,724,616,559,234,693,421,883,517,560,362,303,414,475,568,303,848,271,581
2021년11월_여_10~19세,"11,900",261,233,870,690,728,278,653,574,934,913,914,327,442,593,669,515,402,"1,195",223,486
2021년11월_여_20~29세,"26,394","1,980",989,"1,001","1,028","1,402","1,778","2,561","1,845","1,269",836,"1,279",676,565,"1,391",967,"1,741",697,"1,661","1,419","1,309"
2021년11월_여_30~39세,"23,072","1,205",805,"1,104","1,162","1,277","1,137","2,104","1,469","1,551",786,"1,097",806,580,"1,006",870,"1,285",502,"1,668","1,159","1,499"
2021년11월_여_40~49세,"24,793",780,703,"1,715","1,549","1,468",793,"1,503","1,491","1,856","1,448","1,652",739,820,"1,186","1,171","1,139",708,"2,036",762,"1,274"
2021년11월_여_50~59세,"29,172","1,101",759,"1,725","1,853","1,860",737,"1,364","1,566","1,934","1,657","2,259",768,"1,115","1,601","1,479","1,255",978,"2,749",814,"1,598"
2021년11월_여_60~69세,"30,493","1,210",693,"1,962","2,258","1,693",768,"1,251","1,864","1,769","1,492","2,251",941,"1,019","1,829","1,663","1,204","1,035","2,759",877,"1,955"
2021년11월_여_70~79세,"17,589",696,299,"1,188","1,494","1,020",511,789,"1,216","1,037",815,"1,237",519,604,"1,073",927,639,643,"1,249",509,"1,124"
2021년11월_여_80~89세,"8,679",359,135,534,718,550,252,399,593,465,373,684,228,302,482,390,328,324,697,271,595
2021년11월_여_90~99세,"1,208",46,34,76,103,70,38,62,73,55,52,116,25,40,64,61,38,35,98,44,78
2021년11월_여_100세 이상,23,0,1,1,2,2,1,1,1,3,3,2,0,0,0,1,0,0,2,0,3
