카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년10월_남_연령구간인구수,"193,568","9,586","10,078","8,916","10,678","10,427","7,700","12,896","12,504","8,928","9,065","18,590","18,032","24,022","12,478","19,668"
2021년10월_남_0~9세,"19,094",656,696,452,442,702,470,568,"1,175",660,731,"1,547","2,406","3,386","1,911","3,292"
2021년10월_남_10~19세,"22,128",960,"1,115",547,841,828,602,866,"1,329",990,"1,440","2,795","3,280","3,103","1,496","1,936"
2021년10월_남_20~29세,"26,511","1,392","1,515","1,371","1,691","1,708","1,098","1,923","1,713","1,309","1,311","3,252","1,856","2,993","1,395","1,984"
2021년10월_남_30~39세,"27,913","1,134","1,169","1,258","1,492","1,686","1,124","1,749","1,782","1,336",778,"2,077","1,773","4,223","2,105","4,227"
2021년10월_남_40~49세,"33,889","1,498","1,610","1,286","1,798","1,473","1,010","1,897","2,037","1,316","1,460","3,000","3,949","4,906","2,627","4,022"
2021년10월_남_50~59세,"32,041","1,801","1,852","1,568","2,161","1,785","1,341","2,633","2,155","1,605","1,676","3,198","3,002","3,133","1,729","2,402"
2021년10월_남_60~69세,"21,836","1,305","1,361","1,628","1,507","1,508","1,331","2,133","1,669","1,190","1,095","1,916","1,293","1,619",890,"1,391"
2021년10월_남_70~79세,"7,331",582,554,581,549,525,506,790,469,365,403,582,334,498,251,342
2021년10월_남_80~89세,"2,536",234,185,208,178,185,195,307,147,143,149,200,128,143,70,64
2021년10월_남_90~99세,281,24,20,17,19,26,22,27,28,14,22,23,11,16,4,8
2021년10월_남_100세 이상,8,0,1,0,0,1,1,3,0,0,0,0,0,2,0,0
2021년10월_여_총인구수,"196,358","9,808","10,354","8,324","8,848","10,760","8,504","11,937","12,974","9,455","9,565","19,269","18,751","24,987","12,728","20,094"
2021년10월_여_연령구간인구수,"196,358","9,808","10,354","8,324","8,848","10,760","8,504","11,937","12,974","9,455","9,565","19,269","18,751","24,987","12,728","20,094"
2021년10월_여_0~9세,"18,337",614,707,393,434,626,429,592,"1,105",643,739,"1,467","2,338","3,319","1,805","3,126"
2021년10월_여_10~19세,"21,030",882,"1,036",513,679,806,586,803,"1,349",932,"1,356","2,695","3,131","2,984","1,489","1,789"
2021년10월_여_20~29세,"24,509","1,187","1,320","1,037","1,311","1,502","1,072","1,435","1,591","1,228","1,186","3,248","1,760","3,184","1,382","2,066"
2021년10월_여_30~39세,"28,898","1,062","1,215",951,999,"1,521","1,006","1,299","1,886","1,299","1,000","2,250","2,515","4,833","2,449","4,613"
2021년10월_여_40~49세,"35,041","1,557","1,650","1,053","1,330","1,539","1,107","1,606","2,142","1,482","1,801","3,572","4,559","5,109","2,641","3,893"
2021년10월_여_50~59세,"33,043","1,903","2,048","1,702","1,803","2,017","1,646","2,539","2,513","1,888","1,700","3,198","2,631","3,101","1,712","2,642"
2021년10월_여_60~69세,"20,826","1,358","1,310","1,533","1,282","1,498","1,334","1,993","1,535","1,178","1,002","1,790","1,115","1,590",866,"1,442"
2021년10월_여_70~79세,"8,487",757,619,670,615,655,684,976,470,443,446,607,421,550,249,325
2021년10월_여_80~89세,"5,058",415,367,385,332,490,512,581,307,310,271,341,220,263,112,152
2021년10월_여_90~99세,"1,088",73,78,81,59,102,123,110,72,51,64,98,57,54,21,45
2021년10월_여_100세 이상,41,0,4,6,4,4,5,3,4,1,0,3,4,0,2,1
