,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2021년06월_남_30~39세,"725,714","9,743","9,934","18,976","23,398","27,315","25,428","29,360","29,576","19,733","20,373","31,774","33,165","21,948","30,165","28,000","49,749","31,523","19,707","35,490","31,114","47,451","28,141","36,279","51,309","36,063"
2021년06월_남_40~49세,"743,762","10,450","9,065","17,127","22,057","25,256","25,493","29,203","33,885","23,245","23,414","39,865","37,170","22,809","29,380","37,181","45,331","31,747","16,950","28,762","29,193","35,722","35,638","45,249","51,895","37,675"
2021년06월_남_50~59세,"741,675","12,579","10,243","17,985","23,151","26,354","26,532","33,753","34,055","25,494","26,742","42,203","36,967","23,729","26,759","37,805","40,670","30,889","19,895","28,605","27,812","33,851","31,072","40,284","49,060","35,186"
2021년06월_남_60~69세,"599,745","10,055","8,873","13,875","18,144","20,729","22,749","29,010","26,347","21,847","24,102","32,409","30,353","18,439","18,831","28,486","36,372","26,898","16,663","23,238","23,089","27,713","22,278","27,665","40,589","30,991"
2021년06월_남_70~79세,"317,147","5,224","4,652","7,125","9,021","10,103","12,434","14,226","14,310","12,739","12,672","16,194","16,996","10,060","9,965","13,605","18,196","15,025","8,410","12,363","13,219","16,714","12,711","16,232","19,865","15,086"
2021년06월_남_80~89세,"111,573","2,413","1,756","3,163","3,285","3,626","4,594","4,757","5,651","4,789","4,647","5,947","6,567","4,396","4,327","3,970","5,507","4,782","2,638","4,696","4,932","5,654","4,408","5,166","5,731","4,171"
2021년06월_남_90~99세,"10,322",288,222,404,285,332,388,351,485,379,458,624,551,413,439,397,551,371,208,412,446,373,475,509,591,370
2021년06월_남_100세 이상,619,16,16,27,29,18,20,20,27,14,36,20,42,35,36,14,29,14,13,17,41,21,30,29,25,30
2021년06월_여_총인구수,"4,916,548","75,044","62,997","117,430","148,120","177,248","170,705","197,284","224,448","155,103","164,285","267,278","247,787","160,226","195,932","229,852","299,159","202,232","113,677","190,939","200,230","243,396","218,244","277,236","341,139","236,557"
2021년06월_여_연령구간인구수,"4,916,548","75,044","62,997","117,430","148,120","177,248","170,705","197,284","224,448","155,103","164,285","267,278","247,787","160,226","195,932","229,852","299,159","202,232","113,677","190,939","200,230","243,396","218,244","277,236","341,139","236,557"
2021년06월_여_0~9세,"293,257","3,624","3,142","6,392","9,722","9,089","9,720","10,637","13,885","7,204","8,587","15,386","13,942","9,561","11,909","14,934","18,724","13,133","5,808","12,412","11,664","10,250","15,804","17,141","23,542","17,045"
2021년06월_여_10~19세,"373,886","5,373","3,343","7,484","9,724","12,503","11,491","12,781","18,037","10,398","12,069","24,780","18,442","11,554","13,958","23,923","21,555","14,362","7,094","11,423","13,285","13,658","22,000","27,900","28,284","18,465"
2021년06월_여_20~29세,"746,278","11,892","9,748","17,764","22,511","33,156","28,477","28,035","34,424","21,307","20,888","35,087","34,640","25,912","34,041","28,875","46,739","27,897","18,598","31,672","33,879","55,845","27,815","37,466","48,327","31,283"
2021년06월_여_30~39세,"726,614","9,852","9,947","19,185","24,308","27,813","23,834","27,690","29,673","17,969","19,455","31,956","34,215","22,545","33,691","28,731","48,730","30,130","15,944","33,777","30,455","38,283","33,025","42,784","56,089","36,533"
2021년06월_여_40~49세,"757,309","10,983","8,673","17,645","21,931","26,020","23,982","27,290","34,852","22,012","23,777","43,864","37,901","23,362","31,159","40,609","44,856","30,300","15,149","27,103","28,868","31,074","40,367","52,465","55,639","37,428"
2021년06월_여_50~59세,"764,557","12,360","9,960","18,447","23,363","27,476","25,765","34,469","34,978","26,246","29,320","44,864","39,796","24,898","27,731","38,263","44,040","31,416","19,610","27,577","29,976","33,280","31,897","40,003","52,119","36,703"
2021년06월_여_60~69세,"670,059","10,137","8,883","14,980","18,988","22,802","24,222","30,803","29,680","24,969","26,705","37,263","35,562","20,702","21,661","30,952","42,118","30,039","17,323","24,479","26,942","31,907","25,895","32,720","45,589","34,738"
2021년06월_여_70~79세,"378,902","6,567","5,668","9,205","11,209","11,954","15,031","16,897","18,466","16,713","14,838","21,086","21,763","13,499","13,680","15,209","20,707","16,717","9,467","14,477","16,434","19,859","14,490","18,022","20,841","16,103"
2021년06월_여_80~89세,"173,350","3,572","3,013","5,294","5,475","5,518","7,084","7,389","8,877","7,207","7,352","11,016","9,817","6,994","6,896","7,038","9,680","7,079","3,997","6,886","7,305","7,907","5,583","6,940","8,735","6,696"
2021년06월_여_90~99세,"30,486",648,577,970,837,864,"1,039","1,236","1,498","1,044","1,207","1,876","1,467","1,122","1,135","1,263","1,947","1,121",654,"1,086","1,308","1,248","1,286","1,692","1,887","1,474"
2021년06월_여_100세 이상,"1,850",36,43,64,52,53,60,57,78,34,87,100,242,77,71,55,63,38,33,47,114,85,82,103,87,89
