,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2021년03월_여_0~9세,"50,911","10,427","13,773","6,423","3,164","1,187","2,838","1,858","1,855",997,777,923,829,"1,646",878,839,"1,209",630,658
2021년03월_여_10~19세,"65,344","12,886","17,207","8,930","4,156","1,805","3,533","2,436","2,497","1,705","1,338","1,336","1,203","1,776",863,"1,022","1,083",727,841
2021년03월_여_20~29세,"77,772","17,382","21,202","11,278","3,799","1,536","3,900","3,092","2,660","1,627","1,328","1,359","1,158","1,963","1,136","1,022","1,356","1,001",973
2021년03월_여_30~39세,"78,011","16,664","22,251","10,156","4,188","1,706","4,220","2,572","2,702","1,614","1,244","1,378","1,307","2,076","1,155","1,120","1,629",968,"1,061"
2021년03월_여_40~49세,"108,051","21,315","28,848","15,787","6,887","2,967","6,158","3,950","3,777","2,239","2,042","2,375","2,008","2,607","1,207","1,155","1,761","1,358","1,610"
2021년03월_여_50~59세,"128,552","23,254","30,185","18,097","7,498","3,366","7,584","5,123","5,899","4,039","3,225","3,665","3,047","3,299","1,747","1,631","2,392","2,177","2,324"
2021년03월_여_60~69세,"123,925","20,136","23,668","17,972","7,302","3,955","6,786","5,646","6,791","5,002","3,936","4,310","3,573","3,494","1,814","1,612","2,488","2,607","2,833"
2021년03월_여_70~79세,"74,131","11,697","11,979","10,846","4,388","2,712","3,826","3,968","3,826","2,850","2,624","2,639","2,444","2,600","1,310","1,132","1,376","1,974","1,940"
2021년03월_여_80~89세,"47,287","7,667","8,030","6,438","2,455","1,378","2,133","2,684","2,847","2,092","1,776","1,766","1,449","1,455",903,764,992,"1,248","1,210"
2021년03월_여_90~99세,"8,798","1,436","1,427","1,353",416,225,487,474,486,400,256,298,255,280,173,118,186,268,260
2021년03월_여_100세 이상,369,44,51,65,9,14,12,24,30,22,17,12,10,12,7,9,3,15,13
