,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020년08월_계_80~89세,"11,161",437,570,736,571,523,391,535,359,399,625,447,413,215,704,446,625,383,726,396,349,535,197,579
2020년08월_계_90~99세,"1,665",65,68,99,81,82,51,62,49,55,71,65,49,37,132,63,122,58,103,91,60,73,40,89
2020년08월_계_100세 이상,91,2,5,5,2,7,5,3,3,4,6,9,0,3,2,1,4,1,12,6,2,4,0,5
2020년08월_남_총인구수,"236,763","11,249","7,635","9,349","8,199","8,363","6,000","13,181","9,381","6,042","11,645","11,203","12,579","6,011","7,286","10,838","20,451","7,593","24,946","1,970","8,470","17,907","6,620","9,845"
2020년08월_남_연령구간인구수,"236,763","11,249","7,635","9,349","8,199","8,363","6,000","13,181","9,381","6,042","11,645","11,203","12,579","6,011","7,286","10,838","20,451","7,593","24,946","1,970","8,470","17,907","6,620","9,845"
2020년08월_남_0~9세,"20,202","1,146",387,503,596,570,370,911,646,445,"1,030",659,780,231,406,941,"2,835",700,"3,316",59,809,"1,723",519,620
2020년08월_남_10~19세,"26,063","1,555",528,787,820,655,321,"1,295",668,595,"1,301",932,"1,014",315,698,"1,503","2,411",853,"3,241",87,"1,807","2,362",724,"1,591"
2020년08월_남_20~29세,"37,809","1,438","1,341","1,455","1,153","1,193","1,109","2,467","2,036",850,"1,673","2,227","2,867","1,505","1,035","1,592","2,501","1,325","3,433",171,887,"2,754","1,305","1,492"
2020년08월_남_30~39세,"34,299","1,352",882,"1,066",921,"1,119","1,148","2,327","1,903",802,"1,443","2,013","2,269","1,115",825,"1,273","3,292","1,043","4,145",167,624,"2,646","1,086",838
2020년08월_남_40~49세,"38,421","2,093",996,"1,362","1,185","1,242",884,"2,158","1,483",925,"1,956","1,602","1,947",880,952,"1,641","3,889","1,089","4,521",252,"1,807","2,944","1,061","1,552"
2020년08월_남_50~59세,"37,885","1,748","1,314","1,598","1,460","1,505",877,"2,142","1,171",964,"1,827","1,695","1,985",982,"1,381","1,864","2,726","1,334","3,644",395,"1,322","3,102","1,038","1,811"
2020년08월_남_60~69세,"25,914","1,138","1,240","1,466","1,285","1,225",737,"1,222",893,835,"1,401","1,320","1,141",625,"1,233","1,441","1,833",766,"1,662",407,655,"1,650",600,"1,139"
2020년08월_남_70~79세,"11,814",597,705,797,552,610,404,467,430,460,758,583,433,269,537,420,713,332,749,285,394,524,206,589
2020년08월_남_80~89세,"3,963",165,226,293,209,223,134,180,141,156,231,162,134,81,190,149,223,135,217,130,139,183,70,192
2020년08월_남_90~99세,374,16,15,21,17,20,15,12,10,10,22,7,9,7,28,14,28,16,14,17,25,19,11,21
2020년08월_남_100세 이상,19,1,1,1,1,1,1,0,0,0,3,3,0,1,1,0,0,0,4,0,1,0,0,0
2020년08월_여_총인구수,"244,361","11,596","7,476","9,137","8,508","8,029","6,661","14,070","9,883","6,409","12,489","10,789","12,723","5,173","8,008","11,244","21,048","8,319","26,109","1,876","8,719","19,018","6,575","10,502"
2020년08월_여_연령구간인구수,"244,361","11,596","7,476","9,137","8,508","8,029","6,661","14,070","9,883","6,409","12,489","10,789","12,723","5,173","8,008","11,244","21,048","8,319","26,109","1,876","8,719","19,018","6,575","10,502"
2020년08월_여_0~9세,"19,048","1,069",341,426,558,471,312,814,621,450,970,547,762,199,424,952,"2,738",635,"3,163",47,788,"1,658",499,604
2020년08월_여_10~19세,"24,360","1,521",522,713,700,610,314,"1,145",651,568,"1,395",812,"1,147",279,652,"1,280","2,303",808,"3,083",76,"1,616","2,121",678,"1,366"
2020년08월_여_20~29세,"36,450","1,418","1,096","1,153","1,003","1,006","1,418","2,886","2,385",818,"1,499","2,010","2,756","1,270",904,"1,303","2,463","1,503","3,426",128,811,"2,817","1,112","1,265"
2020년08월_여_30~39세,"32,964","1,410",711,879,885,929,"1,047","2,254","1,660",777,"1,409","1,511","1,998",734,773,"1,416","3,566","1,028","4,340",114,828,"2,874",942,879
2020년08월_여_40~49세,"41,038","2,258",847,"1,194","1,213","1,117",823,"2,367","1,426",979,"2,169","1,647","1,921",703,"1,077","1,915","3,792","1,328","5,047",162,"2,219","3,651","1,168","2,015"
2020년08월_여_50~59세,"40,204","1,766","1,370","1,651","1,734","1,473","1,011","2,279","1,363","1,045","2,067","1,845","2,101",912,"1,563","2,208","2,943","1,527","3,680",326,"1,129","3,244","1,176","1,791"
2020년08월_여_60~69세,"27,809","1,239","1,386","1,677","1,300","1,310",915,"1,304","1,000",942,"1,691","1,501","1,254",624,"1,250","1,334","1,926",734,"1,873",345,660,"1,624",583,"1,337"
2020년08월_여_70~79세,"13,927",593,802,919,688,745,524,613,517,538,843,567,465,286,746,489,817,465,891,332,422,619,261,785
2020년08월_여_80~89세,"7,198",272,344,443,362,300,257,355,218,243,394,285,279,134,514,297,402,248,509,266,210,352,127,387
2020년08월_여_90~99세,"1,291",49,53,78,64,62,36,50,39,45,49,58,40,30,104,49,94,42,89,74,35,54,29,68
2020년08월_여_100세 이상,72,1,4,4,1,6,4,3,3,4,3,6,0,2,1,1,4,1,8,6,1,4,0,5
