,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020년05월_남_연령구간인구수,"773,923","138,877","174,701","105,604","45,769","21,847","40,436","33,390","35,290","23,699","19,996","21,376","19,224","23,475","13,336","11,802","17,051","13,910","14,140"
2020년05월_남_0~9세,"55,201","11,291","14,652","7,131","3,495","1,407","2,979","2,038","1,949","1,173",920,979,933,"1,728",923,902,"1,322",666,713
2020년05월_남_10~19세,"73,014","14,240","18,865","10,290","4,651","2,058","3,927","2,749","2,754","1,829","1,578","1,589","1,355","2,033",930,"1,071","1,191",905,999
2020년05월_남_20~29세,"100,387","19,692","24,036","13,705","5,462","2,088","4,975","4,186","3,887","2,209","1,891","1,960","1,633","3,919","2,656","2,044","2,731","1,897","1,416"
2020년05월_남_30~39세,"88,301","17,550","23,058","11,492","4,984","2,097","4,923","3,261","3,392","1,876","1,578","1,772","1,840","2,612","1,647","1,437","2,230","1,266","1,286"
2020년05월_남_40~49세,"116,388","21,115","28,384","16,618","7,679","3,485","6,223","5,049","4,501","2,875","2,630","2,981","2,886","3,128","1,509","1,412","2,216","1,749","1,948"
2020년05월_남_50~59세,"137,993","23,551","30,340","18,358","8,059","4,015","7,456","6,125","6,807","4,681","4,085","4,361","3,899","3,919","2,166","1,922","2,850","2,655","2,744"
2020년05월_남_60~69세,"114,835","17,705","21,427","15,569","6,407","3,694","5,850","5,391","6,871","5,080","4,055","4,401","3,804","3,131","1,900","1,704","2,639","2,571","2,636"
2020년05월_남_70~79세,"60,652","9,203","9,482","8,676","3,613","2,184","2,926","3,157","3,461","2,712","2,226","2,326","2,044","2,146","1,082",896,"1,300","1,535","1,683"
2020년05월_남_80~89세,"24,439","4,049","4,035","3,414","1,306",739,"1,041","1,315","1,488","1,135",925,917,732,774,463,371,501,586,648
2020년05월_남_90~99세,"2,456",433,399,324,104,54,122,107,171,118,94,79,79,73,53,37,66,77,66
2020년05월_남_100세 이상,257,48,23,27,9,26,14,12,9,11,14,11,19,12,7,6,5,3,1
2020년05월_여_총인구수,"764,716","142,562","177,278","107,325","44,597","21,407","41,356","32,444","33,542","22,577","18,763","20,403","17,801","21,609","11,321","10,576","14,497","13,011","13,647"
2020년05월_여_연령구간인구수,"764,716","142,562","177,278","107,325","44,597","21,407","41,356","32,444","33,542","22,577","18,763","20,403","17,801","21,609","11,321","10,576","14,497","13,011","13,647"
2020년05월_여_0~9세,"52,674","10,694","14,142","6,688","3,299","1,326","2,902","1,962","1,933","1,066",807,989,865,"1,655",931,894,"1,229",625,667
2020년05월_여_10~19세,"67,087","13,154","17,436","9,302","4,258","1,881","3,667","2,474","2,573","1,675","1,365","1,403","1,277","1,881",890,"1,046","1,108",784,913
2020년05월_여_20~29세,"78,590","17,251","21,180","11,377","3,873","1,589","3,865","3,216","2,683","1,691","1,426","1,448","1,235","2,082","1,163","1,039","1,405","1,093",974
2020년05월_여_30~39세,"80,428","17,020","22,445","10,479","4,470","1,917","4,342","2,812","2,840","1,678","1,298","1,497","1,418","2,163","1,205","1,155","1,640",956,"1,093"
2020년05월_여_40~49세,"109,630","21,489","29,066","15,919","7,053","3,073","6,298","4,045","3,879","2,300","2,115","2,446","2,101","2,675","1,252","1,185","1,771","1,360","1,603"
2020년05월_여_50~59세,"131,029","23,482","30,001","18,387","7,578","3,525","7,690","5,394","6,169","4,174","3,380","3,831","3,261","3,460","1,826","1,711","2,522","2,288","2,350"
2020년05월_여_60~69세,"116,321","18,906","21,869","16,896","6,894","3,841","6,230","5,406","6,354","4,684","3,752","4,119","3,455","3,339","1,679","1,528","2,256","2,444","2,669"
2020년05월_여_70~79세,"74,981","11,893","12,080","10,752","4,403","2,710","3,808","4,050","3,864","2,909","2,662","2,710","2,491","2,667","1,382","1,164","1,443","2,006","1,987"
2020년05월_여_80~89세,"45,094","7,199","7,628","6,192","2,359","1,308","2,064","2,603","2,783","1,996","1,681","1,665","1,404","1,381",834,738,945,"1,186","1,128"
2020년05월_여_90~99세,"8,318","1,413","1,350","1,256",390,201,469,445,432,385,242,265,266,273,151,107,169,256,248
2020년05월_여_100세 이상,564,61,81,77,20,36,21,37,32,19,35,30,28,33,8,9,9,13,15
