,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2020년08월_계_100세 이상,310,29,12,38,28,14,12,54,7,34,21,6,13,24,6,12
2020년08월_남_총인구수,"190,754","16,082","6,509","22,070","13,622","12,090","14,160","15,899","11,011","13,254","12,211","6,949","7,172","18,601","11,454","9,670"
2020년08월_남_연령구간인구수,"190,754","16,082","6,509","22,070","13,622","12,090","14,160","15,899","11,011","13,254","12,211","6,949","7,172","18,601","11,454","9,670"
2020년08월_남_0~9세,"12,938","1,003",189,"1,519","1,211",677,912,"1,235",432,938,"1,092",409,571,"1,188",802,760
2020년08월_남_10~19세,"14,615","1,044",315,"1,743","1,012",859,"1,049","1,138",504,937,897,378,513,"2,086","1,262",878
2020년08월_남_20~29세,"32,451","2,977","1,184","5,029","2,099","1,960","2,229","2,728","2,270","1,789","1,600","1,196","1,118","3,073","1,633","1,566"
2020년08월_남_30~39세,"31,846","2,974","1,102","3,153","2,333","2,232","2,544","2,335","2,422","2,258","1,985","1,291","1,329","2,717","1,529","1,642"
2020년08월_남_40~49세,"29,834","2,269",872,"3,307","2,203","1,847","2,241","2,536","1,526","2,020","1,989","1,068","1,158","3,223","1,973","1,602"
2020년08월_남_50~59세,"28,243","2,297","1,124","2,969","2,006","1,862","2,127","2,497","1,417","2,031","1,759",995,"1,046","2,945","1,866","1,302"
2020년08월_남_60~69세,"22,376","1,941",927,"2,429","1,509","1,384","1,705","1,855","1,359","1,749","1,612",865,823,"1,859","1,365",994
2020년08월_남_70~79세,"13,304","1,104",555,"1,375",878,947,990,"1,080",831,"1,119",955,567,455,"1,061",744,643
2020년08월_남_80~89세,"4,590",419,217,475,325,294,321,431,238,364,294,165,146,398,251,252
2020년08월_남_90~99세,466,44,19,61,38,23,38,48,11,35,22,15,12,45,28,27
2020년08월_남_100세 이상,91,10,5,10,8,5,4,16,1,14,6,0,1,6,1,4
2020년08월_여_총인구수,"203,364","16,230","6,100","23,422","14,674","13,167","15,011","16,713","12,172","14,289","12,993","7,587","7,584","20,519","12,308","10,595"
2020년08월_여_연령구간인구수,"203,364","16,230","6,100","23,422","14,674","13,167","15,011","16,713","12,172","14,289","12,993","7,587","7,584","20,519","12,308","10,595"
2020년08월_여_0~9세,"12,433","1,001",180,"1,497","1,141",631,882,"1,164",420,884,"1,072",364,539,"1,149",775,734
2020년08월_여_10~19세,"13,836",973,291,"1,623",957,851,886,"1,077",453,757,769,367,483,"2,204","1,293",852
2020년08월_여_20~29세,"34,522","2,735","1,013","4,882","2,290","2,273","2,405","2,462","2,981","1,976","1,804","1,371","1,132","3,450","1,771","1,977"
2020년08월_여_30~39세,"31,019","2,524",751,"3,221","2,477","2,025","2,370","2,350","2,233","2,280","2,164","1,260","1,296","2,816","1,557","1,695"
2020년08월_여_40~49세,"29,799","2,102",708,"3,308","2,189","1,912","2,213","2,435","1,447","2,099","1,903","1,020","1,156","3,489","2,154","1,664"
2020년08월_여_50~59세,"30,502","2,432","1,088","3,400","2,178","2,029","2,332","2,719","1,717","2,228","1,929","1,135","1,167","2,920","1,853","1,375"
2020년08월_여_60~69세,"26,323","2,230","1,051","2,776","1,736","1,757","1,984","2,145","1,666","2,126","1,826","1,106",964,"2,261","1,540","1,155"
2020년08월_여_70~79세,"16,347","1,391",664,"1,721","1,074","1,126","1,259","1,455",930,"1,309","1,074",655,554,"1,449",889,797
2020년08월_여_80~89세,"7,045",696,286,810,519,470,592,717,265,514,362,248,228,652,399,287
2020년08월_여_90~99세,"1,319",127,61,156,93,84,80,151,54,96,75,55,53,111,72,51
2020년08월_여_100세 이상,219,19,7,28,20,9,8,38,6,20,15,6,12,18,5,8
