카테고리,제주특별자치도 서귀포시,제주특별자치도 서귀포시 대정읍,제주특별자치도 서귀포시 남원읍,제주특별자치도 서귀포시 성산읍,제주특별자치도 서귀포시 안덕면,제주특별자치도 서귀포시 표선면,제주특별자치도 서귀포시 송산동,제주특별자치도 서귀포시 정방동,제주특별자치도 서귀포시 중앙동,제주특별자치도 서귀포시 천지동,제주특별자치도 서귀포시 효돈동,제주특별자치도 서귀포시 영천동,제주특별자치도 서귀포시 동홍동,제주특별자치도 서귀포시 서홍동,제주특별자치도 서귀포시 대륜동,제주특별자치도 서귀포시 대천동,제주특별자치도 서귀포시 중문동,제주특별자치도 서귀포시 예래동
2020년01월_남_연령구간인구수,"91,842","10,422","9,726","8,106","6,234","6,312","2,256","1,137","1,741","1,814","2,673","2,704","11,350","5,189","7,319","7,002","5,838","2,019"
2020년01월_남_0~9세,"7,709",942,643,470,435,419,138,70,97,95,187,151,"1,112",607,817,882,512,132
2020년01월_남_10~19세,"9,132","1,258",860,571,532,500,207,79,139,136,226,243,"1,637",693,679,648,588,136
2020년01월_남_20~29세,"10,417",981,"1,092",851,815,724,240,117,200,194,273,319,"1,474",637,798,746,685,271
2020년01월_남_30~39세,"10,377",958,892,833,682,587,212,130,164,206,305,253,"1,297",587,"1,083","1,129",802,257
2020년01월_남_40~49세,"16,150","1,981","1,570","1,303","1,095","1,135",389,186,284,313,431,443,"1,991",949,"1,360","1,311","1,096",313
2020년01월_남_50~59세,"16,784","1,838","2,002","1,734","1,208","1,281",432,226,375,374,504,537,"1,919",794,"1,114","1,077",981,388
2020년01월_남_60~69세,"11,574","1,273","1,322","1,335",793,918,347,191,258,265,386,365,"1,115",516,847,706,642,295
2020년01월_남_70~79세,"6,925",809,918,705,488,546,213,97,159,170,240,275,626,312,465,376,370,156
2020년01월_남_80~89세,"2,579",356,397,277,171,194,69,34,61,54,115,113,171,88,146,116,152,65
2020년01월_남_90~99세,184,23,30,27,13,8,7,6,4,7,6,4,7,6,10,11,9,6
2020년01월_남_100세 이상,11,3,0,0,2,0,2,1,0,0,0,1,1,0,0,0,1,0
2020년01월_여_총인구수,"89,705","10,932","9,138","7,383","5,819","5,936","2,009","1,121","1,935","1,744","2,611","2,597","11,787","5,290","7,158","6,754","5,527","1,964"
2020년01월_여_연령구간인구수,"89,705","10,932","9,138","7,383","5,819","5,936","2,009","1,121","1,935","1,744","2,611","2,597","11,787","5,290","7,158","6,754","5,527","1,964"
2020년01월_여_0~9세,"7,327",843,566,479,454,392,109,58,112,85,185,173,"1,117",606,739,791,496,122
2020년01월_여_10~19세,"8,391","1,182",772,506,439,434,166,69,138,125,201,221,"1,552",697,596,591,568,134
2020년01월_여_20~29세,"9,136",858,866,661,678,562,204,94,165,171,282,287,"1,341",573,749,749,628,268
2020년01월_여_30~39세,"10,080","1,157",820,697,595,579,188,110,155,175,269,213,"1,307",633,"1,092","1,139",729,222
2020년01월_여_40~49세,"13,654","1,970","1,202",887,856,822,254,153,238,250,318,355,"2,006",951,"1,144","1,116",891,241
2020년01월_여_50~59세,"14,649","1,660","1,589","1,406",935,"1,119",361,230,392,331,431,445,"1,919",709,"1,054",925,826,317
2020년01월_여_60~69세,"11,753","1,303","1,340","1,146",737,924,304,209,397,297,380,352,"1,314",555,900,717,621,257
2020년01월_여_70~79세,"8,328","1,042","1,092",825,588,618,254,114,214,200,307,302,795,356,560,425,435,201
2020년01월_여_80~89세,"5,303",757,761,642,431,412,138,62,111,95,202,195,362,177,271,251,276,160
2020년01월_여_90~99세,995,146,121,127,100,66,27,20,10,13,29,49,72,31,47,48,51,38
2020년01월_여_100세 이상,89,14,9,7,6,8,4,2,3,2,7,5,2,2,6,2,6,4
