,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동,경기도 평택시 동삭동
2021년10월_남_20~29세,"42,839","1,834","3,204","2,196","1,335",904,217,"2,877",402,255,"4,233","2,048","1,579","1,508","1,631",604,395,"2,247",931,361,"3,525","3,747","1,941","2,360","2,505"
2021년10월_남_30~39세,"46,884","1,862","3,074","2,618","2,415",865,206,"3,975",369,204,"3,123","1,729","2,083","1,467","1,312",671,412,"1,764",889,266,"4,018","4,020","2,550","2,344","4,648"
2021년10월_남_40~49세,"51,768","2,260","4,268","3,038","3,159","1,022",296,"2,881",523,364,"3,818","2,228","2,131","1,274","1,916",625,467,"1,801",832,296,"4,969","4,569","2,804","2,384","3,843"
2021년10월_남_50~59세,"47,683","2,905","3,981","2,558","1,759","1,159",393,"2,267",711,537,"4,215","2,478","1,752","1,109","2,095",586,536,"2,179",997,414,"4,078","4,327","1,809","2,642","2,196"
2021년10월_남_60~69세,"30,365","2,408","2,082","1,613","1,211","1,011",432,"1,338",663,602,"2,393","1,609","1,050",632,"1,456",401,483,"1,543",787,378,"2,161","2,658",815,"1,579","1,060"
2021년10월_남_70~79세,"12,670","1,192",847,634,532,486,214,573,316,382,969,747,329,302,570,162,261,676,379,199,801,961,261,556,321
2021년10월_남_80~89세,"5,294",587,379,235,197,179,89,199,153,157,367,321,137,122,243,83,125,298,160,75,316,452,85,242,93
2021년10월_남_90~99세,470,43,37,30,22,14,6,18,22,14,36,38,9,6,25,8,16,20,11,6,27,33,4,15,10
2021년10월_남_100세 이상,18,2,0,0,0,0,0,1,0,1,0,1,0,0,8,1,1,1,0,0,1,1,0,0,0
2021년10월_여_총인구수,"268,241","13,640","21,132","9,692","12,739","5,093","1,647","15,262","3,042","2,428","21,398","12,474","10,367","5,783","11,000","3,381","2,777","10,993","5,085","1,969","25,790","27,291","12,382","14,639","18,237"
2021년10월_여_연령구간인구수,"268,241","13,640","21,132","9,692","12,739","5,093","1,647","15,262","3,042","2,428","21,398","12,474","10,367","5,783","11,000","3,381","2,777","10,993","5,085","1,969","25,790","27,291","12,382","14,639","18,237"
2021년10월_여_0~9세,"24,472",784,"1,869",892,"1,873",225,61,"1,986",125,63,"1,370",613,"1,260",331,768,278,67,454,267,63,"2,736","2,743","1,611","1,249","2,784"
2021년10월_여_10~19세,"26,216",879,"2,826",891,"1,596",388,84,"1,145",235,128,"2,274","1,075",963,456,"1,049",234,122,780,318,98,"3,002","2,964","1,541","1,412","1,756"
2021년10월_여_20~29세,"34,528","1,416","2,701","1,142","1,066",549,129,"2,171",278,169,"3,225","1,652","1,292","1,061","1,334",454,321,"1,887",698,264,"3,170","3,447","1,685","2,061","2,356"
2021년10월_여_30~39세,"38,343","1,366","2,460","1,269","2,218",479,145,"3,164",232,142,"2,265","1,325","1,848",887,"1,259",553,262,"1,232",589,163,"4,060","3,980","2,202","2,059","4,184"
2021년10월_여_40~49세,"44,812","1,839","4,084","1,593","2,466",668,158,"2,241",335,215,"3,617","1,887","1,750",889,"1,754",505,300,"1,580",724,239,"5,073","4,872","2,502","2,308","3,213"
2021년10월_여_50~59세,"42,703","2,283","3,262","1,469","1,340",971,277,"2,148",527,393,"4,026","2,387","1,650",899,"2,018",507,442,"2,051",871,359,"3,878","4,503","1,559","2,704","2,179"
2021년10월_여_60~69세,"29,950","2,359","2,020","1,244","1,150",903,348,"1,359",587,551,"2,457","1,824",926,622,"1,484",385,549,"1,572",808,397,"2,178","2,709",791,"1,572","1,155"
2021년10월_여_70~79세,"16,059","1,552","1,110",671,553,533,245,602,373,405,"1,302","1,054",397,415,802,279,414,882,503,252,"1,032","1,251",300,762,370
2021년10월_여_80~89세,"9,564","1,008",680,427,389,322,176,367,309,307,749,582,228,193,442,156,245,488,266,114,575,724,166,450,201
2021년10월_여_90~99세,"1,538",147,116,90,84,53,24,78,41,53,109,73,52,28,84,30,53,64,41,20,84,92,25,61,36
2021년10월_여_100세 이상,56,7,4,4,4,2,0,1,0,2,4,2,1,2,6,0,2,3,0,0,2,6,0,1,3
