,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년04월_여_0~9세,"63,319","8,438","10,075","11,305","4,943","6,423","1,167",512,562,"1,289",794,"1,671",964,845,"1,903","1,683","3,880",621,"1,816","1,329","1,501",842,756
2021년04월_여_10~19세,"79,565","11,742","12,526","14,275","4,635","7,627","1,425",887,854,"1,742","1,250","2,695","1,262","1,203","2,492","2,073","4,646",975,"1,966","1,524","1,715","1,073",978
2021년04월_여_20~29세,"87,584","12,340","14,524","16,971","5,871","8,302","1,945","1,022",869,"1,697","1,254","3,058","1,313","1,239","2,401","2,098","4,193",974,"2,128","1,708","1,561","1,045","1,071"
2021년04월_여_30~39세,"86,624","11,950","14,141","16,108","6,983","8,414","1,784",792,751,"1,634","1,122","2,284","1,255","1,138","2,306","2,110","5,252",926,"2,304","1,652","1,758","1,002",958
2021년04월_여_40~49세,"119,948","17,870","19,660","21,848","7,400","11,416","2,248","1,334","1,290","2,613","1,769","3,930","1,795","1,646","3,499","2,992","6,635","1,374","2,807","2,356","2,574","1,481","1,411"
2021년04월_여_50~59세,"144,520","17,839","22,933","24,393","7,866","13,203","3,720","2,188","2,006","4,434","2,940","5,101","2,815","2,578","5,100","4,023","5,829","2,215","3,763","3,175","3,517","2,173","2,709"
2021년04월_여_60~69세,"137,342","15,334","21,003","17,600","8,030","8,249","4,099","2,428","2,425","6,484","3,799","4,590","3,329","3,155","6,253","3,972","5,549","2,876","4,201","3,475","4,352","2,656","3,483"
2021년04월_여_70~79세,"107,098","9,809","13,381","10,463","6,439","4,562","3,477","2,404","2,230","6,425","3,758","4,267","3,094","2,931","5,578","3,597","4,305","2,913","4,021","3,246","4,108","2,649","3,441"
2021년04월_여_80~89세,"76,574","4,828","7,251","6,984","4,717","3,216","2,638","2,224","1,731","5,287","3,281","3,338","2,720","2,487","4,217","2,830","2,994","2,442","2,820","2,572","3,062","2,100","2,835"
2021년04월_여_90~99세,"13,330",758,"1,396","1,300",817,647,468,439,305,997,595,508,524,467,704,455,519,390,438,399,481,310,413
2021년04월_여_100세 이상,577,31,85,66,26,15,26,12,17,39,25,27,18,23,41,18,21,13,24,15,15,13,7
