,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2021년10월_계_80~89세,"7,780",2,138,400,442,477,299,538,222,205,759,249,574,525,881,275,639,989,166
2021년10월_계_90~99세,"1,122",2,12,41,57,61,29,87,25,34,110,29,90,89,126,36,118,148,28
2021년10월_계_100세 이상,39,0,0,3,1,1,2,1,1,0,1,3,5,2,9,1,3,5,1
2021년10월_남_총인구수,"145,171",86,"1,657","4,780","6,647","6,948","5,204","10,533","5,411","3,054","17,076","6,587","12,942","6,537","9,501","6,002","15,470","25,538","1,198"
2021년10월_남_연령구간인구수,"145,171",86,"1,657","4,780","6,647","6,948","5,204","10,533","5,411","3,054","17,076","6,587","12,942","6,537","9,501","6,002","15,470","25,538","1,198"
2021년10월_남_0~9세,"11,258",0,61,170,302,426,367,781,435,88,"1,505",518,"1,094",461,735,475,"1,446","2,365",29
2021년10월_남_10~19세,"15,347",3,140,335,454,625,580,906,707,190,"2,286",595,"1,617",513,917,686,"2,188","2,549",56
2021년10월_남_20~29세,"19,299",4,202,640,897,958,642,"1,455",777,441,"2,249",894,"1,671",864,"1,208",835,"1,873","3,580",109
2021년10월_남_30~39세,"20,551",11,212,683,972,862,610,"1,632",737,435,"1,911","1,155","1,485","1,325","1,393","1,042","1,826","4,142",118
2021년10월_남_40~49세,"24,680",12,246,684,968,"1,141",868,"1,679",918,419,"3,043","1,108","2,345","1,134","1,627","1,028","2,892","4,429",139
2021년10월_남_50~59세,"24,458",30,291,888,"1,156","1,160",895,"1,690",904,684,"2,921","1,094","2,267","1,032","1,610","1,011","2,439","4,147",239
2021년10월_남_60~69세,"18,730",19,291,813,"1,171","1,076",761,"1,512",610,520,"2,059",780,"1,631",721,"1,194",599,"1,826","2,841",306
2021년10월_남_70~79세,"7,986",5,164,414,563,521,363,664,235,193,789,357,636,333,536,227,751,"1,113",122
2021년10월_남_80~89세,"2,616",1,46,148,151,164,111,195,82,77,289,80,178,136,254,93,203,333,75
2021년10월_남_90~99세,237,1,4,4,13,14,7,19,6,7,23,4,18,18,25,6,26,37,5
2021년10월_남_100세 이상,9,0,0,1,0,1,0,0,0,0,1,2,0,0,2,0,0,2,0
2021년10월_여_총인구수,"149,287",68,"1,580","5,051","6,907","7,144","5,317","10,794","5,535","2,757","17,735","6,551","13,045","7,357","10,594","6,378","16,267","25,289",918
2021년10월_여_연령구간인구수,"149,287",68,"1,580","5,051","6,907","7,144","5,317","10,794","5,535","2,757","17,735","6,551","13,045","7,357","10,594","6,378","16,267","25,289",918
2021년10월_여_0~9세,"10,852",0,45,166,326,389,391,811,420,101,"1,520",471,"1,034",475,630,439,"1,383","2,223",28
2021년10월_여_10~19세,"14,399",1,94,289,447,576,534,893,650,189,"2,095",548,"1,545",494,866,663,"2,079","2,406",30
2021년10월_여_20~29세,"17,774",3,163,593,847,803,589,"1,275",687,405,"2,089",763,"1,483",875,"1,206",815,"1,792","3,302",84
2021년10월_여_30~39세,"19,811",7,152,509,805,827,592,"1,568",739,304,"2,108","1,141","1,477","1,189","1,380",949,"2,002","3,979",83
2021년10월_여_40~49세,"25,403",11,207,661,940,"1,103",899,"1,624","1,049",369,"3,413","1,115","2,489","1,169","1,685","1,206","3,148","4,241",74
2021년10월_여_50~59세,"24,655",14,277,959,"1,191","1,244",890,"1,801",931,556,"2,919","1,055","2,192","1,165","1,706","1,056","2,496","4,035",168
2021년10월_여_60~69세,"20,630",23,345,"1,030","1,323","1,214",813,"1,671",624,444,"2,183",858,"1,659","1,035","1,471",708,"1,986","3,015",228
2021년10월_여_70~79세,"9,684",7,197,553,692,628,397,739,275,234,851,405,693,493,915,329,850,"1,318",108
2021년10월_여_80~89세,"5,164",1,92,252,291,313,188,343,140,128,470,169,396,389,627,182,436,656,91
2021년10월_여_90~99세,885,1,8,37,44,47,22,68,19,27,87,25,72,71,101,30,92,111,23
2021년10월_여_100세 이상,30,0,0,2,1,0,2,1,1,0,0,1,5,2,7,1,3,3,1
