,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년05월_남_50~59세,"49,401","4,233","1,334",887,972,478,436,638,"1,035",918,"1,110","8,034","7,437","1,092","4,445","3,900",795,"4,633","3,090","3,934"
2020년05월_남_60~69세,"28,127","2,821",749,707,974,479,416,892,780,785,742,"3,735","3,549",827,"2,565","2,302",561,"2,063","1,337","1,843"
2020년05월_남_70~79세,"11,121","1,188",216,328,466,279,195,442,318,375,321,"1,207","1,230",319,956,791,221,941,543,785
2020년05월_남_80~89세,"3,443",353,74,139,168,82,49,139,82,122,101,397,393,109,255,263,67,319,148,183
2020년05월_남_90~99세,263,25,11,8,13,8,6,17,5,8,5,33,31,2,20,15,7,22,15,12
2020년05월_남_100세 이상,23,2,0,0,0,0,1,1,3,1,1,3,0,0,5,1,2,3,0,0
2020년05월_여_총인구수,"268,332","27,077","8,707","3,063","3,561","1,806","1,444","3,031","4,915","4,742","4,977","37,468","40,289","4,539","20,267","16,739","3,915","28,137","18,344","35,311"
2020년05월_여_연령구간인구수,"268,332","27,077","8,707","3,063","3,561","1,806","1,444","3,031","4,915","4,742","4,977","37,468","40,289","4,539","20,267","16,739","3,915","28,137","18,344","35,311"
2020년05월_여_0~9세,"25,047","3,283","1,355",100,98,25,35,101,287,315,293,"2,398","3,738",277,"1,356",838,274,"2,823","1,936","5,515"
2020년05월_여_10~19세,"29,708","2,835",616,161,141,61,79,96,367,272,320,"3,902","5,069",343,"1,874","1,573",410,"3,943","2,540","5,106"
2020년05월_여_20~29세,"31,725","2,461","1,102",256,248,130,120,191,575,519,690,"5,796","5,016",579,"2,890","2,574",480,"3,120","2,032","2,946"
2020년05월_여_30~39세,"34,876","4,436","1,963",249,225,104,95,183,564,609,566,"4,046","4,971",422,"2,108","1,397",397,"3,592","2,450","6,499"
2020년05월_여_40~49세,"49,970","4,924","1,316",327,271,142,136,261,696,595,730,"6,642","8,242",631,"3,340","2,720",657,"6,188","4,055","8,097"
2020년05월_여_50~59세,"46,457","3,987","1,321",654,733,385,316,554,"1,018",926,"1,056","8,165","7,040",930,"4,353","3,801",762,"4,175","2,716","3,565"
2020년05월_여_60~69세,"27,057","2,802",576,594,816,425,350,795,748,760,747,"3,433","3,450",705,"2,418","2,066",526,"2,274","1,438","2,134"
2020년05월_여_70~79세,"14,676","1,427",239,429,544,311,189,503,416,498,376,"1,920","1,737",410,"1,254","1,105",268,"1,303",778,969
2020년05월_여_80~89세,"7,693",792,199,240,423,197,96,296,212,214,169,"1,032",901,215,597,595,123,634,350,408
2020년05월_여_90~99세,"1,069",124,20,52,61,25,26,50,30,30,25,128,119,26,71,67,15,81,49,70
2020년05월_여_100세 이상,54,6,0,1,1,1,2,1,2,4,5,6,6,1,6,3,3,4,0,2
