,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020년06월_계_90~99세,"1,560",51,58,37,100,101,119,46,46,18,28,42,20,26,35,41,34,37,41,33,77,95,46,37,52,90,94,92,12,30,22
2020년06월_계_100세 이상,104,2,1,1,6,6,3,4,1,1,3,5,2,8,5,6,2,7,8,3,1,0,1,1,8,4,2,1,2,10,0
2020년06월_남_총인구수,"143,298","1,389","4,491",958,"10,504","3,259","3,382","1,475",653,426,"1,161","2,368","1,672","2,252","2,113","3,333","1,943","2,841","6,027","3,525","9,462","9,959","6,417","5,305","5,271","16,965","18,548","11,400","4,213","1,357",629
2020년06월_남_연령구간인구수,"143,298","1,389","4,491",958,"10,504","3,259","3,382","1,475",653,426,"1,161","2,368","1,672","2,252","2,113","3,333","1,943","2,841","6,027","3,525","9,462","9,959","6,417","5,305","5,271","16,965","18,548","11,400","4,213","1,357",629
2020년06월_남_0~9세,"10,970",25,334,20,"1,122",147,80,39,7,15,33,119,57,90,67,157,68,86,402,247,673,763,389,416,540,"1,451","2,395",642,538,36,12
2020년06월_남_10~19세,"14,072",54,341,40,"1,062",177,179,74,16,19,44,146,117,169,129,195,124,119,501,321,"1,020","1,142",609,677,497,"2,116","2,373","1,091",602,84,34
2020년06월_남_20~29세,"19,079",113,425,71,"1,260",280,312,101,29,30,98,256,196,224,196,398,242,278,753,423,"1,409","1,403","1,079",751,585,"2,997","2,436","2,030",464,175,65
2020년06월_남_30~39세,"17,057",84,451,55,"1,416",268,234,86,40,18,83,259,199,211,186,368,195,257,695,371,"1,092","1,148",752,671,726,"2,120","2,852","1,414",633,124,49
2020년06월_남_40~49세,"22,400",177,780,104,"1,687",507,413,171,66,53,165,325,218,334,312,473,266,411,887,497,"1,425","1,631","1,006",848,834,"2,789","3,144","1,738",850,192,97
2020년06월_남_50~59세,"25,315",265,751,169,"1,836",602,741,286,108,97,279,380,268,385,364,568,312,541,"1,023",568,"1,628","1,720","1,225",926,784,"3,060","3,036","2,397",564,290,142
2020년06월_남_60~69세,"19,764",320,780,240,"1,263",612,722,329,171,79,256,455,281,432,411,589,365,557,995,645,"1,424","1,346",862,684,725,"1,599","1,581","1,369",317,234,121
2020년06월_남_70~79세,"10,871",230,448,174,613,444,486,261,149,76,146,347,241,307,340,459,278,445,614,361,577,615,380,266,446,654,547,543,194,161,69
2020년06월_남_80~89세,"3,474",109,167,77,225,207,189,117,58,34,53,68,89,91,100,117,89,137,152,85,203,176,110,62,126,168,170,159,48,51,37
2020년06월_남_90~99세,281,12,14,8,19,13,26,10,9,5,4,10,6,9,7,8,4,10,5,6,11,15,5,4,8,11,13,17,1,8,3
2020년06월_남_100세 이상,15,0,0,0,1,2,0,1,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0
2020년06월_여_총인구수,"137,823","1,374","4,177",989,"10,123","3,065","3,158","1,410",692,424,921,"2,319","1,619","2,257","1,979","3,048","1,973","2,709","5,902","3,547","9,758","9,841","5,635","5,236","5,217","16,083","18,396","10,230","4,027","1,134",580
2020년06월_여_연령구간인구수,"137,823","1,374","4,177",989,"10,123","3,065","3,158","1,410",692,424,921,"2,319","1,619","2,257","1,979","3,048","1,973","2,709","5,902","3,547","9,758","9,841","5,635","5,236","5,217","16,083","18,396","10,230","4,027","1,134",580
2020년06월_여_0~9세,"10,628",33,307,17,"1,047",147,63,34,8,12,29,123,56,82,53,116,90,94,390,242,695,708,357,421,531,"1,440","2,314",619,540,38,22
2020년06월_여_10~19세,"12,886",54,320,36,"1,030",140,139,62,24,20,40,137,100,144,110,140,139,142,454,335,953,"1,056",535,597,440,"1,931","2,110","1,077",519,63,39
2020년06월_여_20~29세,"14,711",81,326,62,978,192,236,58,29,26,63,195,186,161,147,309,186,202,570,333,"1,119","1,138",726,683,490,"2,156","2,164","1,358",401,95,41
2020년06월_여_30~39세,"14,656",48,382,41,"1,315",192,146,42,19,18,62,202,123,164,112,239,140,209,545,353,"1,021","1,032",563,553,670,"1,945","2,879",944,615,63,19
2020년06월_여_40~49세,"20,049",83,514,49,"1,514",240,237,84,29,31,64,240,152,253,182,320,198,230,735,451,"1,455","1,628",840,928,741,"2,918","3,348","1,636",794,112,43
2020년06월_여_50~59세,"23,307",226,663,164,"1,694",451,520,184,89,50,197,353,238,360,319,499,315,406,"1,143",610,"1,830","1,675","1,019",940,768,"2,835","2,897","2,139",438,194,91
2020년06월_여_60~69세,"20,018",299,789,209,"1,194",611,628,319,125,84,202,510,318,524,445,703,436,685,"1,070",674,"1,483","1,339",776,658,799,"1,623","1,550","1,291",359,215,100
2020년06월_여_70~79세,"13,202",323,550,214,770,590,637,346,187,98,139,376,314,395,421,481,293,502,688,386,752,775,508,298,494,751,673,685,244,190,122
2020년06월_여_80~89세,"6,998",186,281,167,495,410,456,242,144,71,98,149,116,149,158,203,144,205,263,134,383,410,269,124,232,401,379,405,106,134,84
2020년06월_여_90~99세,"1,279",39,44,29,81,88,93,36,37,13,24,32,14,17,28,33,30,27,36,27,66,80,41,33,44,79,81,75,11,22,19
2020년06월_여_100세 이상,89,2,1,1,5,4,3,3,1,1,3,2,2,8,4,5,2,7,8,2,1,0,1,1,8,4,1,1,0,8,0
