,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2021년06월_계_80~89세,"14,466",463,576,374,568,729,708,370,489,373,"1,026",489,408,643,558,587,339,662,415,697,671,356,513,491,727,369,451,414
2021년06월_계_90~99세,"2,478",61,81,56,102,95,103,64,70,97,205,79,80,91,107,86,68,107,73,116,149,95,74,64,133,70,83,69
2021년06월_계_100세 이상,112,1,2,3,4,2,3,6,3,1,13,0,5,7,8,3,3,6,5,6,5,5,5,2,4,1,5,4
2021년06월_남_총인구수,"317,531","6,537","11,955","6,442","9,331","9,825","9,717","7,620","12,337","8,939","18,825","11,356","9,335","15,263","14,584","13,164","13,284","16,039","10,041","13,438","14,261","15,694","13,340","16,983","16,491","10,249","7,972","4,509"
2021년06월_남_연령구간인구수,"317,531","6,537","11,955","6,442","9,331","9,825","9,717","7,620","12,337","8,939","18,825","11,356","9,335","15,263","14,584","13,164","13,284","16,039","10,041","13,438","14,261","15,694","13,340","16,983","16,491","10,249","7,972","4,509"
2021년06월_남_0~9세,"24,991",371,977,333,686,460,412,486,614,675,"1,420",600,786,776,757,809,"1,665","1,320",668,816,"1,148","2,560",608,"2,021","1,646","1,389",692,296
2021년06월_남_10~19세,"29,587",428,"1,008",484,808,808,678,831,668,"1,478","1,648",659,900,916,"1,043",947,"1,122","1,825",768,720,"1,378","2,136",856,"2,918","2,029","1,248",870,413
2021년06월_남_20~29세,"43,888",867,"1,695",973,"1,150","1,209","1,311","1,233","2,189","1,140","2,815","2,004","1,262","2,527","2,368","1,994","1,631","2,263","1,580","2,014","1,999","1,530","2,217","1,573","1,811",975,959,599
2021년06월_남_30~39세,"51,309",961,"1,949",921,"1,361","1,196","1,208","1,085","2,966",699,"2,717","2,606","1,333","3,326","3,163","2,368","2,333","2,280","1,797","3,390","2,338","2,456","2,987","1,513","1,775","1,176",965,440
2021년06월_남_40~49세,"51,895",932,"1,943",917,"1,446","1,431","1,420","1,169","1,807","1,419","2,688","1,612","1,473","2,374","2,458","1,894","2,133","2,675","1,412","2,110","2,312","3,306","2,155","3,969","2,855","2,116","1,284",585
2021년06월_남_50~59세,"49,060","1,105","1,775","1,156","1,583","1,892","1,863","1,255","1,685","1,543","3,132","1,531","1,509","2,269","2,076","2,262","1,873","2,552","1,537","1,694","2,208","1,883","1,921","2,688","2,577","1,456","1,223",812
2021년06월_남_60~69세,"40,589","1,139","1,578",968,"1,341","1,643","1,725",949,"1,462","1,211","2,744","1,410","1,283","1,834","1,666","1,867","1,673","1,989","1,475","1,494","1,841","1,162","1,590","1,340","2,196","1,131","1,186",692
2021년06월_남_70~79세,"19,865",537,785,525,731,893,793,456,722,599,"1,258",692,612,927,837,748,706,852,619,836,798,550,773,744,"1,253",596,569,454
2021년06월_남_80~89세,"5,731",176,226,150,208,264,295,138,202,151,358,218,163,286,192,247,132,253,167,321,217,102,209,205,318,146,189,198
2021년06월_남_90~99세,591,20,18,13,17,29,12,18,20,23,42,24,14,27,23,26,16,29,17,40,22,9,23,12,29,16,32,20
2021년06월_남_100세 이상,25,1,1,2,0,0,0,0,2,1,3,0,0,1,1,2,0,1,1,3,0,0,1,0,2,0,3,0
2021년06월_여_총인구수,"341,139","6,800","13,202","6,248","9,681","9,366","9,411","8,215","14,146","9,300","19,989","12,914","10,125","16,705","16,315","13,423","14,119","16,587","10,239","15,719","15,309","16,607","14,918","18,491","18,189","11,083","8,888","5,150"
2021년06월_여_연령구간인구수,"341,139","6,800","13,202","6,248","9,681","9,366","9,411","8,215","14,146","9,300","19,989","12,914","10,125","16,705","16,315","13,423","14,119","16,587","10,239","15,719","15,309","16,607","14,918","18,491","18,189","11,083","8,888","5,150"
2021년06월_여_0~9세,"23,542",290,909,285,629,423,426,521,530,572,"1,330",568,725,762,725,773,"1,439","1,213",612,827,"1,129","2,507",608,"1,944","1,526","1,293",707,269
2021년06월_여_10~19세,"28,284",413,"1,001",456,690,756,637,798,578,"1,199","1,437",679,926,930,928,882,"1,163","1,612",702,703,"1,299","2,141",851,"2,901","2,000","1,162",855,585
2021년06월_여_20~29세,"48,327",780,"2,140",855,"1,085","1,099","1,116","1,178","3,167","1,023","2,591","2,491","1,456","2,968","2,888","2,086","1,657","2,234","1,570","3,169","2,019","1,531","2,870","1,714","1,959",998,"1,035",648
2021년06월_여_30~39세,"56,089",886,"2,191",812,"1,314",969,"1,008","1,149","3,201",977,"2,813","2,733","1,498","3,567","3,355","2,291","2,671","2,448","1,681","4,046","2,328","2,904","3,097","2,255","2,412","1,713","1,234",536
2021년06월_여_40~49세,"55,639",943,"2,087",903,"1,494","1,310","1,264","1,391","1,849","1,821","3,013","1,826","1,583","2,423","2,632","1,924","2,275","2,894","1,460","2,252","2,389","3,272","2,255","4,566","3,329","2,244","1,483",757
2021년06월_여_50~59세,"52,119","1,175","1,864","1,133","1,693","1,644","1,769","1,419","1,921","1,585","3,636","1,834","1,626","2,409","2,351","2,375","2,097","2,666","1,783","1,786","2,580","1,931","2,149","2,297","2,641","1,491","1,414",850
2021년06월_여_60~69세,"45,589","1,343","1,756","1,016","1,500","1,636","1,742","1,069","1,761","1,342","3,052","1,680","1,445","2,141","2,077","1,896","1,856","2,185","1,522","1,683","2,042","1,428","1,872","1,616","2,551","1,319","1,268",791
2021년06월_여_70~79세,"20,841",642,840,520,827,996,942,406,801,485,"1,276",777,550,"1,078",902,795,699,843,601,798,937,548,857,858,"1,256",585,577,445
2021년06월_여_80~89세,"8,735",287,350,224,360,465,413,232,287,222,668,271,245,357,366,340,207,409,248,376,454,254,304,286,409,223,262,216
2021년06월_여_90~99세,"1,887",41,63,43,85,66,91,46,50,74,163,55,66,64,84,60,52,78,56,76,127,86,51,52,104,54,51,49
2021년06월_여_100세 이상,87,0,1,1,4,2,3,6,1,0,10,0,5,6,7,1,3,5,4,3,5,5,4,2,2,1,2,4
