,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년05월_계_80~89세,"14,472",710,837,466,567,725,446,460,622,827,697,882,821,438,"1,479",847,704,742,573,344,"1,285"
2021년05월_계_90~99세,"1,970",132,102,70,69,129,55,58,79,110,104,131,115,57,228,103,96,88,74,33,137
2021년05월_계_100세 이상,105,17,14,12,4,3,6,4,4,4,2,5,4,2,8,0,4,2,2,5,3
2021년05월_남_총인구수,"209,407","7,773","10,992","6,527","6,979","11,479","7,508","7,456","8,846","11,261","7,490","12,145","17,018","8,019","19,366","12,877","9,471","11,916","6,799","8,028","17,457"
2021년05월_남_연령구간인구수,"209,407","7,773","10,992","6,527","6,979","11,479","7,508","7,456","8,846","11,261","7,490","12,145","17,018","8,019","19,366","12,877","9,471","11,916","6,799","8,028","17,457"
2021년05월_남_0~9세,"14,547",365,558,276,391,984,217,478,728,756,299,835,"1,961",730,"1,342","1,015",562,875,296,892,987
2021년05월_남_10~19세,"18,657",611,969,421,616,"1,404",436,447,879,936,492,"1,099","2,396",761,"1,971","1,230",737,999,422,676,"1,155"
2021년05월_남_20~29세,"31,838","1,262","1,874","1,436",924,"1,419","2,641","1,269","1,127","1,616","1,687","1,700","1,650",963,"3,045","1,470","1,488","1,736",978,"1,004","2,549"
2021년05월_남_30~39세,"29,602","1,172","1,588","1,146",974,"1,389","1,138","1,321","1,291","1,609","1,052","1,508","2,005","1,165","2,552","1,760","1,407","1,763",929,"1,285","2,548"
2021년05월_남_40~49세,"33,971","1,204","1,724",957,978,"2,076",831,"1,185","1,512","1,739",915,"2,034","3,751","1,382","3,137","2,249","1,434","1,835","1,032","1,356","2,640"
2021년05월_남_50~59세,"34,092","1,293","1,828",974,"1,285","1,961",989,"1,201","1,406","1,816","1,142","1,995","2,576","1,360","3,135","2,116","1,520","2,073","1,216","1,294","2,912"
2021년05월_남_60~69세,"26,241",974,"1,349",680,"1,020","1,298",686,916,"1,055","1,562","1,008","1,642","1,485",999,"2,323","1,730","1,309","1,578","1,057",918,"2,652"
2021년05월_남_70~79세,"14,322",549,748,445,567,634,392,458,582,877,614,946,864,480,"1,219",940,714,757,627,464,"1,445"
2021년05월_남_80~89세,"5,627",299,323,169,205,280,165,175,247,324,256,352,308,163,569,342,278,281,222,133,536
2021년05월_남_90~99세,484,37,28,22,19,34,11,5,19,24,25,33,22,15,69,25,22,18,20,5,31
2021년05월_남_100세 이상,26,7,3,1,0,0,2,1,0,2,0,1,0,1,4,0,0,1,0,1,2
2021년05월_여_총인구수,"224,581","8,906","12,068","8,971","7,923","12,730","7,430","8,029","9,519","11,938","7,637","13,006","18,708","8,592","19,741","13,779","10,173","12,438","6,952","8,225","17,816"
2021년05월_여_연령구간인구수,"224,581","8,906","12,068","8,971","7,923","12,730","7,430","8,029","9,519","11,938","7,637","13,006","18,708","8,592","19,741","13,779","10,173","12,438","6,952","8,225","17,816"
2021년05월_여_0~9세,"13,961",391,521,290,406,974,214,488,663,707,287,746,"1,869",671,"1,264",999,495,880,287,849,960
2021년05월_여_10~19세,"18,071",551,876,545,652,"1,384",410,481,873,879,474,"1,015","2,494",671,"1,655","1,334",727,925,433,676,"1,016"
2021년05월_여_20~29세,"34,438","1,519","2,316","2,985","1,075","1,516","2,470","1,343","1,147","1,620","1,349","1,579","1,758","1,089","2,670","1,633","1,981","1,670","1,001","1,080","2,637"
2021년05월_여_30~39세,"29,743","1,285","1,654","1,350",994,"1,554",878,"1,259","1,322","1,523",800,"1,630","2,471","1,233","2,541","1,794","1,303","1,618",833,"1,336","2,365"
2021년05월_여_40~49세,"34,925","1,314","1,807","1,045","1,120","2,333",794,"1,191","1,625","1,773",941,"2,101","4,059","1,501","3,197","2,261","1,396","1,864",870,"1,298","2,435"
2021년05월_여_50~59세,"35,001","1,448","1,843",976,"1,392","2,135","1,004","1,293","1,445","1,941","1,197","2,150","2,454","1,388","3,176","2,107","1,472","2,179","1,176","1,247","2,978"
2021년05월_여_60~69세,"29,528","1,121","1,410",827,"1,166","1,459",770,"1,025","1,217","1,812","1,238","1,981","1,803","1,107","2,535","1,888","1,417","1,789","1,163","1,012","2,788"
2021년05월_여_70~79세,"18,504",761,"1,042",597,702,832,561,608,788,"1,092",829,"1,172","1,190",614,"1,630","1,180",878,981,782,484,"1,781"
2021년05월_여_80~89세,"8,845",411,514,297,362,445,281,285,375,503,441,530,513,275,910,505,426,461,351,211,749
2021년05월_여_90~99세,"1,486",95,74,48,50,95,44,53,60,86,79,98,93,42,159,78,74,70,54,28,106
2021년05월_여_100세 이상,79,10,11,11,4,3,4,3,4,2,2,4,4,1,4,0,4,1,2,4,1
