,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년12월_남_30~39세,"30,743","3,013","1,096","2,983","2,281","2,039","2,379","2,106","2,453","2,172","1,867","1,225","1,309","2,583","1,540","1,697"
2021년12월_남_40~49세,"28,686","2,223",713,"3,099","2,277","1,733","2,150","2,427","1,489","2,017","1,932","1,047","1,115","3,008","1,763","1,693"
2021년12월_남_50~59세,"28,059","2,305",858,"3,013","1,990","1,854","2,121","2,467","1,397","2,117","1,676",929,"1,039","3,002","1,875","1,416"
2021년12월_남_60~69세,"23,298","2,029",833,"2,530","1,549","1,508","1,865","1,962","1,342","1,823","1,616",934,858,"1,961","1,407","1,081"
2021년12월_남_70~79세,"13,106","1,096",432,"1,371",834,896,991,"1,079",798,"1,130",994,537,463,"1,069",758,658
2021년12월_남_80~89세,"5,155",491,203,540,342,350,358,461,278,415,329,200,166,446,294,282
2021년12월_남_90~99세,476,47,19,57,42,19,39,51,15,32,20,19,15,58,26,17
2021년12월_남_100세 이상,20,2,0,5,3,1,0,1,0,0,2,0,1,3,2,0
2021년12월_여_총인구수,"199,057","15,906","5,250","22,715","14,563","12,827","14,713","16,136","11,966","14,476","12,542","7,375","7,508","19,973","12,049","11,058"
2021년12월_여_연령구간인구수,"199,057","15,906","5,250","22,715","14,563","12,827","14,713","16,136","11,966","14,476","12,542","7,375","7,508","19,973","12,049","11,058"
2021년12월_여_0~9세,"11,238",894,120,"1,275","1,187",535,714,"1,091",356,897,"1,000",309,478,986,674,722
2021년12월_여_10~19세,"13,146",917,216,"1,513",946,757,856,"1,041",400,776,734,347,481,"2,065","1,249",848
2021년12월_여_20~29세,"33,574","2,601","1,043","4,731","2,203","2,215","2,349","2,329","2,971","1,884","1,661","1,350","1,115","3,371","1,749","2,002"
2021년12월_여_30~39세,"30,083","2,455",778,"2,974","2,480","1,962","2,281","2,185","2,206","2,274","2,042","1,166","1,295","2,639","1,519","1,827"
2021년12월_여_40~49세,"28,521","1,995",556,"3,240","2,213","1,774","2,065","2,277","1,435","2,092","1,852",949,"1,110","3,283","2,002","1,678"
2021년12월_여_50~59세,"30,014","2,398",796,"3,327","2,144","2,017","2,311","2,706","1,586","2,281","1,853","1,096","1,159","2,994","1,839","1,507"
2021년12월_여_60~69세,"27,180","2,348",887,"2,934","1,784","1,812","2,133","2,199","1,691","2,241","1,832","1,141",995,"2,350","1,598","1,235"
2021년12월_여_70~79세,"16,476","1,403",548,"1,707","1,006","1,163","1,300","1,425",960,"1,386","1,120",686,570,"1,456",918,828
2021년12월_여_80~89세,"7,462",768,253,841,503,518,611,740,298,540,387,279,251,704,419,350
2021년12월_여_90~99세,"1,299",122,52,151,93,70,90,135,60,102,61,49,51,121,82,60
2021년12월_여_100세 이상,64,5,1,22,4,4,3,8,3,3,0,3,3,4,0,1
