,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020년11월_남_70~79세,"13,934",729,834,596,551,794,697,930,855,600,744,535,650,637,706,566,769,656,671,794,620
2020년11월_남_80~89세,"4,213",205,229,179,188,244,192,286,263,228,191,129,188,192,236,192,156,208,208,296,203
2020년11월_남_90~99세,404,20,24,18,12,10,37,30,24,19,16,12,23,13,26,19,10,18,26,29,18
2020년11월_남_100세 이상,32,0,4,0,1,2,1,7,2,0,4,4,0,0,0,0,1,2,1,3,0
2020년11월_여_총인구수,"264,914","16,432","18,248","14,422","7,473","11,523","11,144","14,196","14,707","8,973","12,638","8,955","11,035","7,830","12,801","10,293","20,113","10,428","16,053","16,303","21,347"
2020년11월_여_연령구간인구수,"264,914","16,432","18,248","14,422","7,473","11,523","11,144","14,196","14,707","8,973","12,638","8,955","11,035","7,830","12,801","10,293","20,113","10,428","16,053","16,303","21,347"
2020년11월_여_0~9세,"20,483","1,579","1,743",729,325,587,791,830,912,420,878,653,763,314,709,841,"2,927",643,"1,425","1,206","2,208"
2020년11월_여_10~19세,"24,485","1,569","2,128",830,489,818,"1,012","1,092","1,203",555,"1,251",804,931,495,"1,178","1,071","1,739",907,"1,770","1,630","3,013"
2020년11월_여_20~29세,"34,378","2,139","2,075","3,468","1,014","1,530","1,408","1,987","2,063","1,100","1,574","1,206","1,370","1,020","1,661","1,092","2,004","1,307","1,924","2,097","2,339"
2020년11월_여_30~39세,"35,321","2,464","2,401","2,484",724,"1,491","1,396","1,762","1,966","1,012","1,481","1,048","1,383",804,"1,388","1,200","3,996","1,105","2,179","2,078","2,959"
2020년11월_여_40~49세,"43,777","2,690","3,516","2,084","1,052","1,665","1,871","2,078","2,257","1,185","2,086","1,405","1,708","1,003","2,013","1,740","3,526","1,616","2,873","2,814","4,595"
2020년11월_여_50~59세,"45,863","2,694","2,887","2,209","1,503","2,102","1,904","2,674","2,695","1,730","2,305","1,668","2,007","1,589","2,534","1,832","2,607","2,133","2,757","2,820","3,213"
2020년11월_여_60~69세,"33,806","1,922","2,090","1,497","1,206","1,708","1,506","2,083","2,028","1,430","1,829","1,230","1,622","1,410","1,741","1,490","2,068","1,474","1,781","1,916","1,775"
2020년11월_여_70~79세,"16,849",842,937,749,733,"1,021",819,"1,085",969,900,809,618,738,813,904,662,822,777,845,"1,059",747
2020년11월_여_80~89세,"8,224",419,378,323,355,492,356,503,502,556,349,262,428,316,544,302,348,388,404,574,425
2020년11월_여_90~99세,"1,623",108,85,48,62,101,79,91,101,82,65,56,82,65,124,62,74,76,92,100,70
2020년11월_여_100세 이상,105,6,8,1,10,8,2,11,11,3,11,5,3,1,5,1,2,2,3,9,3
