,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2021년08월_남_0~9세,"114,820",624,"2,843","2,119","2,528","10,371","9,760","8,671","9,612","14,265","9,655","6,392","10,297","7,022","5,184","5,948","9,529"
2021년08월_남_10~19세,"137,684",959,"3,651","2,535","3,661","12,298","12,807","11,651","11,812","19,145","12,750","8,879","6,398","8,328","5,928","7,618","9,264"
2021년08월_남_20~29세,"218,711","2,831","6,457","5,148","6,403","25,175","16,587","18,197","19,491","24,768","20,743","17,511","6,931","12,745","11,655","15,019","9,050"
2021년08월_남_30~39세,"209,593","2,449","5,523","5,484","5,583","24,163","16,052","14,720","17,630","22,360","18,820","12,801","13,818","13,067","11,759","13,207","12,157"
2021년08월_남_40~49세,"254,352","2,861","7,425","6,196","7,716","25,611","20,863","20,521","19,917","30,764","23,081","15,694","14,043","15,359","12,401","15,102","16,798"
2021년08월_남_50~59세,"270,752","3,441","8,868","7,337","9,651","27,650","20,724","20,655","24,971","33,043","26,235","18,698","8,810","15,822","12,590","19,682","12,575"
2021년08월_남_60~69세,"257,879","3,717","9,017","7,620","10,718","26,787","19,403","19,036","23,599","28,159","25,385","18,512","8,512","15,251","12,883","18,919","10,361"
2021년08월_남_70~79세,"133,407","2,134","5,336","4,578","6,340","13,991","10,371","11,185","10,111","13,738","12,261","9,920","3,527","8,362","7,677","8,074","5,802"
2021년08월_남_80~89세,"43,847",765,"2,047","1,646","2,139","4,897","3,338","3,819","2,943","4,825","3,574","3,376",957,"2,843","2,715","2,107","1,856"
2021년08월_남_90~99세,"3,186",78,135,135,144,302,236,241,213,394,252,268,81,199,241,114,153
2021년08월_남_100세 이상,147,3,6,19,5,12,14,14,3,22,10,9,6,12,7,4,1
2021년08월_여_총인구수,"1,715,149","20,851","54,688","44,768","56,498","183,881","137,517","134,623","143,599","206,634","154,119","117,180","68,308","106,690","92,775","103,753","89,265"
2021년08월_여_연령구간인구수,"1,715,149","20,851","54,688","44,768","56,498","183,881","137,517","134,623","143,599","206,634","154,119","117,180","68,308","106,690","92,775","103,753","89,265"
2021년08월_여_0~9세,"108,970",560,"2,579","1,885","2,441","10,116","9,157","8,372","9,039","13,345","9,131","6,094","9,599","6,929","4,903","5,675","9,145"
2021년08월_여_10~19세,"129,528",970,"3,524","2,362","3,501","11,998","11,826","10,972","10,867","17,982","11,915","8,351","6,177","7,860","5,606","7,001","8,616"
2021년08월_여_20~29세,"202,411","2,961","6,786","5,110","5,245","26,702","15,165","16,250","16,913","22,748","17,958","14,914","5,773","12,328","12,400","13,138","8,020"
2021년08월_여_30~39세,"199,393","2,055","5,236","4,887","4,757","23,191","15,937","13,974","16,146","23,378","16,527","11,693","13,269","12,934","11,847","11,259","12,303"
2021년08월_여_40~49세,"249,883","2,353","6,886","5,343","7,069","24,931","21,682","20,362","20,130","33,850","21,920","15,788","11,210","15,976","12,734","13,605","16,044"
2021년08월_여_50~59세,"285,271","3,372","8,361","6,933","9,082","29,289","22,785","21,535","27,706","36,405","27,148","20,512","8,230","17,523","14,556","19,746","12,088"
2021년08월_여_60~69세,"288,209","4,161","10,314","8,526","11,673","30,374","22,489","22,299","24,395","31,543","27,494","21,232","8,301","18,014","16,179","19,260","11,955"
2021년08월_여_70~79세,"161,933","2,808","6,884","6,057","8,178","17,511","12,199","13,812","11,791","17,243","14,370","11,825","3,525","9,952","9,485","9,395","6,898"
2021년08월_여_80~89세,"77,112","1,348","3,542","3,169","3,945","8,535","5,381","6,091","5,705","8,700","6,546","5,798","1,827","4,492","4,366","4,096","3,571"
2021년08월_여_90~99세,"11,834",248,554,448,559,"1,184",841,904,876,"1,388","1,080",917,378,653,672,537,595
2021년08월_여_100세 이상,605,15,22,48,48,50,55,52,31,52,30,56,19,29,27,41,30
