,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020년08월_여_연령구간인구수,"197,446","13,249","20,605","11,408","11,505","7,376","6,297","11,977","13,062","13,573","9,859","11,117","10,054","8,347","10,355","22,130","16,532"
2020년08월_여_0~9세,"12,620","1,405","1,118",716,"1,199",317,461,828,943,429,570,557,597,352,527,"1,325","1,276"
2020년08월_여_10~19세,"14,251",843,"1,222",773,"1,019",449,579,890,877,645,525,680,844,385,747,"1,684","2,089"
2020년08월_여_20~29세,"33,879","1,708","3,737","1,569","1,204","1,814",925,"1,748","2,448","3,453","1,991","1,885","1,525","1,752","1,686","4,067","2,367"
2020년08월_여_30~39세,"34,267","2,737","3,367","1,898","2,019","1,157",998,"1,987","2,240","2,874","1,975","2,095","1,577","1,627","1,794","3,703","2,219"
2020년08월_여_40~49세,"31,599","2,012","2,923","1,686","2,268","1,044","1,061","2,110","2,115","1,911","1,377","1,676","1,677","1,187","1,800","3,485","3,267"
2020년08월_여_50~59세,"27,578","1,942","3,360","1,837","1,494",955,879,"1,761","1,910","1,585","1,262","1,506","1,419","1,084","1,477","2,955","2,152"
2020년08월_여_60~69세,"20,984","1,378","2,313","1,397","1,100",763,617,"1,265","1,242","1,266","1,058","1,329","1,216",927,"1,190","2,296","1,627"
2020년08월_여_70~79세,"14,133",718,"1,582",867,743,538,507,911,808,880,695,924,820,648,777,"1,744",971
2020년08월_여_80~89세,"6,716",393,825,537,391,258,227,393,397,419,335,399,321,323,306,720,472
2020년08월_여_90~99세,"1,169",75,127,107,61,61,33,71,67,94,57,59,46,50,42,142,77
2020년08월_여_100세 이상,250,38,31,21,7,20,10,13,15,17,14,7,12,12,9,9,15
