,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년07월_계_100세 이상,284,6,12,14,6,12,3,23,1,22,4,9,1,4,3,0,164
2021년07월_남_총인구수,"227,339","17,485","18,363","13,534","10,963","13,486","15,963","12,605","15,485","13,290","12,108","21,527","13,120","10,239","7,350","5,556","26,265"
2021년07월_남_연령구간인구수,"227,339","17,485","18,363","13,534","10,963","13,486","15,963","12,605","15,485","13,290","12,108","21,527","13,120","10,239","7,350","5,556","26,265"
2021년07월_남_0~9세,"14,592","1,194","1,176",533,511,762,838,592,"1,263","1,625",533,"1,251",741,550,364,377,"2,282"
2021년07월_남_10~19세,"19,280","1,100","1,371",863,774,"1,166","1,390",719,"1,415","1,206",811,"1,712","1,086",904,590,397,"3,776"
2021년07월_남_20~29세,"31,718","2,335","2,523","2,148","1,828","2,112","2,131","2,165","2,002","1,348","1,806","3,084","1,957","1,502","1,000",751,"3,026"
2021년07월_남_30~39세,"33,026","2,940","2,632","1,987","1,583","1,857","2,058","2,060","2,610","2,263","1,789","3,054","2,017","1,433","1,012",895,"2,836"
2021년07월_남_40~49세,"37,026","2,824","2,790","1,934","1,609","2,247","2,533","1,924","2,733","2,670","1,763","3,725","2,057","1,564","1,105",764,"4,784"
2021년07월_남_50~59세,"37,025","2,816","3,103","2,258","1,783","2,211","2,805","2,046","2,364","1,794","2,062","3,550","2,044","1,685","1,231","1,000","4,273"
2021년07월_남_60~69세,"30,473","2,336","2,589","2,099","1,634","1,708","2,352","1,607","1,712","1,355","1,770","2,837","1,864","1,559","1,180",840,"3,031"
2021년07월_남_70~79세,"16,970","1,362","1,472","1,218",904,986,"1,309","1,011",985,719,"1,068","1,671",974,747,613,380,"1,551"
2021년07월_남_80~89세,"6,636",539,640,455,312,400,508,439,367,277,467,603,356,268,236,140,629
2021년07월_남_90~99세,551,37,65,35,23,33,39,35,33,26,39,40,24,26,18,12,66
2021년07월_남_100세 이상,42,2,2,4,2,4,0,7,1,7,0,0,0,1,1,0,11
2021년07월_여_총인구수,"247,669","19,360","20,477","14,411","11,531","15,025","16,501","14,421","17,239","14,126","12,702","24,295","14,071","10,248","7,753","5,745","29,764"
2021년07월_여_연령구간인구수,"247,669","19,360","20,477","14,411","11,531","15,025","16,501","14,421","17,239","14,126","12,702","24,295","14,071","10,248","7,753","5,745","29,764"
2021년07월_여_0~9세,"13,841","1,187","1,095",528,438,705,876,521,"1,249","1,519",455,"1,243",773,493,340,342,"2,077"
2021년07월_여_10~19세,"18,413","1,123","1,233",842,722,"1,189","1,433",862,"1,290","1,097",734,"1,707",955,711,574,363,"3,578"
2021년07월_여_20~29세,"34,543","2,619","2,718","2,122","1,815","2,239","2,278","2,746","2,443","1,347","1,783","3,454","1,906","1,408","1,045",729,"3,891"
2021년07월_여_30~39세,"34,211","3,051","2,712","1,818","1,360","1,977","2,027","2,122","2,807","2,570","1,588","3,340","1,993","1,283",979,857,"3,727"
2021년07월_여_40~49세,"37,847","2,767","2,986","1,792","1,550","2,348","2,473","2,016","2,808","2,569","1,712","3,726","2,088","1,521","1,124",763,"5,604"
2021년07월_여_50~59세,"39,807","3,043","3,501","2,595","2,097","2,542","2,810","2,115","2,479","1,876","2,068","4,065","2,327","1,779","1,276",980,"4,254"
2021년07월_여_60~69세,"35,668","2,901","3,133","2,405","1,912","2,075","2,423","1,994","2,148","1,635","2,034","3,557","2,153","1,653","1,303",893,"3,449"
2021년07월_여_70~79세,"21,753","1,762","1,977","1,524","1,127","1,319","1,398","1,346","1,337",985,"1,493","2,152","1,271",896,753,500,"1,913"
2021년07월_여_80~89세,"9,868",768,985,681,430,548,673,607,596,448,731,917,531,437,303,272,941
2021년07월_여_90~99세,"1,476",135,127,94,76,75,107,76,82,65,100,125,73,64,54,46,177
2021년07월_여_100세 이상,242,4,10,10,4,8,3,16,0,15,4,9,1,3,2,0,153
