,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2021년02월_남_50~59세,"13,544",600,386,317,345,531,260,158,236,311,304,181,194,166,166,429,475,"1,764",740,"1,103",486,576,"1,676","1,302",838
2021년02월_남_60~69세,"12,549",717,487,348,467,499,298,214,255,382,375,262,266,215,262,395,387,"1,306",661,"1,026",520,524,"1,227",994,462
2021년02월_남_70~79세,"7,403",517,336,252,250,342,244,158,151,224,219,152,165,165,169,316,242,699,452,635,321,310,483,364,237
2021년02월_남_80~89세,"3,402",260,216,152,142,167,132,96,78,106,135,84,100,84,81,123,80,296,192,247,128,92,186,140,85
2021년02월_남_90~99세,319,35,23,15,17,21,9,4,10,15,12,7,6,10,11,9,8,22,19,14,8,10,15,12,7
2021년02월_남_100세 이상,16,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,1,2,0
2021년02월_여_총인구수,"80,095","3,164","1,973","1,418","1,678","3,331","1,419",896,"1,035","1,360","1,344",853,890,777,841,"2,639","2,597","11,171","4,768","6,685","3,253","3,131","11,313","8,274","5,285"
2021년02월_여_연령구간인구수,"80,095","3,164","1,973","1,418","1,678","3,331","1,419",896,"1,035","1,360","1,344",853,890,777,841,"2,639","2,597","11,171","4,768","6,685","3,253","3,131","11,313","8,274","5,285"
2021년02월_여_0~9세,"5,012",89,45,26,45,213,20,13,28,29,27,12,18,10,11,103,130,918,297,438,194,155,940,729,522
2021년02월_여_10~19세,"6,512",122,76,36,52,185,49,26,44,55,38,25,19,22,33,166,213,"1,106",434,436,247,269,"1,277",854,728
2021년02월_여_20~29세,"7,513",184,126,44,129,447,59,35,53,71,51,30,26,28,28,252,249,"1,286",396,641,267,308,"1,300",877,626
2021년02월_여_30~39세,"7,428",156,89,57,79,460,52,23,55,61,48,23,30,18,27,260,221,"1,253",410,703,268,262,"1,230","1,043",600
2021년02월_여_40~49세,"10,640",223,126,106,136,339,93,56,57,86,46,51,39,39,42,276,327,"1,792",680,874,438,418,"1,965","1,345","1,086"
2021년02월_여_50~59세,"12,803",491,287,215,249,402,188,127,200,202,217,117,169,113,124,400,461,"1,739",730,"1,132",554,597,"1,885","1,442",762
2021년02월_여_60~69세,"13,419",714,431,327,407,507,333,185,242,331,316,219,227,219,206,529,461,"1,479",852,"1,205",663,632,"1,418","1,037",479
2021년02월_여_70~79세,"9,148",583,391,289,277,407,302,197,170,257,325,199,180,173,177,394,313,928,565,780,369,324,742,528,278
2021년02월_여_80~89세,"6,410",506,341,267,244,314,267,187,155,219,241,157,164,131,170,210,194,568,348,404,202,139,471,342,169
2021년02월_여_90~99세,"1,158",89,56,50,60,55,53,46,31,47,34,15,17,24,23,49,28,99,51,67,49,27,84,72,32
2021년02월_여_100세 이상,52,7,5,1,0,2,3,1,0,2,1,5,1,0,0,0,0,3,5,5,2,0,1,5,3
