,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020년11월_계_80~89세,"123,987","26,144","5,681","2,938","6,979","5,278","5,268","12,332","4,711","5,724","11,383","6,856","4,926","8,724","3,022","4,044","4,966","4,233","4,865","4,390","3,651","3,828","4,833","5,355"
2020년11월_계_90~99세,"17,048","3,413",771,438,990,578,636,"1,741",615,793,"1,406",898,792,"1,072",429,543,652,633,826,721,546,566,714,688
2020년11월_계_100세 이상,824,188,37,21,69,43,18,96,27,31,87,47,48,59,9,13,29,18,17,23,18,32,43,39
2020년11월_남_총인구수,"1,681,719","525,467","133,706","109,935","87,002","96,186","98,638","171,968","64,656","56,068","274,299","51,374","129,085","176,428","13,146","32,576","30,495","25,795","20,757","22,422","17,137","18,849","29,987","21,210"
2020년11월_남_연령구간인구수,"1,681,719","525,467","133,706","109,935","87,002","96,186","98,638","171,968","64,656","56,068","274,299","51,374","129,085","176,428","13,146","32,576","30,495","25,795","20,757","22,422","17,137","18,849","29,987","21,210"
2020년11월_남_0~9세,"138,815","43,250","11,091","8,553","6,517","7,000","10,089","14,766","4,886","4,276","25,247","2,863","13,925","17,759",563,"2,070","1,690","1,315",837,971,713,908,"1,940",836
2020년11월_남_10~19세,"169,920","52,310","12,478","12,215","7,108","9,601","10,908","18,590","6,673","5,308","32,013","4,140","14,676","17,620",831,"3,177","2,229","2,264","1,599","1,542","1,111","1,549","2,998","1,290"
2020년11월_남_20~29세,"210,604","72,564","20,069","18,107","10,485","12,350","11,553","24,777","6,254","6,435","37,579","5,288","13,776","21,810","1,153","3,210","2,859","2,314","2,033","2,097","1,412","1,780","3,511","1,752"
2020년11월_남_30~39세,"209,653","71,104","18,724","15,757","10,794","11,635","14,194","21,312","7,206","6,401","35,961","4,710","19,492","25,352",924,"2,886","2,799","2,138","1,290","1,549","1,153","1,369","2,587","1,420"
2020년11월_남_40~49세,"276,528","85,308","20,728","17,235","13,427","15,393","18,525","27,034","11,545","9,507","48,990","6,889","25,968","30,851","1,665","5,114","3,959","3,571","2,489","2,804","1,988","2,415","3,974","2,457"
2020년11월_남_50~59세,"297,450","92,763","24,938","21,211","14,675","17,274","14,665","28,544","11,547","9,773","49,793","9,508","20,880","29,584","2,568","6,180","5,818","4,988","3,921","4,619","3,539","3,696","5,484","4,245"
2020년11월_남_60~69세,"228,418","69,891","17,446","12,680","14,110","14,230","11,425","21,675","9,967","7,915","29,476","10,239","13,652","20,787","2,818","5,679","6,047","4,830","4,047","4,606","3,724","3,604","4,911","4,550"
2020년11월_남_70~79세,"108,200","28,981","6,337","3,248","7,368","6,718","5,310","11,169","4,989","4,553","11,391","5,463","5,097","9,415","1,659","2,939","3,504","2,957","2,924","2,759","2,313","2,245","2,899","2,943"
2020년11월_남_80~89세,"38,722","8,612","1,754",844,"2,308","1,867","1,839","3,778","1,459","1,765","3,550","2,095","1,485","3,011",875,"1,207","1,477","1,293","1,468","1,320","1,071","1,159","1,516","1,581"
2020년11월_남_90~99세,"3,233",642,135,79,193,110,125,302,122,126,274,170,125,228,88,110,111,121,147,151,111,116,157,132
2020년11월_남_100세 이상,176,42,6,6,17,8,5,21,8,9,25,9,9,11,2,4,2,4,2,4,2,8,10,4
2020년11월_여_총인구수,"1,659,344","511,694","129,037","105,208","87,931","95,544","93,974","175,827","63,939","55,166","268,051","53,494","116,871","175,369","13,672","31,659","30,905","25,647","22,276","22,489","17,758","20,227","31,422","22,878"
2020년11월_여_연령구간인구수,"1,659,344","511,694","129,037","105,208","87,931","95,544","93,974","175,827","63,939","55,166","268,051","53,494","116,871","175,369","13,672","31,659","30,905","25,647","22,276","22,489","17,758","20,227","31,422","22,878"
2020년11월_여_0~9세,"131,235","40,509","10,497","8,120","6,002","6,526","9,364","13,712","4,861","3,930","24,250","2,764","13,010","16,998",527,"2,053","1,561","1,277",750,891,635,902,"1,829",776
2020년11월_여_10~19세,"154,725","47,595","11,186","11,004","6,619","8,722","10,064","16,625","6,176","5,001","29,476","3,727","13,267","16,643",708,"2,799","1,903","1,884","1,385","1,354",965,"1,424","2,615","1,178"
2020년11월_여_20~29세,"168,314","57,787","16,051","14,353","8,405","10,090","8,888","20,289","5,030","4,354","31,549","3,915","10,663","18,976",900,"2,318","2,101","1,619","1,268","1,397","1,052","1,332","2,465","1,299"
2020년11월_여_30~39세,"191,530","63,379","16,741","13,753","9,596","10,344","12,945","20,414","6,764","5,553","33,833","4,227","17,385","24,027",823,"2,773","2,321","1,751","1,190","1,238",997,"1,260","2,442","1,153"
2020년11월_여_40~49세,"260,579","82,766","20,405","18,680","12,113","14,997","16,571","27,278","9,869","8,332","49,649","6,088","21,656","29,891","1,217","4,304","3,157","2,843","2,128","2,209","1,560","2,005","3,764","1,863"
2020년11월_여_50~59세,"285,286","93,907","25,690","22,309","14,839","17,317","13,752","29,347","10,971","8,717","47,049","9,287","18,319","29,027","2,073","5,106","5,147","4,169","3,455","3,852","3,019","3,260","5,110","3,471"
2020년11월_여_60~69세,"231,238","71,098","16,895","10,945","15,665","15,591","12,002","23,706","10,448","8,524","28,331","10,800","12,706","21,641","2,548","5,272","6,048","4,852","4,230","4,269","3,504","3,638","5,156","4,467"
2020년11월_여_70~79세,"136,709","34,204","6,978","3,576","9,172","8,043","6,435","14,388","6,056","6,107","14,887","7,159","5,718","11,561","2,381","3,755","4,610","3,786","3,779","3,620","2,995","3,263","4,134","4,306"
2020년11월_여_80~89세,"85,265","17,532","3,927","2,094","4,671","3,411","3,429","8,554","3,252","3,959","7,833","4,761","3,441","5,713","2,147","2,837","3,489","2,940","3,397","3,070","2,580","2,669","3,317","3,774"
2020년11월_여_90~99세,"13,815","2,771",636,359,797,468,511,"1,439",493,667,"1,132",728,667,844,341,433,541,512,679,570,435,450,557,556
2020년11월_여_100세 이상,648,146,31,15,52,35,13,75,19,22,62,38,39,48,7,9,27,14,15,19,16,24,33,35
