,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년12월_계_90~99세,"2,091",181,198,138,96,103,147,124,114,98,143,178,104,91,67,56,253
2021년12월_계_100세 이상,72,5,9,4,4,2,4,6,2,3,4,9,1,4,2,0,13
2021년12월_남_총인구수,"226,458","17,434","18,167","13,330","10,672","13,379","15,777","12,497","15,617","13,547","11,854","21,321","13,035","10,097","7,273","6,254","26,204"
2021년12월_남_연령구간인구수,"226,458","17,434","18,167","13,330","10,672","13,379","15,777","12,497","15,617","13,547","11,854","21,321","13,035","10,097","7,273","6,254","26,204"
2021년12월_남_0~9세,"14,233","1,187","1,124",504,479,708,800,554,"1,266","1,669",504,"1,192",730,534,346,465,"2,171"
2021년12월_남_10~19세,"19,043","1,071","1,352",851,743,"1,161","1,370",706,"1,400","1,228",765,"1,644","1,052",868,563,465,"3,804"
2021년12월_남_20~29세,"31,164","2,307","2,423","2,065","1,741","2,091","2,076","2,073","2,026","1,329","1,768","3,065","1,908","1,459",987,830,"3,016"
2021년12월_남_30~39세,"32,897","2,912","2,651","1,967","1,559","1,869","2,013","2,086","2,644","2,261","1,725","3,008","1,982","1,429","1,002",996,"2,793"
2021년12월_남_40~49세,"36,673","2,819","2,742","1,884","1,557","2,172","2,492","1,883","2,731","2,771","1,733","3,639","2,062","1,539","1,082",898,"4,669"
2021년12월_남_50~59세,"37,200","2,826","3,093","2,243","1,734","2,237","2,795","2,041","2,389","1,852","2,002","3,534","2,056","1,686","1,222","1,132","4,358"
2021년12월_남_60~69세,"30,942","2,373","2,615","2,106","1,625","1,733","2,367","1,666","1,767","1,387","1,780","2,893","1,882","1,543","1,185",899,"3,121"
2021년12월_남_70~79세,"16,795","1,323","1,446","1,199",889,960,"1,305",996,960,731,"1,035","1,681",962,733,619,412,"1,544"
2021년12월_남_80~89세,"6,923",569,655,474,325,416,512,457,398,294,499,624,375,274,246,147,658
2021년12월_남_90~99세,575,45,65,37,19,32,47,35,35,25,43,40,26,31,20,10,65
2021년12월_남_100세 이상,13,2,1,0,1,0,0,0,1,0,0,1,0,1,1,0,5
2021년12월_여_총인구수,"246,849","19,373","20,351","14,215","11,204","14,861","16,430","14,384","17,343","14,365","12,482","24,063","13,996","10,114","7,636","6,438","29,594"
2021년12월_여_연령구간인구수,"246,849","19,373","20,351","14,215","11,204","14,861","16,430","14,384","17,343","14,365","12,482","24,063","13,996","10,114","7,636","6,438","29,594"
2021년12월_여_0~9세,"13,422","1,177","1,059",496,407,672,811,483,"1,242","1,525",433,"1,190",729,474,319,442,"1,963"
2021년12월_여_10~19세,"18,165","1,109","1,209",806,673,"1,158","1,428",836,"1,282","1,142",691,"1,642",937,699,557,421,"3,575"
2021년12월_여_20~29세,"34,118","2,601","2,653","2,117","1,713","2,213","2,249","2,736","2,438","1,289","1,751","3,388","1,898","1,371","1,009",820,"3,872"
2021년12월_여_30~39세,"34,130","3,066","2,704","1,836","1,326","1,922","1,998","2,153","2,842","2,579","1,576","3,278","1,966","1,290",949,968,"3,677"
2021년12월_여_40~49세,"37,430","2,711","2,931","1,713","1,500","2,305","2,422","1,960","2,824","2,672","1,630","3,676","2,081","1,494","1,083",889,"5,539"
2021년12월_여_50~59세,"40,044","3,063","3,550","2,536","2,049","2,530","2,841","2,135","2,503","1,941","2,048","4,046","2,309","1,739","1,299","1,099","4,356"
2021년12월_여_60~69세,"36,073","2,932","3,130","2,414","1,921","2,099","2,463","2,023","2,194","1,673","2,028","3,597","2,186","1,661","1,293",941,"3,518"
2021년12월_여_70~79세,"21,726","1,762","1,975","1,517","1,099","1,315","1,421","1,344","1,331",992,"1,473","2,162","1,266",880,755,525,"1,909"
2021년12월_여_80~89세,"10,166",813,999,675,436,574,693,619,607,476,748,938,545,443,324,287,989
2021년12월_여_90~99세,"1,516",136,133,101,77,71,100,89,79,73,100,138,78,60,47,46,188
2021년12월_여_100세 이상,59,3,8,4,3,2,4,6,1,3,4,8,1,3,1,0,8
