,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년05월_남_총인구수,"112,656","2,644","12,232","5,941","6,058","4,234","10,992","7,511","5,605","7,121","9,187","10,539","6,021","5,570","7,274","1,275","10,452"
2021년05월_남_연령구간인구수,"112,656","2,644","12,232","5,941","6,058","4,234","10,992","7,511","5,605","7,121","9,187","10,539","6,021","5,570","7,274","1,275","10,452"
2021년05월_남_0~9세,"7,656",51,"1,233",452,429,128,886,724,199,393,469,537,466,310,379,26,974
2021년05월_남_10~19세,"10,266",74,"1,747",481,496,195,919,735,410,550,913,757,472,405,652,65,"1,395"
2021년05월_남_20~29세,"16,067",205,"1,394",672,770,434,"1,780",927,"1,486","1,084","1,495","2,027",713,"1,005",846,117,"1,112"
2021년05월_남_30~39세,"13,936",224,"1,377",836,794,437,"1,592","1,050",640,781,"1,064","1,708",773,711,750,98,"1,101"
2021년05월_남_40~49세,"17,797",326,"2,404",928,837,572,"1,701","1,187",715,"1,126","1,386","1,684",925,849,"1,130",143,"1,884"
2021년05월_남_50~59세,"18,722",613,"1,753",916,"1,050",779,"1,773","1,200",812,"1,235","1,671","1,719","1,042",946,"1,328",258,"1,627"
2021년05월_남_60~69세,"16,288",646,"1,369",878,942,919,"1,452",974,762,"1,131","1,310","1,290",917,809,"1,202",328,"1,359"
2021년05월_남_70~79세,"8,547",373,694,553,518,527,661,510,420,591,641,610,521,374,695,150,709
2021년05월_남_80~89세,"3,088",122,240,211,196,220,206,183,153,211,224,191,170,156,265,77,263
2021년05월_남_90~99세,279,9,21,13,25,22,20,21,8,18,14,16,22,5,26,13,26
2021년05월_남_100세 이상,10,1,0,1,1,1,2,0,0,1,0,0,0,0,1,0,2
2021년05월_여_총인구수,"110,697","2,073","12,584","6,209","6,345","4,403","10,759","7,486","5,024","6,686","9,065","9,931","6,146","5,400","7,034","1,174","10,378"
2021년05월_여_연령구간인구수,"110,697","2,073","12,584","6,209","6,345","4,403","10,759","7,486","5,024","6,686","9,065","9,931","6,146","5,400","7,034","1,174","10,378"
2021년05월_여_0~9세,"7,136",54,"1,229",427,330,126,795,660,176,399,444,512,409,263,394,35,883
2021년05월_여_10~19세,"9,607",69,"1,591",407,474,177,916,650,436,545,842,717,469,383,588,70,"1,273"
2021년05월_여_20~29세,"14,228",158,"1,169",680,705,335,"1,563",845,"1,237",875,"1,394","1,944",625,978,684,85,951
2021년05월_여_30~39세,"11,773",150,"1,466",742,675,289,"1,348",948,415,630,811,"1,253",700,562,637,57,"1,090"
2021년05월_여_40~49세,"16,129",168,"2,430",825,870,427,"1,587","1,160",521,913,"1,287","1,447",826,689,"1,007",107,"1,865"
2021년05월_여_50~59세,"17,621",325,"1,791","1,016","1,103",722,"1,788","1,153",733,"1,057","1,622","1,560","1,034",893,"1,190",190,"1,444"
2021년05월_여_60~69세,"17,318",505,"1,566","1,087","1,054","1,006","1,534","1,037",756,"1,131","1,424","1,385","1,043",858,"1,251",254,"1,427"
2021년05월_여_70~79세,"10,495",405,876,653,682,761,766,627,475,729,780,748,650,484,809,173,877
2021년05월_여_80~89세,"5,510",209,388,317,398,490,399,343,238,362,394,317,330,246,419,176,484
2021년05월_여_90~99세,851,29,76,54,53,70,61,60,33,42,64,47,57,44,55,27,79
2021년05월_여_100세 이상,29,1,2,1,1,0,2,3,4,3,3,1,3,0,0,0,5
