,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020년06월_남_50~59세,"37,090","2,853","3,156","2,322","1,890","2,279","2,887","2,024","2,046","1,740","2,156","3,614","2,139","1,712","1,308",794,"4,170"
2020년06월_남_60~69세,"28,927","2,236","2,487","1,992","1,583","1,657","2,314","1,554","1,437","1,273","1,719","2,755","1,740","1,495","1,142",690,"2,853"
2020년06월_남_70~79세,"17,149","1,391","1,514","1,227",955,984,"1,371","1,007",897,716,"1,110","1,696","1,009",754,650,331,"1,537"
2020년06월_남_80~89세,"6,106",494,602,416,287,377,491,401,309,240,424,569,324,271,223,120,558
2020년06월_남_90~99세,582,45,60,35,34,31,42,30,38,26,35,39,27,31,18,11,80
2020년06월_남_100세 이상,79,5,11,4,1,8,9,7,1,7,5,4,1,4,3,2,7
2020년06월_여_총인구수,"248,884","19,663","21,108","14,754","12,161","15,373","16,660","14,560","14,767","14,065","12,987","24,881","14,396","10,644","7,996","4,337","30,532"
2020년06월_여_연령구간인구수,"248,884","19,663","21,108","14,754","12,161","15,373","16,660","14,560","14,767","14,065","12,987","24,881","14,396","10,644","7,996","4,337","30,532"
2020년06월_여_0~9세,"15,014","1,293","1,229",615,495,839,963,605,971,"1,560",498,"1,461",881,574,395,214,"2,421"
2020년06월_여_10~19세,"19,372","1,216","1,327",938,847,"1,263","1,528",926,"1,207","1,111",824,"1,836","1,039",785,603,251,"3,671"
2020년06월_여_20~29세,"34,294","2,659","2,766","2,152","1,872","2,291","2,247","2,646","2,022","1,383","1,762","3,426","1,937","1,449","1,052",560,"4,070"
2020년06월_여_30~39세,"34,738","3,079","2,848","1,857","1,528","2,048","2,081","2,123","2,260","2,679","1,634","3,590","2,055","1,366","1,015",547,"4,028"
2020년06월_여_40~49세,"39,129","2,906","3,215","1,989","1,740","2,495","2,626","2,141","2,485","2,512","1,798","3,905","2,181","1,621","1,168",550,"5,797"
2020년06월_여_50~59세,"39,984","3,109","3,625","2,681","2,163","2,576","2,821","2,167","2,174","1,820","2,157","4,077","2,416","1,858","1,357",799,"4,184"
2020년06월_여_60~69세,"33,758","2,743","2,995","2,289","1,842","1,983","2,249","1,948","1,858","1,536","2,008","3,424","2,043","1,599","1,252",718,"3,271"
2020년06월_여_70~79세,"21,641","1,787","2,017","1,522","1,186","1,282","1,398","1,357","1,186",969,"1,520","2,132","1,245",920,792,448,"1,880"
2020년06월_여_80~89세,"9,129",721,930,608,404,501,616,552,511,416,676,873,516,404,302,215,884
2020년06월_여_90~99세,"1,490",132,134,95,71,84,120,80,84,66,96,136,74,60,54,32,172
2020년06월_여_100세 이상,335,18,22,8,13,11,11,15,9,13,14,21,9,8,6,3,154
