,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년05월_남_40~49세,"32,811","3,216","1,841","1,958","2,244","1,582","2,160",695,"1,840","2,238","2,514","2,525","1,692","1,680","3,448","1,944","1,234"
2020년05월_남_50~59세,"31,314","2,543","1,434","2,476","1,571","1,782","2,321","1,181","1,952","2,445","2,752","2,302","1,656","1,513","2,724","1,906",756
2020년05월_남_60~69세,"25,659","1,888","1,161","1,883","1,161","1,391","1,771",859,"1,691","1,875","2,298","2,269","1,561","1,393","2,207","1,640",611
2020년05월_남_70~79세,"14,847","1,004",476,"1,201",723,943,976,417,922,"1,059","1,348","1,352",847,886,"1,455",936,302
2020년05월_남_80~89세,"4,348",262,126,388,222,319,289,126,230,354,396,358,251,265,462,226,74
2020년05월_남_90~99세,351,21,17,26,22,23,25,14,21,25,23,33,21,14,37,19,10
2020년05월_남_100세 이상,37,0,1,6,2,5,0,5,0,2,3,3,3,1,3,3,0
2020년05월_여_총인구수,"204,932","18,586","10,885","12,355","11,799","10,609","15,390","4,271","11,768","14,060","16,012","16,388","10,936","11,561","20,479","12,214","7,619"
2020년05월_여_연령구간인구수,"204,932","18,586","10,885","12,355","11,799","10,609","15,390","4,271","11,768","14,060","16,012","16,388","10,936","11,561","20,479","12,214","7,619"
2020년05월_여_0~9세,"14,385","1,840",946,472,683,448,958,121,679,970,"1,052","1,144",680,641,"1,796",765,"1,190"
2020년05월_여_10~19세,"14,934","1,710",955,690,729,586,840,155,981,"1,133","1,199","1,222",735,620,"1,927",925,527
2020년05월_여_20~29세,"28,269","2,258","1,523","1,594","2,168","1,514","2,920",651,"1,575","1,801","2,015","1,914","1,306","2,180","2,429","1,521",900
2020년05월_여_30~39세,"31,176","3,333","1,943","1,337","2,316","1,451","2,784",508,"1,429","1,679","2,110","2,393","1,501","2,126","2,762","1,618","1,886"
2020년05월_여_40~49세,"31,104","3,335","1,834","1,710","1,818","1,511","2,079",548,"1,809","2,201","2,283","2,403","1,623","1,519","3,387","1,969","1,075"
2020년05월_여_50~59세,"32,254","2,616","1,608","2,329","1,461","1,777","2,318",794,"2,045","2,469","2,791","2,626","1,893","1,561","2,990","2,092",884
2020년05월_여_60~69세,"28,663","2,060","1,329","2,052","1,399","1,659","1,879",741,"1,790","2,009","2,495","2,646","1,816","1,522","2,679","1,851",736
2020년05월_여_70~79세,"16,322",936,475,"1,481",812,"1,134","1,105",457,989,"1,216","1,424","1,450",922,924,"1,726","1,019",252
2020년05월_여_80~89세,"6,598",418,221,572,354,455,440,238,396,501,539,496,399,389,663,380,137
2020년05월_여_90~99세,"1,095",72,49,94,40,62,67,40,70,75,99,86,55,74,115,66,31
2020년05월_여_100세 이상,132,8,2,24,19,12,0,18,5,6,5,8,6,5,5,8,1
