,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020년10월_남_80~89세,"4,971","2,169",222,211,358,63,158,200,62,211,241,190,73,26,73,81,"2,802",429,130,163,89,188,110,16,62,290,103,294,255,169,184,243,77
2020년10월_남_90~99세,378,135,15,8,18,5,14,19,2,16,8,16,2,1,7,4,243,46,6,9,9,25,14,5,6,17,12,24,23,11,12,20,4
2020년10월_남_100세 이상,30,17,4,1,3,0,1,0,0,0,2,2,2,0,1,1,13,3,0,0,1,1,0,0,0,4,0,2,1,0,1,0,0
2020년10월_여_총인구수,"248,997","111,916","3,789","15,055","25,740","1,690","4,906","2,085",977,"12,051","8,426","6,265","2,175","1,172","15,022","12,563","137,081","20,359","1,450","2,465","1,278","2,555","1,062",296,661,"8,030","8,702","10,021","11,408","16,411","11,653","35,863","4,867"
2020년10월_여_연령구간인구수,"248,997","111,916","3,789","15,055","25,740","1,690","4,906","2,085",977,"12,051","8,426","6,265","2,175","1,172","15,022","12,563","137,081","20,359","1,450","2,465","1,278","2,555","1,062",296,661,"8,030","8,702","10,021","11,408","16,411","11,653","35,863","4,867"
2020년10월_여_0~9세,"19,304","8,515",79,"1,154","2,810",37,275,33,15,572,299,194,102,69,"1,806","1,070","10,789","1,878",31,53,24,53,19,3,13,281,616,393,731,"1,423",798,"4,013",460
2020년10월_여_10~19세,"22,302","10,117",101,"1,787","2,745",74,390,69,30,731,370,347,128,98,"1,787","1,460","12,185","1,751",31,97,43,107,26,7,14,397,873,464,963,"1,453","1,165","4,227",567
2020년10월_여_20~29세,"24,161","10,795",187,"1,537","2,565",112,432,75,42,"1,361",686,452,204,140,"1,445","1,557","13,366","1,783",71,133,71,123,15,17,25,752,924,"1,058","1,055","1,755","1,283","3,895",406
2020년10월_여_30~39세,"28,375","12,533",202,"1,555","3,784",102,443,69,32,"1,243",664,439,206,132,"2,042","1,620","15,842","2,526",52,117,32,77,27,0,25,746,908,"1,003","1,114","2,175","1,185","5,244",611
2020년10월_여_40~49세,"38,424","17,288",294,"2,704","4,600",119,593,101,57,"1,536",948,665,210,159,"2,862","2,440","21,136","3,100",78,204,68,150,43,16,44,927,"1,474","1,177","1,736","2,612","1,794","6,858",855
2020년10월_여_50~59세,"45,079","20,047",620,"2,910","3,981",334,870,321,146,"2,332","1,687","1,158",381,234,"2,694","2,379","25,032","3,540",234,392,209,426,168,55,91,"1,396","1,828","1,848","2,166","3,254","2,543","6,122",760
2020년10월_여_60~69세,"39,659","18,359",974,"2,044","3,011",427,887,485,239,"2,720","2,267","1,667",498,192,"1,731","1,217","21,300","2,906",358,575,318,605,297,99,163,"1,788","1,292","2,321","2,180","2,216","1,798","3,632",752
2020년10월_여_70~79세,"19,590","8,954",784,832,"1,372",277,620,448,228,"1,131","1,076",904,307,98,403,474,"10,636","1,639",277,493,260,509,234,54,150,"1,161",510,"1,221",971,946,708,"1,180",323
2020년10월_여_80~89세,"10,286","4,542",470,461,760,174,333,411,163,360,375,366,119,45,203,302,"5,744","1,043",261,341,212,429,201,36,112,489,228,451,420,498,329,581,113
2020년10월_여_90~99세,"1,736",728,76,67,101,33,62,69,24,62,49,70,20,5,48,42,"1,008",187,54,57,41,75,32,9,21,88,45,82,67,76,49,107,18
2020년10월_여_100세 이상,81,38,2,4,11,1,1,4,1,3,5,3,0,0,1,2,43,6,3,3,0,1,0,0,3,5,4,3,5,3,1,4,2
