,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021년09월_계_80~89세,"12,356",644,553,167,221,126,392,251,99,620,284,204,214,179,420,413,620,571,884,244,689,264,"1,211","1,552",670,864
2021년09월_계_90~99세,"1,928",93,112,12,37,24,75,42,14,103,50,24,41,36,59,69,98,90,133,36,87,35,161,235,122,140
2021년09월_계_100세 이상,73,3,4,1,0,1,5,0,0,5,4,2,0,3,4,4,2,5,4,1,3,1,6,3,10,2
2021년09월_남_총인구수,"139,920","3,816","9,711",785,"1,335",584,"1,936","1,245",522,"8,613","1,802","1,831","1,319","1,313","4,335","4,594","5,783","6,994","10,007","2,214","6,377","2,229","17,096","23,717","10,214","11,548"
2021년09월_남_연령구간인구수,"139,920","3,816","9,711",785,"1,335",584,"1,936","1,245",522,"8,613","1,802","1,831","1,319","1,313","4,335","4,594","5,783","6,994","10,007","2,214","6,377","2,229","17,096","23,717","10,214","11,548"
2021년09월_남_0~9세,"10,737",163,"1,035",10,58,13,42,35,7,720,41,64,45,67,474,358,258,639,882,153,198,72,"1,153","2,164",904,"1,182"
2021년09월_남_10~19세,"13,808",232,"1,278",38,58,15,108,75,10,875,86,87,68,78,360,401,435,728,960,207,329,118,"2,169","2,978",905,"1,210"
2021년09월_남_20~29세,"20,002",410,"1,052",65,150,29,128,108,18,"1,092",116,490,168,184,507,625,960,"1,077","1,356",281,"1,677",492,"2,667","3,363","1,365","1,622"
2021년09월_남_30~39세,"17,427",343,"1,070",57,103,33,117,64,23,"1,202",137,232,157,157,753,619,757,"1,022","1,366",250,776,323,"1,872","2,971","1,516","1,507"
2021년09월_남_40~49세,"20,680",465,"1,779",74,139,48,194,101,34,"1,418",203,202,191,171,589,677,768,"1,008","1,470",339,784,267,"2,678","3,784","1,508","1,789"
2021년09월_남_50~59세,"23,434",740,"1,543",131,280,127,374,222,108,"1,425",372,255,247,249,675,789,948,"1,092","1,611",371,997,341,"3,139","3,965","1,635","1,798"
2021년09월_남_60~69세,"19,875",799,"1,294",249,320,162,542,363,183,"1,185",477,242,232,218,558,655,946,819,"1,411",331,871,327,"2,045","2,817","1,421","1,408"
2021년09월_남_70~79세,"9,028",411,447,95,140,98,289,178,91,443,251,184,133,123,244,301,466,384,638,164,470,161,884,"1,066",684,683
2021년09월_남_80~89세,"4,441",223,193,62,80,54,128,92,45,225,102,65,70,58,147,149,221,197,281,107,259,120,449,550,245,319
2021년09월_남_90~99세,469,29,20,4,7,5,14,7,3,27,15,9,8,7,26,18,24,28,30,11,14,8,39,58,28,30
2021년09월_남_100세 이상,19,1,0,0,0,0,0,0,0,1,2,1,0,1,2,2,0,0,2,0,2,0,1,1,3,0
2021년09월_여_총인구수,"143,392","3,791","9,928",658,"1,240",492,"1,828","1,268",428,"8,644","1,629","1,709","1,410","1,410","4,229","4,803","5,848","7,694","11,008","2,226","5,672","2,159","17,749","25,511","10,617","11,441"
2021년09월_여_연령구간인구수,"143,392","3,791","9,928",658,"1,240",492,"1,828","1,268",428,"8,644","1,629","1,709","1,410","1,410","4,229","4,803","5,848","7,694","11,008","2,226","5,672","2,159","17,749","25,511","10,617","11,441"
2021년09월_여_0~9세,"10,157",166,991,17,41,6,58,33,7,630,30,36,38,78,419,363,236,621,832,164,195,67,"1,156","2,084",846,"1,043"
2021년09월_여_10~19세,"12,768",217,"1,191",19,76,12,72,63,10,836,67,72,52,69,284,353,398,679,954,164,318,106,"2,086","2,779",826,"1,065"
2021년09월_여_20~29세,"17,397",315,887,47,91,17,102,63,13,"1,034",104,409,172,154,491,565,876,"1,063","1,274",238,"1,143",475,"2,398","3,005","1,240","1,221"
2021년09월_여_30~39세,"16,621",305,"1,223",35,86,18,103,50,14,"1,098",99,185,137,143,668,565,593,"1,033","1,341",218,547,254,"1,750","3,108","1,473","1,575"
2021년09월_여_40~49세,"21,180",396,"1,816",38,103,38,139,108,25,"1,403",140,164,155,159,554,652,715,"1,115","1,592",313,590,191,"2,984","4,446","1,571","1,773"
2021년09월_여_50~59세,"23,154",659,"1,484",98,211,74,285,223,81,"1,371",282,230,215,219,512,818,941,"1,230","1,813",373,790,314,"3,100","4,318","1,808","1,705"
2021년09월_여_60~69세,"21,174",762,"1,338",183,321,137,454,340,116,"1,209",448,276,267,243,579,715,"1,027",965,"1,636",372,933,358,"2,183","3,136","1,618","1,558"
2021년09월_여_70~79세,"11,513",484,542,107,140,98,285,194,97,588,240,182,197,193,414,455,587,547,858,221,652,222,"1,203","1,454",709,844
2021년09월_여_80~89세,"7,915",421,360,105,141,72,264,159,54,395,182,139,144,121,273,264,399,374,603,137,430,144,762,"1,002",425,545
2021년09월_여_90~99세,"1,459",64,92,8,30,19,61,35,11,76,35,15,33,29,33,51,74,62,103,25,73,27,122,177,94,110
2021년09월_여_100세 이상,54,2,4,1,0,1,5,0,0,4,2,1,0,2,2,2,2,5,2,1,1,1,5,2,7,2
