,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2021년09월_남_30~39세,"209,255","2,464","5,473","5,474","5,561","24,144","16,010","14,671","17,628","22,294","18,771","12,846","13,811","13,041","11,766","13,209","12,092"
2021년09월_남_40~49세,"254,028","2,837","7,405","6,241","7,678","25,517","20,834","20,442","19,874","30,733","23,062","15,635","14,141","15,391","12,396","15,061","16,781"
2021년09월_남_50~59세,"270,698","3,451","8,846","7,330","9,626","27,650","20,722","20,629","24,949","33,021","26,226","18,715","8,847","15,811","12,605","19,630","12,640"
2021년09월_남_60~69세,"258,263","3,729","9,045","7,595","10,728","26,788","19,410","19,081","23,706","28,179","25,442","18,528","8,536","15,255","12,909","18,965","10,367"
2021년09월_남_70~79세,"133,743","2,129","5,340","4,601","6,342","14,030","10,404","11,188","10,131","13,786","12,280","9,940","3,542","8,394","7,712","8,104","5,820"
2021년09월_남_80~89세,"44,150",770,"2,052","1,660","2,152","4,928","3,353","3,846","2,981","4,837","3,623","3,393",965,"2,861","2,728","2,138","1,863"
2021년09월_남_90~99세,"3,221",78,134,136,143,310,244,249,207,402,249,272,85,202,240,115,155
2021년09월_남_100세 이상,146,3,6,19,5,12,14,14,3,22,10,9,6,11,7,4,1
2021년09월_여_총인구수,"1,715,073","20,845","54,601","44,741","56,424","183,845","137,401","134,599","143,682","206,614","154,117","117,255","68,481","106,676","92,782","103,720","89,290"
2021년09월_여_연령구간인구수,"1,715,073","20,845","54,601","44,741","56,424","183,845","137,401","134,599","143,682","206,614","154,117","117,255","68,481","106,676","92,782","103,720","89,290"
2021년09월_여_0~9세,"108,436",559,"2,565","1,883","2,438","10,078","9,103","8,324","9,031","13,284","9,055","6,041","9,571","6,889","4,876","5,642","9,097"
2021년09월_여_10~19세,"129,512",963,"3,512","2,343","3,483","11,992","11,816","10,956","10,864","18,002","11,935","8,366","6,208","7,867","5,592","6,989","8,624"
2021년09월_여_20~29세,"202,283","2,999","6,789","5,097","5,237","26,687","15,135","16,280","16,844","22,720","17,925","14,951","5,776","12,309","12,408","13,139","7,987"
2021년09월_여_30~39세,"199,040","2,059","5,205","4,873","4,766","23,181","15,880","13,915","16,124","23,301","16,497","11,665","13,292","12,917","11,837","11,270","12,258"
2021년09월_여_40~49세,"249,479","2,339","6,855","5,346","7,022","24,860","21,628","20,293","20,102","33,779","21,870","15,760","11,310","15,928","12,719","13,567","16,101"
2021년09월_여_50~59세,"285,266","3,349","8,351","6,938","9,078","29,263","22,768","21,619","27,728","36,393","27,141","20,526","8,211","17,531","14,559","19,682","12,129"
2021년09월_여_60~69세,"288,713","4,148","10,303","8,531","11,665","30,410","22,510","22,304","24,503","31,677","27,575","21,240","8,344","18,046","16,204","19,294","11,959"
2021년09월_여_70~79세,"162,337","2,814","6,883","6,045","8,163","17,533","12,268","13,831","11,838","17,250","14,418","11,888","3,542","9,979","9,507","9,455","6,923"
2021년09월_여_80~89세,"77,505","1,356","3,554","3,186","3,969","8,606","5,400","6,114","5,737","8,748","6,577","5,838","1,832","4,519","4,386","4,099","3,584"
2021년09월_여_90~99세,"11,893",244,562,448,554,"1,186",840,910,878,"1,408","1,091",923,378,662,667,542,600
2021년09월_여_100세 이상,609,15,22,51,49,49,53,53,33,52,33,57,17,29,27,41,28
