카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동
2020년02월_남_70~79세,"12,657",196,323,210,181,408,488,"1,051",585,574,394,598,584,229,697,460,468,430,667,626,305,444,328,343,475,162,708,723
2020년02월_남_80~89세,"3,984",67,150,77,62,107,163,297,158,194,120,140,181,66,217,149,178,131,185,208,85,203,112,88,133,67,209,237
2020년02월_남_90~99세,337,7,15,4,10,12,9,26,10,12,12,18,14,4,17,13,16,11,10,14,7,23,10,8,8,8,19,20
2020년02월_남_100세 이상,13,2,1,0,1,0,0,0,0,0,1,1,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0
2020년02월_여_총인구수,"217,887","2,452","3,425","2,344","1,550","4,164","5,468","19,291","10,340","6,345","7,569","11,583","5,676","3,090","9,770","8,631","8,696","4,083","8,516","7,383","7,154","15,885","7,347","5,853","6,644","1,311","25,518","17,799"
2020년02월_여_연령구간인구수,"217,887","2,452","3,425","2,344","1,550","4,164","5,468","19,291","10,340","6,345","7,569","11,583","5,676","3,090","9,770","8,631","8,696","4,083","8,516","7,383","7,154","15,885","7,347","5,853","6,644","1,311","25,518","17,799"
2020년02월_여_0~9세,"17,001",116,149,138,42,302,210,"1,343",934,332,490,"1,087",221,278,747,622,645,164,517,264,534,"1,239",639,367,289,40,"3,573","1,719"
2020년02월_여_10~19세,"20,992",91,247,133,59,270,358,"1,876","1,133",515,736,"1,078",327,269,710,987,777,352,713,444,784,"2,288",815,536,395,57,"2,998","2,044"
2020년02월_여_20~29세,"29,639",569,630,393,270,452,999,"3,306","1,321",879,"1,051","1,424",691,367,"1,169","1,175","1,245",527,"1,140",836,"1,069","2,217",928,888,956,108,"2,693","2,336"
2020년02월_여_30~39세,"27,529",422,337,294,165,614,708,"2,251","1,308",640,849,"1,753",475,415,"1,317",898,"1,046",396,914,628,892,"1,660",898,653,680,97,"4,648","2,571"
2020년02월_여_40~49세,"34,314",252,437,290,155,557,637,"2,917","1,698",863,"1,138","1,835",634,479,"1,291","1,398","1,330",527,"1,147",846,"1,309","3,486","1,294",877,824,107,"4,888","3,098"
2020년02월_여_50~59세,"37,308",324,502,350,259,668,885,"3,549","1,698","1,108","1,504","2,003",980,448,"1,705","1,694","1,489",737,"1,630","1,427","1,314","2,736","1,352","1,149","1,396",248,"3,323","2,830"
2020년02월_여_60~69세,"26,402",316,514,357,272,651,806,"2,235","1,361","1,056","1,007","1,361","1,129",393,"1,429","1,012","1,090",711,"1,317","1,351",677,"1,074",733,732,"1,032",271,"1,800","1,715"
2020년02월_여_70~79세,"15,815",239,414,275,200,459,560,"1,218",596,649,479,689,787,286,888,546,722,444,748,970,367,712,400,422,623,218,966,938
2020년02월_여_80~89세,"7,514",105,167,99,98,156,253,514,234,257,266,293,356,126,436,252,306,189,330,541,170,413,242,187,391,130,531,472
2020년02월_여_90~99세,"1,272",14,25,10,27,31,46,77,54,43,45,58,66,27,69,45,45,33,56,72,38,60,43,37,56,32,90,73
2020년02월_여_100세 이상,101,4,3,5,3,4,6,5,3,3,4,2,10,2,9,2,1,3,4,4,0,0,3,5,2,3,8,3
