,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020년04월_여_연령구간인구수,"255,049","19,670","9,228","6,636","18,856","17,147","7,314","6,611","16,451","11,762","9,606","3,343","17,529","8,378","10,124","17,928","15,367","8,481","9,165","16,947","6,429","6,401","11,676"
2020년04월_여_0~9세,"17,195","1,268",508,316,"1,371","1,349",455,284,"1,416",621,610,192,"1,356",482,657,"1,300","1,352",478,613,"1,028",535,348,656
2020년04월_여_10~19세,"21,739","1,535",685,416,"1,199","1,225",430,502,"1,846",990,934,264,"1,472",602,751,"1,849","2,136",582,818,"1,751",506,502,744
2020년04월_여_20~29세,"35,037","3,252","1,259",826,"2,993","2,630","1,067",808,"2,021","1,397","1,390",408,"2,375","1,225","1,261","2,334","1,838","1,052","1,248","2,517",787,797,"1,552"
2020년04월_여_30~39세,"34,033","3,017","1,238",814,"3,301","2,994","1,100",638,"2,111","1,242","1,102",389,"2,535","1,052","1,436","2,094","1,691","1,021","1,174","2,112",895,691,"1,386"
2020년04월_여_40~49세,"39,658","3,000","1,340",892,"2,780","2,583",985,895,"2,909","1,680","1,566",481,"2,632","1,209","1,297","3,072","3,280","1,117","1,440","2,957",899,969,"1,675"
2020년04월_여_50~59세,"47,016","3,271","1,675","1,241","3,192","2,869","1,313","1,319","3,004","2,245","1,854",674,"3,325","1,740","1,994","3,324","2,567","1,566","1,710","3,351","1,198","1,227","2,357"
2020년04월_여_60~69세,"32,496","2,353","1,321","1,056","2,216","1,909","1,043","1,135","1,784","1,757","1,168",501,"2,177","1,165","1,480","2,003","1,343","1,447","1,173","1,731",927,989,"1,818"
2020년04월_여_70~79세,"17,060","1,207",784,670,"1,159",982,544,609,821,"1,033",552,267,"1,025",564,705,"1,105",681,811,638,928,438,576,961
2020년04월_여_80~89세,"9,039",630,356,337,552,504,302,345,449,659,367,126,536,281,458,707,393,360,306,484,198,243,446
2020년04월_여_90~99세,"1,624",126,54,62,83,91,66,65,84,124,62,34,90,54,84,129,85,44,41,86,42,49,69
2020년04월_여_100세 이상,152,11,8,6,10,11,9,11,6,14,1,7,6,4,1,11,1,3,4,2,4,10,12
