카테고리,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년06월_남_50~59세,"19,401",562,231,358,819,328,207,437,758,285,413,225,314,190,261,"2,210",679,"1,352",509,927,"1,348",419,943,"1,442","3,520",664
2020년06월_남_60~69세,"15,271",578,295,386,660,399,290,530,546,291,454,301,451,272,246,"1,569",607,781,410,908,760,392,713,777,"2,265",390
2020년06월_남_70~79세,"7,719",304,165,226,285,230,208,310,237,139,263,190,237,158,154,762,349,358,252,519,309,206,407,378,894,179
2020년06월_남_80~89세,"3,283",150,63,75,125,124,82,154,94,88,135,103,136,87,67,277,145,157,114,201,100,99,128,142,368,69
2020년06월_남_90~99세,308,14,4,13,14,12,12,13,17,5,15,11,16,6,6,33,12,13,9,17,5,4,8,14,27,8
2020년06월_남_100세 이상,16,2,0,0,3,1,1,0,0,1,1,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0
2020년06월_여_총인구수,"103,861","2,407","1,002","1,508","3,767","1,481","1,159","1,943","6,149","1,744","1,843","1,124","1,614",962,"1,415","11,766","3,580","8,009","2,639","4,844","8,828","1,711","4,565","7,490","19,101","3,210"
2020년06월_여_연령구간인구수,"103,861","2,407","1,002","1,508","3,767","1,481","1,159","1,943","6,149","1,744","1,843","1,124","1,614",962,"1,415","11,766","3,580","8,009","2,639","4,844","8,828","1,711","4,565","7,490","19,101","3,210"
2020년06월_여_0~9세,"7,371",51,22,44,271,18,31,29,955,174,58,24,38,34,58,790,153,667,124,191,"1,024",54,290,528,"1,452",291
2020년06월_여_10~19세,"9,197",119,30,49,172,58,39,65,466,132,94,38,74,35,79,"1,217",279,965,231,358,"1,124",70,394,860,"1,922",327
2020년06월_여_20~29세,"10,370",143,50,77,492,75,51,105,657,167,105,65,88,44,133,"1,177",382,853,253,484,910,196,483,889,"2,174",317
2020년06월_여_30~39세,"10,950",141,46,74,526,66,50,74,"1,313",204,81,50,78,50,98,"1,187",266,850,204,374,"1,288",104,479,747,"2,200",400
2020년06월_여_40~49세,"15,195",201,64,111,485,77,55,154,934,205,142,87,115,63,146,"1,878",459,"1,542",366,560,"1,657",153,640,"1,392","3,146",563
2020년06월_여_50~59세,"18,443",488,208,297,642,279,217,383,736,226,351,219,279,163,235,"2,186",642,"1,378",459,896,"1,375",324,816,"1,395","3,696",553
2020년06월_여_60~69세,"15,249",538,272,377,562,365,303,503,556,261,413,257,387,236,295,"1,657",623,867,447,980,758,330,754,834,"2,312",362
2020년06월_여_70~79세,"9,754",390,165,281,322,271,210,336,279,210,301,205,291,188,212,993,456,528,336,593,399,278,469,505,"1,313",223
2020년06월_여_80~89세,"6,380",303,120,164,262,244,179,253,224,142,252,158,228,132,124,608,287,311,189,342,249,178,210,305,765,151
2020년06월_여_90~99세,899,32,24,33,29,26,21,37,27,21,45,20,32,16,33,69,30,44,27,63,44,23,28,34,120,21
2020년06월_여_100세 이상,53,1,1,1,4,2,3,4,2,2,1,1,4,1,2,4,3,4,3,3,0,1,2,1,1,2
